Abnormality of body height	HP:0000002
Polypnea	HP:0002789
Increased respiratory rate or depth of breathing	HP:0002789
Impaired breathing in newborn	HP:0002790
Neonatal breathing dysregulation	HP:0002790
Respiratory depression	HP:0002791
Alveolar hypoventilation	HP:0002791
Hypoventilation	HP:0002791
Slow breathing	HP:0002791
Under breathing	HP:0002791
Reduced vital capacity	HP:0002792
Decreased vital capacity	HP:0002792
Unusual breathing patterns	HP:0002793
Abnormal respiratory patterns	HP:0002793
Abnormal pattern of respiration	HP:0002793
Respiratory problem	HP:0002795
Functional respiratory abnormality	HP:0002795
Abnormal respiration	HP:0002795
Breakdown of bone	HP:0002797
Osteolysis	HP:0002797
Increased bone resorption	HP:0002797
Osteolytic defects of bones	HP:0002797
Congenital contracture	HP:0002803
Congenital joint contractures	HP:0002803
congenital contractures	HP:0002803
Multiple congenital contractures	HP:0002804
Arthrogryposis	HP:0002804
Arthrogryposis, congenital	HP:0002804
Arthrogryposis multiplex congenita	HP:0002804
Arthrogryposis multiplex	HP:0002804
Accelerated bone age after puberty	HP:0002805
Hyperkyphosis	HP:0002808
Round back	HP:0002808
Gibbus deformity	HP:0002808
Hunched back	HP:0002808
Kyphosis	HP:0002808
Dumbbell shaped metaphysis	HP:0002810
Dumbbell shaped metaphyses	HP:0002810
Dumbbell-shaped metaphyses	HP:0002810
Dumbbell shaped wide portion of long bone	HP:0002810
Coxa vara	HP:0002812
Arm and/or leg bone differences	HP:0002813
Abnormality of limb bone morphology	HP:0002813
Limb abnormality	HP:0002813
Abnormal shape of limb bone	HP:0002813
Lower limb deformities	HP:0002814
Abnormality of the leg	HP:0002814
Abnormality of the lower limb	HP:0002814
Abnormality of the knee	HP:0002815
Knee hyperextension	HP:0002816
Back knee	HP:0002816
Genu recurvatum	HP:0002816
Genu recurvata	HP:0002816
Abnormality of the upper limb	HP:0002817
Abnormality of the arm	HP:0002817
Abnormality of the radius	HP:0002818
Neuropathic arthropathy	HP:0002821
Charcot arthropathy	HP:0002821
Charcot joint	HP:0002821
Hyperplastic femoral trochanters	HP:0002822
Hyperplasia of the femoral trochanters	HP:0002822
Abnormality of the thighbone	HP:0002823
Abnormality of the femora	HP:0002823
Abnormality of femur morphology	HP:0002823
Human tail	HP:0002825
Caudal appendage	HP:0002825
Coccygeal tail	HP:0002825
Halberd-shaped pelvis bone	HP:0002826
Halberd-shaped pelvis	HP:0002826
Dislocated hips	HP:0002827
Dislocation of hip	HP:0002827
Hip dislocation	HP:0002827
Multiple joint contractures	HP:0002828
Joint pain	HP:0002829
Arthritic pain	HP:0002829
Joint pains	HP:0002829
Arthralgias	HP:0002829
Arthralgia	HP:0002829
Long coccyx	HP:0002831
Long tailbone	HP:0002831
Discrete calcific stippling	HP:0002832
Calcific stippling	HP:0002832
Cystic angiomatosis of bone	HP:0002833
Lytic cystic lesions in appendicular bones	HP:0002833
Flared femoral metaphysis	HP:0002834
Flared metaphysis of thigh bone	HP:0002834
Aspiration	HP:0002835
Pulmonary aspiration	HP:0002835
Ectopia vesicae	HP:0002836
Bladder exstrophy	HP:0002836
Bronchitis, recurrent	HP:0002837
Recurrent bronchitis	HP:0002837
Sphincter disturbances	HP:0002839
Sphincter disturbance	HP:0002839
Urinary bladder sphincter dysfunction	HP:0002839
Lymphadenitis	HP:0002840
Inflammation of the lymph nodes	HP:0002840
Recurrent fungal infections	HP:0002841
Recurrent Burkholderia cepacia infections	HP:0002842
Abnormality of T cells	HP:0002843
Cellular immune defect	HP:0002843
Defective cellular immunity	HP:0002843
Abnormal T cell morphology	HP:0002843
Abnormal T cells	HP:0002843
Abnormal B cell morphology	HP:0002846
Abnormal B cells	HP:0002846
Abnormality of B cells	HP:0002846
Impaired memory B cell generation	HP:0002847
Depressed antibody response to polysaccharide antigens	HP:0002848
Specific anti-polysaccharide antibody deficiency	HP:0002848
Lymph nodes lack germinal center	HP:0002849
Lymphoid germinal center defect	HP:0002849
Absence of lymph node germinal center	HP:0002849
Decreased circulating total IgM	HP:0002850
Reduced IgM levels	HP:0002850
IgM deficiency	HP:0002850
Decreased IgM	HP:0002850
Decreased IgM level	HP:0002850
Increased number of CD4-/CD8- T cells expressing alpha/beta T-cell receptors	HP:0002851
Elevated proportion of CD4-negative, CD8-negative, alpha-beta regulatory T cells	HP:0002851
Increased proportion of HLA DR+ T cells	HP:0002853
Genu valgus	HP:0002857
Genua valga	HP:0002857
Knock knees	HP:0002857
Knee joint valgus deformity	HP:0002857
Genu valga	HP:0002857
Genu valgum	HP:0002857
Noncancerous growth of membranes covering brain	HP:0002858
Meningioma	HP:0002858
Rhabdomyosarcoma	HP:0002859
Squamous cell carcinoma	HP:0002860
Squamous cell cancer	HP:0002860
Malignant melanoma	HP:0002861
Melanoma	HP:0002861
Cancer of skin pigment cells	HP:0002861
Skin cancer (melanoma)	HP:0002861
Bladder carcinoma	HP:0002862
Myelodysplasia	HP:0002863
Myelodysplastic syndrome	HP:0002863
Hypoplastic myelodysplasia	HP:0002863
Paraganglioma of head and neck	HP:0002864
Paragangliomas, head and neck	HP:0002864
Medullary thyroid cancer	HP:0002865
Medullary thyroid carcinoma	HP:0002865
Small iliac wings	HP:0002866
Hypoplastic iliac wing	HP:0002866
Hypoplastic iliac alae	HP:0002866
Hypoplastic iliac wings	HP:0002866
Iliac abnormalities	HP:0002867
Abnormality of the ilium	HP:0002867
Narrow iliac wings	HP:0002868
Flared iliac wings	HP:0002869
Flared iliac wing	HP:0002869
Obstructive sleep apnea	HP:0002870
Obstructive sleep apnoea	HP:0002870
Central apnea	HP:0002871
Central apnoea	HP:0002871
Episodic apnea induced by febrile illness or stress	HP:0002872
Apneic episodes precipitated by illness, fatigue, stress	HP:0002872
Exertional dyspnea	HP:0002875
Hyperpnea, episodic	HP:0002876
Episodic tachypnea	HP:0002876
Nocturnal hypoventilation	HP:0002877
Nocturnal slow breathing	HP:0002877
Nocturnal hypopnea	HP:0002877
Nocturnal under breathing	HP:0002877
Respiratory failure	HP:0002878
Anisospondyly	HP:0002879
Sudden episodic apnea	HP:0002882
Hyperventilation	HP:0002883
Rapid breathing	HP:0002883
Hepatoblastoma	HP:0002884
Medulloblastoma	HP:0002885
Vagal nerve tumors	HP:0002886
Glomus vagale paraganglioma	HP:0002886
Vagal paraganglioma	HP:0002886
Glomus vagale tumor	HP:0002886
Ependymoma	HP:0002888
Thyroid carcinoma	HP:0002890
Uterine leiomyosarcoma	HP:0002891
Pituitary adenoma	HP:0002893
Noncancerous tumor in pituitary gland	HP:0002893
Neoplasia of the pancreas	HP:0002894
increased risk of pancreatic cancer	HP:0002894
Cancer of the pancreas	HP:0002894
Pancreatic cancer	HP:0002894
Neoplasm of the pancreas	HP:0002894
Pancreatic tumor	HP:0002894
Papillary thyroid carcinoma	HP:0002895
Thyroid papillary carcinoma	HP:0002895
Papillary carcinoma of thyroid	HP:0002895
Liver tumor	HP:0002896
Neoplasm of the liver	HP:0002896
Liver cancer	HP:0002896
Parathyroid adenomas	HP:0002897
Parathyroid adenoma	HP:0002897
Embryonal neoplasm	HP:0002898
Embryonal neoplasia	HP:0002898
Embryonal tumors	HP:0002898
Low blood potassium levels	HP:0002900
Hypokalemia	HP:0002900
Low blood calcium levels	HP:0002901
Hypocalcaemia	HP:0002901
Hypocalcemia	HP:0002901
Low blood sodium levels	HP:0002902
Hyponatremia	HP:0002902
High blood bilirubin levels	HP:0002904
Hyperbilirubinemia	HP:0002904
High blood phosphate levels	HP:0002905
Hyperphosphatemia	HP:0002905
Microhematuria	HP:0002907
Small amount of blood in urine	HP:0002907
Occult hematuria	HP:0002907
Microscopic hematuria	HP:0002907
Conjugated hyperbilirubinemia	HP:0002908
Direct hyperbilirubinemia	HP:0002908
Generalized aminoaciduria	HP:0002909
Generalized nonspecific aminoaciduria	HP:0002909
Elevated liver enzymes	HP:0002910
Elevated hepatic transaminase	HP:0002910
Abnormal liver enzymes	HP:0002910
Increased transaminases	HP:0002910
Abnormal liver function	HP:0002910
Elevated liver function tests	HP:0002910
Subclinical abnormal liver function tests	HP:0002910
Increased liver enzymes	HP:0002910
Abnormal liver function tests	HP:0002910
Increased liver function tests	HP:0002910
High liver enzymes	HP:0002910
Elevated serum transaminases	HP:0002910
Elevated transaminases	HP:0002910
Methylmalonic acidemia	HP:0002912
Myoglobinuria	HP:0002913
Hyperchloriduria	HP:0002914
Increased urinary chloride	HP:0002914
Abnormality of chromosome segregation	HP:0002916
Hypomagnesemia	HP:0002917
Low blood Mg levels	HP:0002917
Low blood magnesium levels	HP:0002917
High blood Mg levels	HP:0002918
High blood magnesium levels	HP:0002918
Hypermagnesemia	HP:0002918
Ketone bodies in urine	HP:0002919
Ketoaciduria	HP:0002919
Acetonuria	HP:0002919
Ketonaciduria	HP:0002919
Ketonuria	HP:0002919
Decreased circulating ACTH level	HP:0002920
Abnormality of the CSF	HP:0002921
Abnormality of the cerebrospinal fluid	HP:0002921
Abnormal CSF findings	HP:0002921
Increased CSF protein	HP:0002922
Hyperproteinorrhachia	HP:0002922
Cerebrospinal fluid with increased protein	HP:0002922
Increased protein in csf	HP:0002922
Spinal fluid protein elevated	HP:0002922
Elevated csf protein	HP:0002922
Elevated cerebrospinal fluid protein	HP:0002922
Cerebrospinal fluid protein increased	HP:0002922
Rheumatoid factor positive	HP:0002923
Increased thyroid-stimulating hormone level	HP:0002925
Elevated thyroid stimulating hormone	HP:0002925
Increased serum thyroid-stimulating hormone	HP:0002925
TSH excess	HP:0002925
Increased thyroid-stimulating hormone	HP:0002925
Increased thyrotropin level	HP:0002925
Elevated thyroid stimulating hormone levels	HP:0002925
High TSH	HP:0002925
Thyroid-stimulating hormone excess	HP:0002925
Abnormality of thyroid physiology	HP:0002926
Abnormal thyroid function	HP:0002926
Histidinuria	HP:0002927
High urine histidine levels	HP:0002927
Pyruvate dehydrogenase complex deficiency	HP:0002928
Decreased activity of the PDH complex	HP:0002928
Decreased activity of the pyruvate dehydrogenase complex	HP:0002928
Leydig cell insensitivity to gonadotropin	HP:0002929
Impaired sensitivity to thyroid hormone	HP:0002930
End-organ unresponsiveness to thyroid hormone	HP:0002930
Thyroid hormone resistance	HP:0002930
Resistance to thyroid hormone	HP:0002930
Thyroid hormone receptor defect	HP:0002930
Elevated serum levels of free thyroid hormone with nonsuppressed TSH	HP:0002930
Aldehyde oxidase deficiency	HP:0002932
Ventral hernia	HP:0002933
Distal sensory impairment	HP:0002936
Distal sensory impairment of the lower extremities	HP:0002936
Distal sensation loss	HP:0002936
Decreased distal sensation	HP:0002936
Distal sensory loss, upper and lower limbs	HP:0002936
Loss of distal sensation	HP:0002936
Distal sensory loss	HP:0002936
Decreased sensation in extremities	HP:0002936
Distal sensory impairment in lower limbs	HP:0002936
Hemivertebrae	HP:0002937
Hemi-vertebrae	HP:0002937
Missing part of vertebrae	HP:0002937
Hemivertebra	HP:0002937
Lumbar lordosis	HP:0002938
Prominent lumbar lordosis	HP:0002938
Increased lumbar lordosis	HP:0002938
Excessive inward curvature of lower spine	HP:0002938
Exaggerated lumbar lordosis	HP:0002938
Lumbar hyperlordosis	HP:0002938
Accentuated thoracic kyphosis	HP:0002942
Thoracic kyphosis	HP:0002942
Exaggerated thoracic kyphosis	HP:0002942
Thoracic scoliosis	HP:0002943
Thoracolumbar scoliosis	HP:0002944
Scoliosis, thoracolumbar	HP:0002944
Narrow intervertebral spaces	HP:0002945
Intervertebral space narrowing	HP:0002945
Narrow intervertebral disc spaces	HP:0002945
Supernumerary vertebrae	HP:0002946
Rounded neck	HP:0002947
Cervical kyphosis	HP:0002947
Fusion of vertebral bodies	HP:0002948
Fused vertebrae	HP:0002948
Spinal fusion	HP:0002948
Vertebral body fusion	HP:0002948
Vertebral fusion	HP:0002948
Cervical spine fusion	HP:0002949
Cervical vertebral fusion	HP:0002949
Fusion of cervical vertebrae	HP:0002949
Fused cervical vertebrae	HP:0002949
Fused neck	HP:0002949
Partial absence of cerebellar vermis	HP:0002951
Fractures of vertebral bodies	HP:0002953
Vertebral collapse	HP:0002953
Vertebral compression	HP:0002953
Vertebral body compression	HP:0002953
Vertebral compression or collapse	HP:0002953
Compression fracture	HP:0002953
Vertebral compression fractures	HP:0002953
Granulomatosis	HP:0002955
Unregulated immune response	HP:0002958
Immune dysregulation	HP:0002958
Impaired Ig class switch recombination	HP:0002959
Impaired B-lymphocyte isotype switching	HP:0002959
Autoimmune condition	HP:0002960
Autoimmunity	HP:0002960
Autoimmune disorder	HP:0002960
Autoimmune disease	HP:0002960
Dysgammaglobulinemia	HP:0002961
Abnormal delayed hypersensitivity skin test	HP:0002963
Cutaneous anergy	HP:0002965
Lack of delayed skin hypersensitivity reaction	HP:0002965
Absence of delayed hypersensitivity skin test	HP:0002965
Outward turned elbows	HP:0002967
Cubitus valgus	HP:0002967
Genu vara	HP:0002970
Genu varum	HP:0002970
Outward bowing at knees	HP:0002970
Outward bow-leggedness	HP:0002970
Genua vara	HP:0002970
Absent microvilli on the surface of peripheral blood lymphocytes	HP:0002971
Decreased reactivity to skin test antigens	HP:0002972
Reduced delayed hypersensitivity	HP:0002972
Impaired delayed hypersensitivity	HP:0002972
Deficiency of delayed skin hypersensitivity	HP:0002972
Abnormality of the forearm	HP:0002973
Fused forearm bones	HP:0002974
Radioulnar synostosis	HP:0002974
Aplasia/Hypoplasia involving the CNS	HP:0002977
Aplasia/Hypoplasia involving the central nervous system	HP:0002977
Absent/underdeveloped central nervous system tissue	HP:0002977
Bowed lower limbs	HP:0002979
Bowed legs	HP:0002979
Bow-leggedness	HP:0002979
Bowing of the legs	HP:0002979
Bow legs	HP:0002979
Bowed femur	HP:0002980
Femoral bowing	HP:0002980
Bowed femurs	HP:0002980
Bowed femura	HP:0002980
Bowed thighbone	HP:0002980
Abnormality of the calf	HP:0002981
Tibial bowing	HP:0002982
Bowing of the tibia	HP:0002982
Bowed tibia	HP:0002982
Bowed shinbone	HP:0002982
Bowed shankbone	HP:0002982
Smaller or shorter than typical limbs	HP:0002983
Micromelia	HP:0002983
Radial hypoplasia	HP:0002984
Hypoplastic radius	HP:0002984
Radial ray hypoplasia	HP:0002984
Underdeveloped outer large forearm bone	HP:0002984
Hypoplastic radii	HP:0002984
Hypoplasia of the radius	HP:0002984
Shortening of radius	HP:0002984
Short radii	HP:0002984
Short radius	HP:0002984
Radial bowing	HP:0002986
Bowed radii	HP:0002986
Bowing of outer large bone of the forearm	HP:0002986
Bowed radius	HP:0002986
Bowing of radius bone of the forearm	HP:0002986
Contractures of elbows	HP:0002987
Elbow flexion deformity	HP:0002987
Elbow contracture	HP:0002987
Elbow contractures	HP:0002987
Elbow flexion contractures	HP:0002987
Contracture of elbow joint	HP:0002987
Elbow flexion contracture	HP:0002987
Contractures of the elbows	HP:0002987
Fixed flexion at the elbow joint	HP:0002987
Absent-hypoplastic fibulae	HP:0002990
Absent calf bone	HP:0002990
Absent fibulae	HP:0002990
Fibular aplasia	HP:0002990
Abnormality of the calf bone	HP:0002991
Abnormality of fibula morphology	HP:0002991
Abnormality of tibia morphology	HP:0002992
Abnormality of the shinbone	HP:0002992
Abnormality of the shankbone	HP:0002992
Decreased elbow mobility	HP:0002996
Restricted elbow motion	HP:0002996
Limited elbow mobility	HP:0002996
Limited elbow movement	HP:0002996
Abnormality of the ulna	HP:0002997
Patellar dislocation	HP:0002999
Dislocation of patella	HP:0002999
Dislocated kneecap	HP:0002999
Dislocated patellae	HP:0002999
Glomus jugulare tumor	HP:0003001
Glomus jugular tumor	HP:0003001
Glomus jugulare tumors	HP:0003001
Breast carcinoma	HP:0003002
Breast cancer	HP:0003002
Colon cancer	HP:0003003
Ganglioneuroma	HP:0003005
Neuroblastoma	HP:0003006
Cancer of early nerve cells	HP:0003006
Enhanced neurotoxicity of vincristine	HP:0003009
Prolonged bleeding time	HP:0003010
Increased bleeding time	HP:0003010
Abnormality of the musculature	HP:0003011
Muscular abnormality	HP:0003011
Bulging end part of bone	HP:0003013
Bulging epiphyses	HP:0003013
Flared metaphysis	HP:0003015
marked metaphyseal flaring of long bones	HP:0003015
Flared wide portion of long bone	HP:0003015
Flared, widened metaphyses	HP:0003015
Metaphyseal splaying	HP:0003015
Metaphyseal flaring	HP:0003015
Splayed metaphyses	HP:0003015
Metaphyseal flaring of long bones	HP:0003015
Metaphyses flared	HP:0003015
Metaphyseal widening	HP:0003016
Broad wide portion of long bone	HP:0003016
Widened metaphyses	HP:0003016
Wide metaphyses	HP:0003016
Widened long bone metaphyses	HP:0003016
Abnormalities of the wrists	HP:0003019
Abnormality of the wrist	HP:0003019
Enlargement of the wrists	HP:0003020
Metaphyseal cupping	HP:0003021
Ulnar hypoplasia	HP:0003022
Underdeveloped ulna	HP:0003022
Hypoplasia of the ulna	HP:0003022
Short ulna	HP:0003022
Short ulnae	HP:0003022
Hypoplastic ulna	HP:0003022
Underdeveloped inner large forearm bone	HP:0003022
Bowed limbs due to multiple fractures	HP:0003023
Bowing of limbs due to multiple fractures	HP:0003023
Frayed, irregular, metaphyses	HP:0003025
Metaphyseal irregularities	HP:0003025
Metaphyseal fraying	HP:0003025
Irregular metaphyses	HP:0003025
Frayed, irregular metaphyses	HP:0003025
Irregular wide portion of a long bone	HP:0003025
Metaphyseal irregularity	HP:0003025
shortened long tubular bones	HP:0003026
Long bone shortening	HP:0003026
Short tubular bones	HP:0003026
Short long bone	HP:0003026
Mesomelia	HP:0003027
Mesomelic shortening of limbs	HP:0003027
Disproportionately short middle portion of limb	HP:0003027
Mesomelic limb shortening	HP:0003027
Symmetric mesomelic limb shortness	HP:0003027
Abnormality of the ankles	HP:0003028
Enlargement of the ankles	HP:0003029
Ulnar bowing	HP:0003031
Curved ulna	HP:0003031
Bowed ulna	HP:0003031
Curving of inner forearm bone	HP:0003031
Diaphyseal osteosclerosis	HP:0003034
Craniodiaphyseal osteosclerosis	HP:0003034
Increased bone density in shaft of long bone	HP:0003034
Diaphyseal sclerosis	HP:0003034
Enlarged joints	HP:0003037
Prominent joints	HP:0003037
Short fibulae	HP:0003038
Hypoplastic fibula	HP:0003038
Short calf bone	HP:0003038
Short fibula	HP:0003038
Fibular hypoplasia	HP:0003038
Disease of the joints	HP:0003040
Arthropathy	HP:0003040
Radiohumeral synostosis of elbow	HP:0003041
Humeral-radial synostosis	HP:0003041
Synostosis of radius and humerus	HP:0003041
Humeroradial synostosis	HP:0003041
Fusion of upper and lower arm bones	HP:0003041
Humeral radial synostosis	HP:0003041
Elbow dislocations	HP:0003042
Elbow dislocation	HP:0003042
Dislocations of the elbows	HP:0003042
Radiohumeral dislocation	HP:0003042
Radiocapitellar dislocation	HP:0003042
Ulnohumeral dislocation	HP:0003042
Abnormality of the shoulder	HP:0003043
Shoulder flexion contracture	HP:0003044
Abnormal kneecap	HP:0003045
Patellar abnormality	HP:0003045
Abnormality of the patella	HP:0003045
Abnormal patella morphology	HP:0003045
Radial subluxation	HP:0003048
Radial-head subluxation	HP:0003048
Radial head subluxation	HP:0003048
Ulnar deviation of the wrist	HP:0003049
Ulnar deviation of wrists	HP:0003049
Enlarged metaphyses	HP:0003051
Enlarged wide portion of a long bone	HP:0003051
Epiphyseal deformities of tubular bones	HP:0003053
Tetra-amelia	HP:0003057
Tetraamelia	HP:0003057
Abnormality of the radioulnar joints	HP:0003059
Abnormality of the humerus	HP:0003063
Abnormality of the humeri	HP:0003063
Underdeveloped kneecap	HP:0003065
Patellar hypoplasia	HP:0003065
Small kneecap	HP:0003065
Small patellae	HP:0003065
Hypoplastic patellae	HP:0003065
Small patella	HP:0003065
Limited knee extension	HP:0003066
Madelung wrist deformity	HP:0003067
Madelung deformity	HP:0003067
Madelung-like forearm deformities	HP:0003068
Elbow ankylosis	HP:0003070
Flat end part of bone	HP:0003071
Flattened epiphysis	HP:0003071
Flat epiphyses	HP:0003071
Hypercalcemia	HP:0003072
High blood calcium levels	HP:0003072
Increased calcium in blood	HP:0003072
Hypercalcaemia	HP:0003072
Hypoalbuminaemia	HP:0003073
Hypoalbuminemia	HP:0003073
Low blood albumin	HP:0003073
Low albumin	HP:0003073
High blood glucose	HP:0003074
High blood sugar	HP:0003074
Hyperglycemia	HP:0003074
Hypoproteinemia	HP:0003075
Decreased protein levels in blood	HP:0003075
Glucose in urine	HP:0003076
Glycosuria	HP:0003076
Glucosuria	HP:0003076
Hyperlipidemia	HP:0003077
Elevated lipids in blood	HP:0003077
Defective DNA repair after ultraviolet radiation damage	HP:0003079
Elevated urinary hydroxyproline	HP:0003080
Hydroxyprolinuria	HP:0003080
Increased urinary potassium	HP:0003081
Increased urinary K	HP:0003081
Hyperkaliuresis	HP:0003081
Dislocated radial head	HP:0003083
Radial head dislocation/subluxation	HP:0003083
Radial head dislocation	HP:0003083
Dislocation of the radial head	HP:0003083
Dislocation of radial head	HP:0003083
Dislocated radial heads	HP:0003083
Radial dislocation	HP:0003083
Dislocated radius	HP:0003083
Congenital radial head dislocation	HP:0003083
Increased long bone fracture rate	HP:0003084
Fractures of the long bones	HP:0003084
Long calf bone	HP:0003085
Long fibula	HP:0003085
Disproportionately long fibula	HP:0003085
Acromesomelia	HP:0003086
Premature osteoarthritis	HP:0003088
Premature arthritis	HP:0003088
Hamstring contractures	HP:0003089
Small innermost thighbone end part	HP:0003090
Small femoral capital epiphyses	HP:0003090
Hypoplasia of the capital femoral epiphysis	HP:0003090
Underdevelopment of the innermost thighbone end part	HP:0003090
Small proximal femoral epiphyses	HP:0003090
Small capital femoral epiphyses	HP:0003090
Trophic limb changes	HP:0003091
Restricted hip extension	HP:0003093
Limited hip extension	HP:0003093
Infected joint	HP:0003095
Septic arthritis	HP:0003095
Short thighbone	HP:0003097
Hypoplasia of the femora	HP:0003097
Short femurs	HP:0003097
Femoral hypoplasia	HP:0003097
Short femur	HP:0003097
Overgrowth of calf bone	HP:0003099
Fibular overgrowth	HP:0003099
Slender long bones	HP:0003100
Slender, gracile long tubular bones	HP:0003100
Long bones slender	HP:0003100
Thin gracile long bones	HP:0003100
Thin long bones	HP:0003100
Thin, gracile long bones	HP:0003100
Gracile long bones	HP:0003100
Slender long bone	HP:0003100
Increased carrying angle	HP:0003102
Abnormality of cortical bone	HP:0003103
Abnormal cortical bone morphology	HP:0003103
Abnormal compact bone morphology	HP:0003103
Protuberances at ends of long bones	HP:0003105
Subperiosteal bone resorption	HP:0003106
Subperiosteal erosions	HP:0003106
Abnormality of cholesterol metabolism	HP:0003107
Abnormal circulating cholesterol concentration	HP:0003107
Abnormal cholesterol homeostasis	HP:0003107
Glycinuria	HP:0003108
Hyperglycinuria	HP:0003108
High urine glycine levels	HP:0003108
High urine phosphate levels	HP:0003109
Hyperphosphaturia	HP:0003109
Phosphaturia	HP:0003109
Abnormality of urine homeostasis	HP:0003110
Urine issues	HP:0003110
Pee issues	HP:0003110
Abnormality of ion homeostasis	HP:0003111
Abnormal blood ion concentration	HP:0003111
Electrolyte disorders	HP:0003111
Abnormality of serum amino acid levels	HP:0003112
Abnormality of serum amino acid level	HP:0003112
Hypochloremia	HP:0003113
Low blood chloride levels	HP:0003113
Abnormal ECG	HP:0003115
Abnormal electrocardiogram	HP:0003115
EKG abnormality	HP:0003115
Abnormal EKG	HP:0003115
Abnormal echocardiography	HP:0003116
Abnormal echocardiogram	HP:0003116
Abnormality of circulating hormone level	HP:0003117
Abnormal circulating hormone level	HP:0003117
Hypercortisolism	HP:0003118
Increased circulating cortisol level	HP:0003118
Increased cortisol production	HP:0003118
Cushing syndrome	HP:0003118
Dyslipidemia	HP:0003119
Abnormal circulating lipid concentration	HP:0003119
Limb contractures	HP:0003121
Limb joint contracture	HP:0003121
Increased total cholesterol	HP:0003124
Elevated serum cholesterol	HP:0003124
Elevated total cholesterol	HP:0003124
Hypercholesterolemia	HP:0003124
High cholesterol	HP:0003124
Reduced factor VIII activity	HP:0003125
Factor VIII deficiency	HP:0003125
Low-molecular-weight proteinuria	HP:0003126
Tubular proteinuria	HP:0003126
Low urine calcium levels	HP:0003127
Hypocalciuria	HP:0003127
Lacticacidosis	HP:0003128
Lacticacidemia	HP:0003128
Lactic acidosis	HP:0003128
Increased lactate in body	HP:0003128
Lactic acidemia	HP:0003128
Hyperlacticacidemia	HP:0003128
Abnormal peripheral myelination	HP:0003130
Cystinuria	HP:0003131
High urine cystine levels	HP:0003131
Abnormality of the spinocerebellar tracts	HP:0003133
Sensory and motor nerve conduction abnormalities	HP:0003134
Abnormal peripheral nerve transmission	HP:0003134
Abnormality of peripheral nerve conduction	HP:0003134
Prolinuria	HP:0003137
Increased blood urea nitrogen	HP:0003138
Increased BUN	HP:0003138
Panhypogammaglobulinemia	HP:0003139
Panypogammaglobulinemia	HP:0003139
T-wave inversion in the right precordial leads	HP:0003140
Increased LDL cholesterol concentration	HP:0003141
Increased circulating low-density lipoprotein levels	HP:0003141
Increased LDLc concentration	HP:0003141
Increased LDL cholesterol	HP:0003141
Increased circulating LDL level	HP:0003141
Increased circulating low-density lipoprotein cholesterol	HP:0003141
Hyperbetalipoproteinemia	HP:0003141
Increased plasma LDL levels	HP:0003141
Increased beta-lipoproteins	HP:0003141
Excessive purine production	HP:0003142
Increased serum serotonin	HP:0003144
Decreased ADOCBL	HP:0003145
Decreased adenosylcobalamin	HP:0003145
Decreased circulating cholesterol level	HP:0003146
Hypocholesterolemia	HP:0003146
Acid phosphatase elevated	HP:0003148
Elevated serum acid phosphatase	HP:0003148
High urine uric acid level	HP:0003149
Hyperuricosuria	HP:0003149
Glutaric aciduria	HP:0003150
Glutarate aciduria	HP:0003150
Increased glutarate level in urine	HP:0003150
Glutaricaciduria	HP:0003150
Increased serum calcitriol	HP:0003152
Increased serum 1,25-dihydroxyvitamin D3	HP:0003152
High urine cystathionine levels	HP:0003153
Cystathioninuria	HP:0003153
Increased plasma ACTH	HP:0003154
Increased circulating ACTH level	HP:0003154
High blood corticotropin levels	HP:0003154
Elevated ALP	HP:0003155
Hyperphosphatasemia	HP:0003155
Increased serum alkaline phosphatase	HP:0003155
High serum alkaline phosphatase	HP:0003155
Greatly elevated alkaline phosphatase	HP:0003155
Increased alkaline phosphatase	HP:0003155
Hyperphosphatasia	HP:0003155
Elevated alkaline phosphatase	HP:0003155
Reduced urinary osmolality	HP:0003158
Hyposthenuria	HP:0003158
High urine oxalate levels	HP:0003159
Hyperoxaluria	HP:0003159
Increased level of oxalate in urine	HP:0003159
Abnormal isoelectric focusing of serum transferrin	HP:0003160
Abnormal transferrin isoelectric focusing	HP:0003160
Hydroxyphenylpyruvic aciduria	HP:0003161
4-Hydroxyphenylpyruvic aciduria	HP:0003161
Fasting hypoglycemia	HP:0003162
Low blood sugar when fasting	HP:0003162
Elevated urinary delta-aminolevulinic acid	HP:0003163
Hypothalamic GNRH deficiency	HP:0003164
Hypothalamic gonadotropin-releasing hormone deficiency	HP:0003164
Elevated circulating parathyroid hormone level	HP:0003165
Elevated serum pth	HP:0003165
Elevated circulating PTH level	HP:0003165
Elevated serum parathyroid hormone level	HP:0003165
Increased serum parathyroid hormone	HP:0003165
Elevated serum parathyroid hormone	HP:0003165
Increased urinary taurine	HP:0003166
Carnosinuria	HP:0003167
High urine carnosine levels	HP:0003167
Dibasicaminoaciduria	HP:0003168
Abnormality of the acetabulum	HP:0003170
Abnormality of the hipbone socket	HP:0003170
Acetabular abnormality	HP:0003170
Abnormality of the pubic bones	HP:0003172
Abnormality of the pubis	HP:0003172
Abnormality of the pubic bone	HP:0003172
Hypoplastic pubic bones	HP:0003173
Hypoplastic pubic bone	HP:0003173
Hypoplastic pubis	HP:0003173
Anomaly of the ischium	HP:0003174
Abnormality of the ischium	HP:0003174
Abnormality of the ischial bones	HP:0003174
Hypoplastic ischium	HP:0003175
Hypoplastic ischial bones	HP:0003175
Hypoplastic ischia	HP:0003175
Hypoplastic ischii	HP:0003175
