Abnormality of taste sensation	HP:0000223
Thalamic hemorrhage	HP:0025064
Blepharoclonus	HP:0025097
Eyelid myoclonia	HP:0025097
Eyelid myoclonus	HP:0025097
Dysgenesis of the hypothalamus	HP:0025098
Hypothalamic dysgenesis	HP:0025098
Dysgenesis of the thalamus	HP:0025099
Thalamic dysgenesis	HP:0025099
Abnormal morphology of the hippocampus	HP:0025100
Abnormality of hippocampus morphology	HP:0025100
Abnormal hippocampus morphology	HP:0025100
Hippocampal dysgenesis	HP:0025101
Dysgenesis of the hippocampus	HP:0025101
Basal ganglia dysgenesis	HP:0025102
Dysgenesis of the basal ganglia	HP:0025102
Auditory sensitivity	HP:0025112
Noise sensitivity	HP:0025112
Misophonia	HP:0025113
Hypoganglionosis	HP:0025150
Ganglioneuromatosis	HP:0025151
Abnormal temper tantrums	HP:0025160
Frequent temper tantrums	HP:0025161
Severe temper tantrums	HP:0025162
Neuronal/glioneuronal neoplasm of the CNS	HP:0025170
Glioneuronal tumour	HP:0025170
Neuronal/glioneuronal neoplasm of the central nervous system	HP:0025170
Glioneuronal tumor	HP:0025170
Neuronal and mixed neuronal-glial tumor	HP:0025170
Neuronal and mixed neuronal-glial tumour	HP:0025170
Rosette-forming glioneuronal tumor of the fourth ventricle	HP:0025171
Rosette-forming glioneuronal tumour of the fourth ventricle	HP:0025171
Rosette-forming glioneuronal neoplasm	HP:0025171
Rosette-forming glioneuronal tumor	HP:0025171
Generalized tonic-clonic seizures without focal onset	HP:0025190
Primarily generalised tonic-clonic seizures	HP:0025190
Generalised tonic-clonic seizures without focal onset	HP:0025190
Bilateral tonic-clonic seizure with generalised onset	HP:0025190
Primarily generalized tonic-clonic seizures	HP:0025190
Primary generalised tonic-clonic seizures	HP:0025190
Generalized tonic-clonic seizure without focal onset	HP:0025190
Generalized-onset tonic-clonic seizure	HP:0025190
Generalised-onset tonic-clonic seizure	HP:0025190
Primary generalized tonic-clonic seizures	HP:0025190
Primary generalized tonic-clonic seizure	HP:0025190
Primary generalised tonic-clonic seizure	HP:0025190
Bilateral tonic-clonic seizure with generalized onset	HP:0025190
Generalised tonic-clonic seizure without partial onset	HP:0025190
Generalised tonic-clonic seizure without focal onset	HP:0025190
Generalized tonic-clonic seizure without partial onset	HP:0025190
Subtentorial periventricular white matter hyperdensity	HP:0025192
Sleep paralysis	HP:0025233
Inability to move or speak	HP:0025233
Event that disrupts sleep	HP:0025234
Parasomnia	HP:0025234
NREM parasomnia	HP:0025235
Disturbance in NREM	HP:0025235
Non-rapid eye movement parasomnia	HP:0025235
Somnambulism	HP:0025236
Sleep walking	HP:0025236
Disoriented	HP:0025237
Slow speech or confused thinking upon waking	HP:0025237
Unresponsive	HP:0025237
Confusional arousal	HP:0025237
Claustrophobia	HP:0025253
Snoring symptoms	HP:0025267
Snore	HP:0025267
Snores	HP:0025267
Snoring	HP:0025267
Stuttering	HP:0025268
Stammering	HP:0025268
Panic attack	HP:0025269
Delayed ability to stand	HP:0025335
Delayed ability to sit	HP:0025336
Erratic myoclonus	HP:0025357
Fragmentary myoclonus	HP:0025357
Loud snoring	HP:0025372
Heavy snoring	HP:0025372
Has loud snoring	HP:0025372
Have loud snoring	HP:0025372
Snores loudly	HP:0025372
Interictal EEG abnormality	HP:0025373
Hypodipsia	HP:0025382
Pill-rolling tremor	HP:0025387
Pill rolling	HP:0025387
Stooped posture	HP:0025403
Decrease in amygdala volume	HP:0025444
Reduced amygdala volume	HP:0025444
Abnormal cerebrospinal fluid metabolite concentration	HP:0025454
Abnormal CSF metabolite concentration	HP:0025454
Abnormal CSF metabolite level	HP:0025454
Low CSF 5-hydroxyindolacetic acid	HP:0025455
Decreased CSF 5-hydroxyindolacetic acid concentration	HP:0025455
Low CSF 5-HIAA	HP:0025455
Decreased CSF 5-HIAA	HP:0025455
Abnormal CSF protein concentration	HP:0025456
Abnormal CSF protein level	HP:0025456
Low CSF total protein	HP:0025457
Decreased CSF protein	HP:0025457
Decreased CSF protein concentration	HP:0025457
Hypoproteinorrhachia	HP:0025457
Decreased cerebrospinal fluid total protein	HP:0025457
Low CSF albumin	HP:0025458
Decreased CSF albumin concentration	HP:0025458
Increased CSF/serum albumin ratio	HP:0025459
High myoinositol in brain by MRS	HP:0025460
High myo-inositol in brain by MRS	HP:0025460
Self-neglect	HP:0025479
Lipomyelomeningocele	HP:0025480
Underdeveloped hippocampus	HP:0025517
Small hippocampus	HP:0025517
Hypoplastic hippocampus	HP:0025517
Focal emotional seizure	HP:0025613
Focal affective seizure	HP:0025613
Partial emotional seizure	HP:0025613
Affective seizure	HP:0025613
Emotional seizure	HP:0025613
Perineural cyst	HP:0025643
Tarlov cyst	HP:0025643
Fixation-off epileptiform discharges	HP:0025644
Fixation-off sensitivity	HP:0025644
Bilateral polymicrogyria	HP:0025646
Arnold-Chiari type II malformation	HP:0025660
Chiari type II malformation	HP:0025660
Chiari type III malformation	HP:0025661
Arnold-Chiari type III malformation	HP:0025661
Syntelencephaly	HP:0025670
CMAP facilitation	HP:0025680
Compound muscle action potential amplitude facilitation	HP:0025680
Crouch gait	HP:0025682
Abnormal amyloid beta 42 peptide CSF concentration	HP:0025683
Decreased amyloid beta 42 peptide CSF concentration	HP:0025684
Increased amyloid beta 42 peptide CSF concentration	HP:0025685
Abnormal Abeta 40 level	HP:0025686
Abnormal amyloid beta 40 peptide CSF concentration	HP:0025686
Abnormal beta amyloid 40 level	HP:0025686
Increased amyloid beta 40 peptide CSF concentration	HP:0025687
Abnormal amyloid beta peptide CSF concentration	HP:0025688
Atelencephaly	HP:0025692
Pituitary macroadenoma	HP:0025693
Pituitary gland macroadenoma	HP:0025693
Pituitary microadenoma	HP:0025694
Perisylvian hypermetabolism in FDG PET	HP:0025699
Perisylvian FDG hypermetabolism	HP:0025699
Type 1 schizencephaly	HP:0025702
Trans-mantle schizencephaly	HP:0025702
Type 2 schizencephaly	HP:0025703
Type 3 schizencephaly	HP:0025704
Dystrophic neurite	HP:0025713
Neurite dystrophy	HP:0025713
Cerebral cortical microinfarct	HP:0025714
Cerebral infarct	HP:0025722
Periventricular pseudocyst	HP:0025728
Abnormal social development	HP:0025732
Abnormal third cranial nerve morphology	HP:0025735
Abnormal subthalamic nucleus morphology	HP:0025737
Ring-enhancing cerebral lesion	HP:0025738
Elevated brain succinate level by MRS	HP:0025740
Elevated brain succinate level by magnetic resonance spectroscopy	HP:0025740
Brainstem lucency	HP:0025741
Brainstem lucencies	HP:0025741
Nasoethmoidal encephalocele	HP:0025764
Abnormal affect	HP:0025766
Abnormal positive emotional state	HP:0025767
Positive emotion disturbance	HP:0025767
Inappropriate elation	HP:0025768
Disorganized speech or communication	HP:0025769
Formal thought disorder	HP:0025769
Disordered formal thought process	HP:0025769
Ruminations	HP:0025771
Abnormal lexical patterns	HP:0025772
Abnormal semantics	HP:0025773
Ascribing novel meanings to words	HP:0025774
Idiosyncratic use of words	HP:0025774
Tangential speech	HP:0025775
Tangentiality	HP:0025775
Circumstantiality	HP:0025775
Thought insertion	HP:0025776
Thought broadcasting	HP:0025777
Thought echo	HP:0025778
Echo de pensee	HP:0025778
Gedankenlautverden	HP:0025778
Disorder of thought content	HP:0025779
Abnormal thought pattern	HP:0025779
Abnormal motivation	HP:0025780
Abnormal energy	HP:0025780
Abnormal volitional state	HP:0025780
Abnormally rapid thought process	HP:0025781
Rapid thought process	HP:0025781
Abnormally rapid thought processes	HP:0025781
Abnormal syntax	HP:0025782
Diagnostic behavioral phenotype	HP:0025783
Word salad	HP:0025784
Random stream of words with no logic	HP:0025784
Abnormal preoccupation	HP:0025785
Paraphilia	HP:0025787
Paraphilias	HP:0025787
Delusion of guilt	HP:0025791
Abnormal cognitive process	HP:0025792
Abnormal change in sexual drive	HP:0025793
Abnormal lateral ventricle morphology	HP:0030047
Abnormality of lateral ventricle	HP:0030047
Colpocephaly	HP:0030048
Brain abscess	HP:0030049
Narcolepsy	HP:0030050
Tiptoe gait	HP:0030051
Walking on tiptoes	HP:0030051
Tip-toe gait	HP:0030051
Toe walking	HP:0030051
Olfactory esthesioneuroblastoma	HP:0030068
Chemodectoma	HP:0030074
Chemodectomas	HP:0030074
Punctate periventricular T2 hyperintense foci	HP:0030081
Abnormal drinking behaviour	HP:0030082
Abnormal drinking behavior	HP:0030082
Salt craving	HP:0030083
Abnormal CSF lactate level	HP:0030085
Abnormal CSF lactate concentration	HP:0030085
Reduced CSF lactate	HP:0030086
Hypolactatorachia	HP:0030086
Truncal titubation	HP:0030147
Peripheral amyelination	HP:0030172
Peripheral hypermyelination	HP:0030173
Increased peripheral myelination	HP:0030173
Increased peripheral myelin thickness	HP:0030174
Myelin tomacula	HP:0030175
Tomacula	HP:0030175
Asymmetric peripheral demyelination	HP:0030176
Abnormality of peripheral nervous system electrophysiology	HP:0030177
Abnormal nerve conduction study	HP:0030177
Abnormality of CNS electrophysiology	HP:0030178
Abnormality of central nervous system electrophysiology	HP:0030178
Abnormal peripheral action potential amplitude	HP:0030179
Oppenheim reflex	HP:0030180
Oppenheim sign	HP:0030180
Gordon reflex	HP:0030181
Gordon sign	HP:0030181
Tetraplegia/tetraparesis	HP:0030182
Isometric tremor	HP:0030185
Dystonia tremor	HP:0030185
Kinetic tremor	HP:0030186
Essential tremor	HP:0030186
Titubation	HP:0030187
Tremor of a body part	HP:0030188
Tremor by anatomical site	HP:0030188
Abnormal peripheral nervous system synaptic transmission	HP:0030191
Abnormal PNS synaptic transmission	HP:0030191
Fatigable weakness of bulbar muscles	HP:0030192
Fatigable weakness of chewing muscles	HP:0030193
Fatigable weakness of speech muscles	HP:0030194
Fatigable weakness of swallowing muscles	HP:0030195
Fatigable weakness of respiratory muscles	HP:0030196
Fatigable weakness of skeletal muscles	HP:0030197
Fatigable weakness of distal limb muscles	HP:0030198
Fatigable weakness of neck muscles	HP:0030199
Fatiguable weakness of proximal limb muscles	HP:0030200
Response to drugs acting on neuromuscular transmission	HP:0030201
Favourable response of weakness to acetylcholine esterase inhibitors	HP:0030202
Favorable response of weakness to acetylcholine esterase inhibitors	HP:0030202
Unfavorable response of muscle weakness to acetylcholine esterase inhibitors	HP:0030203
Unfavourable response of muscle weakness to acetylcholine esterase inhibitors	HP:0030203
Collectionism	HP:0030212
Compulsive hoarding	HP:0030212
Hoarding	HP:0030212
Collecting	HP:0030212
Inability to feel emotions	HP:0030213
Emotional blunting	HP:0030213
Emotional dearth	HP:0030213
Cry frequently without cause	HP:0030215
Inappropriate crying	HP:0030215
Cry frequently for no reason	HP:0030215
Frequently cries without reason	HP:0030215
Frequently cries without cause	HP:0030215
Cry frequently without apparent cause	HP:0030215
Frequently cries without apparent cause	HP:0030215
Cry frequently without reason	HP:0030215
Frequently cries for no reason	HP:0030215
Inertia	HP:0030216
Limb apraxia	HP:0030217
Punding	HP:0030218
Trouble remembering words	HP:0030219
Semantic dementia	HP:0030219
Socially inappropriate behavior	HP:0030220
Socially inappropriate behaviour	HP:0030220
Sweet craving	HP:0030221
Visual agnosia	HP:0030222
Perseveration	HP:0030223
Perseverative thought	HP:0030223
Perseverative behavior	HP:0030223
Perseverative behaviour	HP:0030223
Partial absence of the septum pellucidum	HP:0030283
Splayed superior cerebellar peduncle	HP:0030285
Atrophic superior cerebellar peduncle	HP:0030286
Abnormality of the anterior commissure	HP:0030301
Agenesis of the anterior commissure	HP:0030302
Hypoplastic anterior commissure	HP:0030303
Cervicomedullary schisis	HP:0030325
Spoken word recognition deficit	HP:0030391
Choroid plexus carcinoma	HP:0030392
Glucagonoma	HP:0030404
Pancreatic endocrine tumor	HP:0030405
Pancreatic endocrine tumour	HP:0030405
Pineocytoma	HP:0030407
Pineoblastoma	HP:0030408
Pinealoblastoma	HP:0030408
Pinched nerve	HP:0030430
Nerve tumour	HP:0030430
Nerve tumor	HP:0030430
Neuroma	HP:0030430
Pulmonary carcinoid tumor	HP:0030445
Lung carcinoid tumor	HP:0030445
Pulmonary carcinoid tumour	HP:0030445
Lung carcinoid tumour	HP:0030445
Atypical pulmonary carcinoid tumour	HP:0030446
Atypical pulmonary carcinoid tumor	HP:0030446
Neoplasm of the autonomic nervous system	HP:0030450
Abnormality of pattern visual evoked potentials	HP:0030455
Abnormality of pattern onset/offset visual evoked potentials	HP:0030456
Abnormality of pattern onset/offset VEP	HP:0030456
Abnormal amplitude of pattern onset/offset visual evoked potentials	HP:0030457
Abnormal amplitude of pattern onset/offset VEP	HP:0030457
Abnormal timing of pattern onset/offset visual evoked potentials	HP:0030458
Abnormal timing of pattern reversal visual evoked potentials	HP:0030460
Abnormal timing of flash visual evoked potentials	HP:0030461
Abnormal amplitude of flash visual evoked potentials	HP:0030462
Crossed asymmetry of flash visual evoked potentials	HP:0030463
Asymmetrical distribution of flash visual evoked potentials	HP:0030463
Asymmetrical distribution of pattern reversal visual evoked potentials	HP:0030464
Crossed asymmetry of pattern reversal visual evoked potentials	HP:0030464
Holmes' tremor	HP:0030665
Rubral tremor	HP:0030665
Brain tumour	HP:0030692
Brain neoplasm	HP:0030692
Brain tumor	HP:0030692
Pineal parenchymal tumor	HP:0030693
Supratentorial neoplasm	HP:0030693
Pineal parenchymal tumour	HP:0030693
Pineal parenchymal cell neoplasm	HP:0030694
Myeloschisis	HP:0030708
Myelocystocele	HP:0030709
Lipomeningocele	HP:0030710
Median prosencephalic arteriovenous fistula	HP:0030713
Vein of Galen malformation	HP:0030713
Vein of Galen aneurysmal malformation	HP:0030713
Vein of Galen aneurysm	HP:0030713
Central nervous system cyst	HP:0030724
CNS cyst	HP:0030724
Cyst of the central nervous system	HP:0030724
Neurenteric cyst	HP:0030725
Spinal neurenteric cyst	HP:0030726
Intracranial neurenteric cyst	HP:0030727
Frontoethmoid meningocele	HP:0030729
Frontoethmoidal meningocele	HP:0030729
Parietal meningocele	HP:0030730
Intraventricular hemorrhage	HP:0030746
Intraventricular haemorrhage	HP:0030746
Preterm intraventricular haemorrhage	HP:0030747
Preterm intraventricular hemorrhage	HP:0030747
Grade I preterm intraventricular haemorrhage	HP:0030748
Grade I preterm intraventricular hemorrhage	HP:0030748
Germinal matrix hemorrhage	HP:0030748
Germinal matrix haemorrhage	HP:0030748
Grade II preterm intraventricular haemorrhage	HP:0030749
Grade II preterm intraventricular hemorrhage	HP:0030749
Grade III preterm intraventricular haemorrhage	HP:0030750
Grade III preterm intraventricular hemorrhage	HP:0030750
Grade IV preterm intraventricular haemorrhage	HP:0030751
Grade IV preterm intraventricular hemorrhage	HP:0030751
Sleep terrors	HP:0030765
Pavor nocturnus	HP:0030765
Sleep terror	HP:0030765
Night terror	HP:0030765
Exencephaly	HP:0030769
Craniorachischisis	HP:0030770
Ethmocephaly	HP:0030779
Anomia	HP:0030784
Anomic aphasia	HP:0030784
Nominal aphasia	HP:0030784
Amnestic aphasia	HP:0030784
Amnesic aphasia	HP:0030784
Word-finding difficulty	HP:0030784
Reduced volume of central subdivision of bed nucleus of stria terminalis	HP:0030797
Abnormality of the bed nucleus of stria terminalis	HP:0030798
Choking episodes	HP:0030842
Addictive behavior	HP:0030858
Addictive behaviour	HP:0030858
Abnormal CSF amyloid concentration	HP:0030860
Abnormal CSF amyloid level	HP:0030860
Abnormal CSF A[beta]42 level	HP:0030860
Decreased CSF amyloid concentration	HP:0030861
Decreased CSF amyloid level	HP:0030861
Elevated CSF amyloid level	HP:0030862
Elevated CSF amyloid concentration	HP:0030862
White matter hyperintensity	HP:0030890
Hyperintensity of cerebral white matter on MRI	HP:0030890
PVWMH	HP:0030891
Periventricular white matter hyperintensities	HP:0030891
Deep cerebral white matter hyperintensities	HP:0030892
DWMH	HP:0030892
Palmomental reflex	HP:0030902
Palmar grasp reflex	HP:0030903
Grasp reflex	HP:0030903
Myerson's sign	HP:0030904
Glabellar reflex	HP:0030904
Snout reflex	HP:0030905
Persistent nutritive suckle swallow	HP:0030906
Suck reflex	HP:0030906
Thunderclap headache	HP:0030907
Edema of the cerebellum	HP:0030915
Cerebellar edema	HP:0030915
Oedema of the cerebellum	HP:0030915
Enteric intraneuronal nuclear inclusion bodies	HP:0030938
Addictive alcohol use	HP:0030955
Alcohol addiction	HP:0030955
Alcoholism	HP:0030955
Vaulted pontine tegmentum	HP:0030975
Pontine tegmental cap	HP:0030975
Decreased CSF/serum albumin ratio	HP:0030978
Reduced brain glutamine level by MRS	HP:0030980
Abnormal CSF/serum albumin ratio	HP:0030981
CSF rhinorrhoea	HP:0030998
Cerebrospinal fluid rhinorrhoea	HP:0030998
Minifascicle formation	HP:0031001
Neuritis	HP:0031002
Polyneuritis	HP:0031003
Multiple neuritis	HP:0031003
Hemiareflexia	HP:0031004
Acroparesthesia	HP:0031006
Orofacial action-specific dystonia induced by speech	HP:0031007
Jaw dystonia induced by speaking	HP:0031007
Tongue dystonia	HP:0031008
Lingual dystonia	HP:0031008
Multiple mucosal neuromas	HP:0031023
Intracranial fusiform aneurysm	HP:0031056
Fusiform cerebral aneurysm	HP:0031056
Impaired oral bolus formation	HP:0031146
Reduced brain glutamate level by MRS	HP:0031161
Impaired oropharyngeal swallow response	HP:0031162
Multifocal seizures	HP:0031165
Multifocal onset seizures	HP:0031165
Myokymia orbicularis	HP:0031166
Orbicularis myokymia	HP:0031166
Eyelid myokymia	HP:0031166
Striatal T2 hyperintensity	HP:0031206
Dysgeusia	HP:0031249
Parageusia	HP:0031249
Altered sense of taste	HP:0031249
Metallic taste	HP:0031249
Metallic taste in mouth	HP:0031249
Thalamic arteriovenous malformation	HP:0031254
Hypothalamic arteriovenous malformation	HP:0031255
Altered consciousness or cognition	HP:0031258
Delirium	HP:0031258
Trouble falling asleep	HP:0031354
Insomnia initial	HP:0031354
Increased sleep latency	HP:0031354
Sleep onset insomnia	HP:0031354
Insomnia early	HP:0031354
Difficulty falling asleep	HP:0031354
Waking up several times during the night	HP:0031355
Middle insomnia	HP:0031355
Maintenance insomnia	HP:0031355
Insomnia middle	HP:0031355
Early morning awakening	HP:0031356
Terminal insomnia	HP:0031356
Late insomnia	HP:0031356
Vegetative state	HP:0031358
Unresponsive wakefulness	HP:0031358
Small superior frontal cortex	HP:0031421
Abnormal cerebellar cortex morphology	HP:0031422
Abnormal morphology of the cerebellar cortex	HP:0031422
Small cerebellar cortex	HP:0031423
Persistent repetition of sounds	HP:0031431
Restricted or repetitive behaviors or interests	HP:0031432
Unaware of others' emotions	HP:0031433
Alexithymia	HP:0031433
Abnormal prosody	HP:0031434
Monotonic speech	HP:0031435
Flat speech	HP:0031435
Melodic speech	HP:0031436
Singsong Intonation	HP:0031436
Sing song intonation	HP:0031436
Sing-song intonation	HP:0031436
Presacral ganglioneuroma	HP:0031455
Impairment in personality functioning	HP:0031466
Abnormal negative emotional state	HP:0031467
Neuroticism	HP:0031467
Negative affect	HP:0031467
Separation insecurity	HP:0031468
Worthlessness	HP:0031469
Low self-esteem	HP:0031469
Risky behavior	HP:0031472
Hostile	HP:0031473
Anger	HP:0031473
Hostility	HP:0031473
Nonconvulsive status epilepticus	HP:0031475
Status epilepticus without prominent motor symptoms	HP:0031475
Electrical status epilepticus during slow-wave sleep	HP:0031491
Continuous spike and waves during slow sleep	HP:0031491
CSWS	HP:0031491
Absent posterior alpha rhythm	HP:0031518
Increased theta frequency activity in EEG	HP:0031535
Unhappy demeanour	HP:0031588
Unhappy demeanor	HP:0031588
Suicidal perseveration	HP:0031589
Suicidality	HP:0031589
Suicidal thoughts	HP:0031589
Suicidal ideation	HP:0031589
Globus pallidus calcification	HP:0031627
Impaired tandem gait	HP:0031629
Clumsy tandem walking	HP:0031629
Abnormal posterior circulating artery morphology	HP:0031772
Posterior communicating artery aneurysm	HP:0031773
Posterior communicating artery infundibulum	HP:0031774
Palilalia	HP:0031814
Freezing of gait	HP:0031825
Freezing gait	HP:0031825
Abnormal reflex	HP:0031826
Abdominal reflex absent	HP:0031827
Absent abdominal reflex	HP:0031827
Abnormal superficial reflex	HP:0031828
Absent cremaster reflex	HP:0031829
Absent cremasteric reflex	HP:0031829
Abnormally slow thought processes	HP:0031843
Slow thought processes	HP:0031843
Slowed thoughts	HP:0031843
Mental slowness	HP:0031843
Slowness of thought	HP:0031843
Bradyphrenia	HP:0031843
Slowed thinking	HP:0031843
Abnormally slow thought process	HP:0031843
Euphoric mood	HP:0031844
Euphoria	HP:0031844
Difficulty walking backward	HP:0031847
Cock-walk gait	HP:0031848
Sleep rhythm inversion	HP:0031849
Sleep-wake inversion	HP:0031849
Reversed sleep-wake cycle	HP:0031849
Inverted sleep-wake cycle	HP:0031849
Hobby horse gait	HP:0031856
Clasp-knife sign	HP:0031866
Optic ataxia	HP:0031868
Advanced sleep onset	HP:0031873
Early sleep onset	HP:0031873
Early chronotype	HP:0031873
Delayed sleep onset	HP:0031874
Late sleep onset	HP:0031874
Late chronotype	HP:0031874
Agyria diffuse	HP:0031882
Agyria	HP:0031882
Abnormal CSF glucose level	HP:0031884
Abnormal CSF glucose concentration	HP:0031884
Hyperglycorrhachia	HP:0031885
Increased CSF glucose	HP:0031885
Micrographia	HP:0031908
Abnormal cranial nerve physiology	HP:0031910
Abnormal fifth cranial nerve physiology	HP:0031911
Trigeminal anaesthesia	HP:0031912
Trigeminal anesthesia	HP:0031912
Rhombencephalosynapsis	HP:0031913
Delayed walking	HP:0031936
Delayed ability to walk	HP:0031936
Fast speech	HP:0031937
Tachylalia	HP:0031937
Tachylogia	HP:0031937
Abnormal conus terminalis morphology	HP:0031938
Abnormal conus medullaris morphology	HP:0031938
Conus terminalis arteriovenous malformation	HP:0031939
Akathisia	HP:0031943
Tongue tremor	HP:0031947
Jerky movements of the tongue	HP:0031947
Snowball lesion of corpus callosum	HP:0031948
Sleep seizures	HP:0031951
Nocturnal seizures	HP:0031951
Neurogenic claudication	HP:0031952
Cautious gait	HP:0031953
Senile gait	HP:0031953
Dystonic gait	HP:0031954
Antalgic gait	HP:0031955
Limp	HP:0031955
Spastic hemiparetic gait	HP:0031957
Wernicke-Mann gait	HP:0031957
Spastic paraparetic gait	HP:0031958
Leg dystonia	HP:0031959
Arm dystonia	HP:0031960
Abnormal putamen morphology	HP:0031982
Minipolymyoclonus	HP:0031986
Facial-faucial-finger minimyoclonus	HP:0031986
Polyminimyoclonus	HP:0031986
Labored thinking	HP:0031987
Concentration problems	HP:0031987
Poor concentration	HP:0031987
Diminished ability to concentrate	HP:0031987
Lack of concentration	HP:0031987
Chvostek sign	HP:0031990
Hoffmann's sign	HP:0031993
Hoffmann sign	HP:0031993
Hemidystonia	HP:0032005
Lip tremor	HP:0032006
Mononeuritis multiplex	HP:0032018
Multiple mononeuropathy	HP:0032018
Decreased vigilance	HP:0032044
Decreased alertness	HP:0032044
Focal cortical dysplasia	HP:0032046
Focal cortical dysplasia type I	HP:0032047
Focal cortical dysplasia type Ia	HP:0032048
Focal cortical dysplasia type Ib	HP:0032049
Focal cortical dysplasia type Ic	HP:0032050
Focal cortical dysplasia type II	HP:0032051
Focal cortical dysplasia type IIa	HP:0032052
Focal cortical dysplasia type IIb	HP:0032053
Focal cortical dysplasia type III	HP:0032054
Focal cortical dysplasia type IIIa	HP:0032055
Focal cortical dysplasia type IIIb	HP:0032056
Focal cortical dysplasia type IIIc	HP:0032057
Focal cortical dysplasia type IIId	HP:0032058
Mild malformation of cortical development	HP:0032059
Leptomeningeal enhancement	HP:0032070
Abnormal peripheral nervous system physiology	HP:0032120
Froment sign	HP:0032121
Froment thumb sign	HP:0032121
Atrophy of sural nerve	HP:0032145
Sural nerve atrophy	HP:0032145
Fungal meningitis	HP:0032159
Cryptococcal meningitis	HP:0032160
Coccidioidal meningitis	HP:0032161
Empty delta sign	HP:0032267
Dural tail sign	HP:0032268
Increased CSF N-acetylaspartic acid concentration	HP:0032274
Increased N-acetyl-L-aspartic acid levels in CSF	HP:0032274
Increased NAA levels in CSF	HP:0032274
Increased N-acetylaspartate levels in CSF	HP:0032274
Increased N-acetyl aspartic acid levels in CSF	HP:0032274
Increased N-acetyl aspartate levels in CSF	HP:0032274
Lacunar stroke	HP:0032325
Interhemispheric cyst	HP:0032327
Periventricular nodular heterotopia	HP:0032388
Periventricular laminar heterotopia	HP:0032389
Periventricular ribbonlike heterotopia	HP:0032390
Subcortical heterotopia	HP:0032391
Nodular subcortical heterotopia in peritrigonal regions	HP:0032392
Diffuse ribbon-like subcortical heterotopia	HP:0032393
Mesial parasagittal subcortical heterotopia	HP:0032394
Giant heterotopia	HP:0032395
Curvilinear subcortical heterotopia	HP:0032395
Transmantle columnar heterotopia	HP:0032396
Dysgyria	HP:0032398
Dysgyria with normal cortical thickness	HP:0032399
Dysgyria with thickened cortex	HP:0032400
Unilateral perisylvian polymicrogyria	HP:0032406
Bilateral perisylvian polymicrogyria	HP:0032407
Subcortical band heterotopia	HP:0032409
Bilateral generalized polymicrogyria	HP:0032410
Bilateral generalised polymicrogyria	HP:0032410
Diffuse polymicrogyria	HP:0032410
Occipital subcortical band heterotopia	HP:0032411
Subcortical band heterotopia posterior predominant	HP:0032411
Posterior predominant subcortical band heterotopia	HP:0032411
Frontal subcortical band heterotopia	HP:0032412
Anterior predominant subcortical band heterotopia	HP:0032412
Subcortical band heterotopia anterior predominant	HP:0032412
Subcortical band heterotopia diffuse	HP:0032413
Diffuse subcortical band heterotopia	HP:0032413
Parasagittal parieto-occipital polymicrogyria	HP:0032415
Unlayered lissencephaly	HP:0032456
2-3-layered lissencephaly	HP:0032457
Aplasia of the olfactory bulb	HP:0032466
Aplastic olfactory bulb	HP:0032466
Olfactory bulb aplasia	HP:0032466
Focal polymicrogyria	HP:0032471
6-layered lissencephaly	HP:0032475
Lateral spinal meningocele	HP:0032478
Barber chair phenomenon	HP:0032504
Lhermitte's sign	HP:0032504
Lhermitte's phenomenon	HP:0032504
Hydrophobia	HP:0032505
Alien limb phenomenon	HP:0032506
Fasciculations, labiomental	HP:0032507
Labiomental fasciculations	HP:0032507
Polyembolokoilamania	HP:0032508
Onychotillomania	HP:0032509
Spasmodic upper-body squeeze	HP:0032521
Self hugging	HP:0032521
Elevated CSF gamma-aminobutyric acid concentration	HP:0032531
Gamma-aminobutyric acid (GABA) high in CSF	HP:0032531
Elevated CSF GHB levels	HP:0032532
Elevated CSF gamma-hydroxybutyric acid	HP:0032532
Elevated CSF 4-hydroxybutyric acid concentration	HP:0032532
Tonic neck reflex asymmetrical and persistent	HP:0032549
Persistent asymmetrical tonic neck reflex	HP:0032549
Persistent fencer's reflex	HP:0032549
Pontine ischemic lacunes	HP:0032570
Pontine ischaemic lacunes	HP:0032570
Third ventricle colloid cyst	HP:0032578
Lack of purposeful hand use	HP:0032588
Hand apraxia	HP:0032588
Abnormal diffusion weighted cerebral MRI morphology	HP:0032615
Diffusion weighted magnetic resonance imaging (DWI) abnormality	HP:0032615
Diffusion weighted imaging (DWI) abnormality	HP:0032615
MRI diffusion abnormality of the cerebrum	HP:0032615
Elevated CSF glial fibrillary acidic protein concentration	HP:0032650
Elevated CSF glial fibrillary acidic protein level	HP:0032650
Elevated CSF chitinase-3-like protein 1 concentration	HP:0032651
Elevated CSF chitinase-3-like protein 1 level	HP:0032651
Elevated CSF chitotriosidase 1 level	HP:0032652
Elevated CSF chitotriosidase 1 concentration	HP:0032652
Febrile status epilepticus	HP:0032656
Fever-induced status epilepticus	HP:0032656
Status epilepticus with prominent motor symptoms	HP:0032658
Subtle status epilepticus	HP:0032659
Non-convulsive status epilepticus with coma	HP:0032659
Tonic-clonic status epilepticus	HP:0032660
Convulsive status epilepticus	HP:0032660
Generalised convulsive status epilepticus	HP:0032661
Generalized convulsive status epilepticus	HP:0032661
Partial-onset seizure evolving into convulsive status epilepticus	HP:0032662
Partial onset seizure evolving into convulsive status epilepticus	HP:0032662
Focal onset seizure evolving into bilateral convulsive status epilepticus	HP:0032662
