Lower lip pit	HP:0000196
Fructose malabsorption	None
High erythrocyte sedimentation rate	None
Elevated sedimentation rate	None
Increased erythrocyte sedimentation rate	None
Elevated erythrocyte sedimentation rate	None
High ESR	None
Elevated ESR	None
Raised erythrocyte sedimentation rate	None
Chronic absent circulating IgE	None
Chronic (near) absent IgE in blood	None
Tuberculosis skin test positive	None
Positive tuberculin skin test	None
Positive Mantoux tuberculosis test	None
Increased valine in urine	None
Valinuria	None
Elevated CSF alpha-ketoglutarate concentration	None
Primapterinuria	None
Elevated urinary 7-biopterin level	None
Decreased CSF N-acetylaspartate acid concentration	None
Decreased CSF N-acetylaspartic acid concentration	None
N-acetylaspartate absent in CSF	None
Hypolipidemia	None
Abnormal chylomicron concentration	None
Food intolerance	None
Non-allergic food hypersensitivity	None
Aceruloplasminemia	None
Aceruloplasminaemia	None
Abnormal salivary metabolite concentration	None
Elevated fecal pH	None
Stool pH high	None
Elevated faecal pH	None
Decreased urine citrate concentration	None
Hypocitraturia	None
Reduced breast milk zinc concentration	None
Ethylmalonic aciduria	None
Increased proinsulin:insulin ratio	None
Elevated circulating biliverdin concentration	None
Conjugated hyperbilirubinemia	None
Direct hyperbilirubinemia	None
Elevated blood homocystine	None
Hyperhomocystinemia	None
Homocystinemia	None
Elevated CSF N-carbamyl-beta-alanine concentration	None
N-carbamyl-beta-alanine high in CSF	None
Elevated urine 2-methylcitrate level	None
Elevated urine 2-methylcitric acid level	None
2-methylcitric acid high in urine	None
Increased level of ribose in urine	None
Decreased lysosomal acid glucosylceramidase activity	None
Decreased beta-glucocerebrosidase level	None
Decreased circulating IgG1 level	None
Decreased IgG1 level in blood	None
Decreased circulating IgG1 concentration	None
Positive skin infectious agent test	None
Reduced leukocyte N-sulfoglucosamine sulfohydrolase activity	None
Reduced leukocyte N-sulphoglucosamine sulphohydrolase activity	None
Oligoclonal elevation of circulating IgA	None
Generalised tissue oedema	None
Generalized tissue edema	None
Generalised oedema	None
Generalized edema	None
Elevated circulating 3-hydroxyisovalerylcarnitine concentration	None
Elevated circulating C5-OH acylcarnitine concentration	None
Reduced hepatic dihydropyrimidinase activity	None
Reduced hepatic glucose-6-phosphatase activity	None
Abnormal circulating Na concentration	None
Abnormal blood Na+ levels	None
Abnormality of sodium homeostasis	None
Abnormal blood sodium concentration	None
Abnormal circulating enzyme concentration	None
Abnormality of circulating enzyme level	None
Elevated urine osmolarity	None
Elevated urine osmolality	None
Hyperosthenuria	None
Decreased iduronate sulfatase level	None
Elevated serum taurine levels	None
Increased circulating taurine levels in the blood	None
Hypertaurinemia	None
Decreased plasma total carnitine	None
Monoclonal elevation of circulating IgE	None
Monoclonal elevated circulating IgE concentration	None
Predominantly lower limb lymphedema	None
Reduced tissue alpha-N-acetylglucosaminidase activity	None
Elevated mitochondrial citrate synthase activity	None
IgM heavy chain paraproteinemia	None
Neutral hyperaminoaciduria	None
Chromosomal breakage induced by ionising radiation	None
Increased cellular radiosensitivity	None
Chromosomal breakage induced by ionizing radiation	None
Radiation-induced chromosome instability	None
Acellular urinary casts	None
Acellular casts	None
High threonine levels in cerebrospinal fluid	None
Increased CSF threonine concentration	None
Low blood sugar	None
Hypoglycaemia	None
Hypoglycemia	None
Elevated circulating D-glyceric concentration	None
Abnormal circulating serine family amino acid concentration	None
Abnormality of serine family amino acid metabolism	None
Positive rubella CSF culture	None
Decreased hydroxyproline in the blood	None
Low level of hydroxyproline in the blood	None
Decreased circulating hydroxyproline concentration	None
Abnormal blood potassium concentration	None
Abnormal circulating potassium concentration	None
Abnormality of potassium homeostasis	None
Abnormal blood K concentration	None
Laboratory abnormality	None
Abnormality of metabolism/homeostasis	None
Metabolism abnormality	None
Homocystinuria	None
High urine homocystine levels	None
Increased serum lactate	None
Higher than normal levels of lactate in blood	None
Increased blood lactate	None
Increased circulating lactate concentration	None
Elevated circulating 3,4-dihydroxyphenylalanine concentration	None
Elevated circulating DOPA concentration	None
DOPA high in blood	None
Hypercalciuria	None
Elevated urine calcium levels	None
Hypercalcinuria	None
2-hydroxyadipic acid high in urine	None
2-hydroxyadipic aciduria	None
Decreased circulating alpha-fetoprotein concentration	None
Decreased CSF tetrahydrobiopterin level	None
Low blood potassium levels	None
Hypokalemia	None
Reduced level of N-acetylglucosaminyltransferase II	None
Deficient N-acetylglucosaminyltransferase II	None
Positive CSF Borrelia burgdorferi antibody positivity	None
Decreased activity of mitochondrial complex IV	None
Respiratory complex IV deficiency	None
Decreased specific antibody response to infection	None
Elevated circulating Angiotensin-converting enzyme concentration	None
Angiotensin-converting enzyme (ACE) high in blood	None
Reduced haptoglobin level	None
Hydroxylysinuria	None
Hydroxylysine high in urine	None
Abnormal circulating thromboxane concentration	None
Increased fecal bile acid	None
Elevated urine 3-methyladipic acid level	None
Increased disialyl T-antigen concentration	None
Increased disialylated core 1 O-glycan level	None
Abnormality of the kinin-kallikrein system	None
Abnormal urine carboxylic acid level	None
Abnormal lymphocyte apoptosis	None
Elevated urinary DPD	None
Increased urine deoxypyridinoline level	None
Low CSF 5-hydroxyindolacetic acid	None
Decreased CSF 5-hydroxyindolacetic acid concentration	None
Low CSF 5-HIAA	None
Decreased CSF 5-HIAA	None
Moderate proteinuria	None
Porphyrinuria	None
Elevated CSF myelin basic protein concentration	None
Myelin basic protein high in CSF	None
Positive bloodstream cryptococcus culture	None
Copper accumulation in liver	None
Liver copper accumulation	None
Lack of fat in blood	None
Hypolipoproteinemia	None
Increased level of xylitol in CSF	None
Increased level of xylitol in cerebrospinal fluid	None
Increased CSF xylitol concentration	None
Increased level of anti-animal protein IgE antibody	None
Increased anti-animal protein IgE antibody level	None
Increased circulating Tg levels	None
Increased plasma Tg levels	None
Hypertriglyceridemia	None
Increased serum triglycerides	None
Increased plasma triglycerides	None
Increased triglycerides	None
Elevated CSF 14-3-3 protein concentration	None
Waxy casts	None
Decreased serum ceruloplasminA	None
Hypoceruloplasminaemia	None
Decreased serum ceruloplasmin	None
Hypoceruloplasminemia	None
Decreased circulating ceruloplasmin concentration	None
Kappa Bence Jones proteinuria	None
Abnormal CSF carboxylic acid concentration	None
Decreased carnitine level in liver	None
Chronic partially decreased IgG1 in blood	None
Chronic partially decreased circulating IgG1	None
Positive meconium methadone test	None
Decreased muscle glycogen content	None
Fingerprint intracellular accumulation of autofluorescent lipopigment storage material	None
Fingerprint profiles ultrastructurally in cells	None
Fingerprint profiles ultrastructurally	None
Increased erythrocyte uroproporphyrin concentration	None
Uroporphyrin high in erythrocytes	None
Decreased activities of mitochondrial-encoded respiratory chain complexes	None
Decreased activity of mitochondrial respiratory chain	None
Decreased activity of mitochondrial respiratory complexes	None
Increased circulating fetuin A concentration	None
Abnormal circulating aspartate concentration	None
Abnormal circulating aspartic acid concentration	None
Elevated urine aconitic acid level	None
Hypohistidinemia	None
Low blood histidine levels	None
Decreased blood histidine concentration	None
Hypolysinemia	None
Low blood lysine levels	None
Decreased blood lysine	None
Abnormal CSF valine concentration	None
Abnormal valine levels in cerebrospinal fluid	None
Elevated urinary butyric acid level	None
Hepatic reticuloendothelial system cell iron deposition	None
Abnormality of vitamin D metabolism	None
Abnormal fucosylation of protein N-linked glycosylation	None
Elevated urinary 3-aminoisobutyric acid	None
Low alanine levels in cerebrospinal fluid	None
Decreased CSF alanine concentration	None
Increased serum zinc	None
Hyperzincemia	None
Respiratory complex II deficiency	None
Decreased activity of mitochondrial complex II	None
Increased circulating cathepsin D level	None
Pulmonary edema	None
Lung oedema	None
Lung edema	None
Excess fluid in lungs	None
Wet lung	None
Abnormal circulating beta-C-terminal telopeptide concentration	None
Abnormal circulating beta-C-terminal telopeptide level	None
Abnormal circulating beta-CTx level	None
Abnormal circulating beta-CrossLaps level	None
Increased amyloid beta 40 peptide CSF concentration	None
Reduced tissue neuraminidase activity	None
Elevated urine manganese level	None
High plasma sarcosine levels	None
Hypersarcosinemia	None
Anti-West Nile virus antibody positivity	None
Reduced muscle 6-phosphofructokinase activity	None
Decreased circulating vitamin B2 concentration	None
Low levels of vitamin B2	None
Riboflavin deficiency	None
Vitamin B2 deficiency	None
Reduced alpha-methylacyl-CoA racemase activity in cultured fibroblasts	None
Decreased CSF amyloid concentration	None
Decreased CSF amyloid level	None
Ketoacidosis	None
Decreased circulating beta-carotene concentration	None
Abnormal gamma-glutamyltransferase level	None
Abnormal circulating prealbumin concentration	None
Abnormal hepatic glycogen storage	None
Elevated urinary bile acid level	None
Increased circulating alpha-mannosidase activity	None
Abnormality of body height	None
Increased body height	None
Increased linear growth	None
Tall stature	None
Accelerated linear growth	None
Pubertal delay	None
Delayed puberty	None
Delayed pubertal growth	None
Delayed pubertal development	None
Pituitary dwarfism	None
Growth issue	None
Growth abnormality	None
Abnormal growth	None
Poor weight gain	None
Postnatal failure to thrive	None
Faltering weight	None
FTT	None
Undergrowth	None
Failure to thrive	None
Weight faltering	None
Poor growth	None
Growth failure	None
Retarded growth	None
Growth deficiency	None
Growth delay	None
Delayed growth	None
Growth retardation	None
Very poor growth	None
Prenatal growth retardation	None
Prenatal-onset growth retardation	None
Intrauterine growth failure	None
In utero growth retardation	None
Intrauterine growth restriction	None
Fetal growth restriction	None
Intrauterine retardation	None
Intrauterine growth retardation	None
Prenatal growth failure	None
Prenatal onset growth retardation	None
Prenatal growth deficiency	None
Small for gestational age infant	None
FGR	None
Intrauterine growth retardation, IUGR	None
IUGR	None
Having too much body fat	None
Obesity	None
Low birth weight	None
Small for gestational age	None
Birth weight less than 10th percentile	None
Marfanoid habitus	None
Marfanoid body habitus	None
Reduced upper-lower segment ratio	None
Dolichostenomelia	None
Disproportionate tall stature	None
Fetal macrosomia	None
Macrosomia, neonatal	None
Birth weight > 90th percentile	None
Large for gestational age	None
Macrosomia	None
Birthweight > 90th percentile	None
Foetal macrosomia	None
Severe faltering weight	None
Severe postnatal failure to thrive	None
Marked failure to thrive	None
Severe failure to thrive	None
Severe weight faltering	None
Hemihypertrophy	None
Asymmetric limb hypertrophy	None
Asymmetric overgrowth	None
Postnatal onset of mild growth retardation	None
Mild postnatal growth retardation	None
Mild growth deficiency	None
Failure to thrive in first year of life	None
Weight faltering in infancy	None
Faltering weight in infancy	None
Failure to thrive in infancy	None
Thin build	None
Thin body habitus	None
Asthenic habitus	None
Slender build	None
Generalized overgrowth	None
General overgrowth	None
Overgrowth	None
Generalised overgrowth	None
Loss of weight	None
Weight loss	None
Truncal obesity	None
Centripetal obesity	None
Situs inversus visceralis	None
Situs inversus viscerum	None
Abdominal situs inversus	None
Disproportionate short stature	None
Short stature, severe disproportionate	None
Short stature, disproportionate	None
Relative short stature	None
short stature, mild	None
Mild short stature	None
Proportionate short stature	None
Short stature, proportionate	None
Proportionate small stature	None
Short stature, extreme	None
Short stature, severe	None
Proportionate dwarfism	None
Dwarfism	None
Severe short stature	None
Birth length greater than 97th percentile	None
Fetal overgrowth	None
Foetal overgrowth	None
Disproportionate short-trunk short stature	None
Disproportionate short-trunked short stature	None
Short-trunked dwarfism	None
Disproportionate short-trunked dwarfism	None
Birth length < 3rd percentile	None
Birth length less than 3rd percentile	None
Birth length <3rd percentile	None
Eunuchoid habitus	None
Decreased body height	None
Small stature	None
Height less than 3rd percentile	None
Stature below 3rd percentile	None
Short stature	None
Abnormality of habitus	None
Abnormality of body weight	None
Increased body weight	None
Weight gain	None
Low weight	None
Weight less than 3rd percentile	None
Low body weight	None
Decreased weight	None
Decreased body weight	None
Cachexia	None
Wasting syndrome	None
Rhizomelic arm shortening	None
Mesomelic/rhizomelic limb shortening	None
Rhizo-meso-acromelic limb shortening	None
Short stature, disproportionate mesomelic	None
Short stature, mesomelic	None
Mesomelic dwarfism	None
Mesomelic short stature	None
Dwarfism, short limb mesomelic	None
Severe intrauterine growth retardation	None
Intrauterine growth retardation, severe	None
Severe prenatal growth deficiency	None
Moderately short stature	None
Moderate short stature	None
Short stature, moderate	None
Marked growth retardation	None
Severe postnatal growth failure	None
Severe postnatal growth deficiency	None
Severe postnatal growth retardation	None
Severe growth delay in children	None
Moderate postnatal growth retardation	None
Moderate growth delay in children	None
Neonatal short-trunk short stature	None
Short-trunk dwarfism identifiable at birth	None
Weight faltering secondary to recurrent infections	None
Faltering weight secondary to recurrent infections	None
Failure to thrive secondary to recurrent infections	None
Micromelic dwarfism	None
Short-limb dwarfism	None
Brachymelic dwarfism	None
Disproportionate short-limb short stature	None
Short-limbed dwarfism	None
Short limb dwarfism	None
Disproportionate short limb dwarfism	None
Short limb dwarfism, disproportionate	None
Dwarfism, short-limbed	None
Short stature, disproportionate short limb	None
Short stature, disproportionate short-limb	None
Mild prenatal growth deficiency	None
Mild intrauterine growth retardation	None
Severe short-limb dwarfism	None
Postnatal growth deficiency	None
Postnatal growth deceleration	None
Postnatal growth retardation	None
Postnatal growth failure	None
Growth delay as children	None
Growth retardation as children	None
Disproportionately short upper portion of limb	None
Short stature, rhizomelic	None
Rhizomelic short limbs	None
Rhizomelia	None
Rhizomelic short stature	None
Rhizomelic dwarfism	None
Rhizomelic shortening	None
Symmetrical rhizomelic limb shortening	None
Rhizomelic limb shortening	None
Lethal micromelic dwarfism	None
Lethal short-limbed dwarfism	None
Lethal short-limbed short stature	None
Childhood-onset truncal obesity	None
Truncal obesity apparent in childhood	None
Dwarfism, neonatal short-limbed	None
Short-limb dwarfism identifiable neonatally	None
Neonatal short-limb short stature	None
Short limb dwarfism recognisable at birth	None
Neonatal short-limbed dwarfism	None
Short-limbed dwarfism identifiable at birth	None
Short-limb dwarfism identifiable at birth	None
Short limb dwarfism recognizable at birth	None
Disproportionate short-trunk short stature, identifiable in childhood	None
Short-trunk dwarfism identifiable during childhood	None
Childhood-onset short-trunk short stature	None
Asymmetric short stature	None
Lethal short-trunk short stature	None
Lethal short-trunk dwarfism	None
Childhood onset short-limb short stature	None
Short-limb dwarfism identifiable during childhood	None
Short-trunk dwarfism, identifiable in infancy	None
Infancy onset short-trunk short stature	None
Proportionate tall stature	None
Moderate intrauterine growth retardation	None
Right atrial isomerism	None
Left atrial isomerism	None
Abnormality of abdominal situs	None
Rhizomelic leg shortening	None
Delayed menarche	None
Delayed start of first period	None
Abdominal obesity	None
Central obesity	None
Abnormal upper to lower segment ratio	None
Reduced upper to lower segment ratio	None
Increased upper to lower segment ratio	None
Delayed adrenarche	None
Class I obesity	None
Obesity grade 1	None
Class II obesity	None
Obesity grade 2	None
Obesity grade 3	None
Class III obesity	None
Overweight	None
Delayed thelarche	None
Increased body fat percentage	None
Heterotaxia	None
Heterotaxy	None
Absent adolescent growth spurt	None
Absent pubertal growth spurt	None
Increased body mass index	None
Increased BMI	None
Bronchial isomerism	None
Abdominal situs ambiguus	None
Abnormal waist to hip ratio	None
Increased waist-hip ratio	None
Increased waist-to-hip ratio	None
Increased waist to hip ratio	None
Increased WHR	None
Decreased waist to hip ratio	None
Decreased waist-to-hip ratio	None
Decreased WHR	None
Decreased waist-hip ratio	None
Isomerism	None
Left Isomerism	None
Left-sided isomerism	None
Right isomerism	None
Right-sided isomerism	None
Abnormal skinfold thickness measurement	None
Abnormal triceps skinfold thickness	None
Increased triceps skinfold thickness	None
Acromegaly	None
Acral hypertrophy	None
Acral enlargement	None
Acral overgrowth	None
Acromegalic growth	None
Growth without growth hormone	None
Decreased body fat percentage	None
Decreased adipose tissue percentage	None
Abnormality of body mass index	None
Abnormal body mass index	None
Abnormal BMI	None
Decreased body mass index	None
Decreased BMI	None
Hemihypertrophy of lower limb	None
Overgrowth of one leg	None
Overgrowth of one arm	None
Hemihypertrophy of upper limb	None
Asymmetric growth	None
Uneven or disproportionate growth of one body part compared to another	None
Hemiatrophy of the body	None
Hemiatrophy	None
Asymmetric limb shortening	None
Asymmetric lower limb shortening	None
Hemiatrophy of lower limb	None
Hemiatrophy of upper limb	None
Hemihypotrophy of upper limb	None
Asymmetric upper limb shortening	None
Left and right leg differ in length or width	None
Leg length discrepancy	None
Lower limb asymmetry	None
Unequal size of arms	None
Upper limb asymmetry	None
Asymmetric leg shortening	None
Asymmetric lower limb shortness	None
Hemihypotrophy of lower limb	None
Urinary incontinence	None
Bladder incontinence	None
Loss of bladder control	None
Premature sudden cardiac death	None
Sudden cardiac death	None
Sudden death	None
Abdominal pain	None
Stomach pain	None
Pain in stomach	None
Abdominal discomfort	None
Upset stomach	None
Gastro pain	None
Gastrointestinal pain	None
Intermittent abdominal pain	None
Episodic abdominal pain	None
Faecal incontinence	None
Bowel incontinence	None
Fecal incontinence	None
Loss of bowel control	None
Anal incontinence	None
Bone pain	None
Joint pains	None
Arthritic pain	None
Arthralgia	None
Arthralgias	None
Joint pain	None
Muscle pain	None
Myalgias	None
Myalgia	None
Muscle ache	None
Back pain	None
Lumbago	None
Low back pain	None
Lower back pain	None
Exercise intolerance	None
Low exercise endurance	None
Poor exercise tolerance	None
Decreased ability to exercise	None
Inability to exercise	None
Exercise-induced muscle pain	None
Muscle pain on exercise	None
Exercise-induced myalgia	None
Muscle pain with exercise	None
Muscle pain, exercise-induced	None
Joint pain/Joint inflammation	None
Arthralgia/arthritis	None
Costochondral pain	None
Costochondral junction pain	None
Limb pain	None
Pain in extremities	None
Stress urinary incontinence	None
Abdominal colic	None
Sciatica	None
Occipital neuralgia	None
Tiredness	None
Tired	None
Fatigue	None
Episodic fatigue	None
Chronic fatigue	None
Chronic extreme exhaustion	None
Upper limb pain	None
Lower limb pain	None
Leg pain	None
Pain	None
Chronic pain	None
Long-lasting pain	None
Allodynia	None
Nipple tenderness	None
Sneeze	None
Paroxysmal sneezing	None
Constitutional symptom	None
Chills	None
Shivering	None
Shuddering	None
Rigors	None
Rigours	None
Foot pain	None
Lack of energy and strength	None
Asthenia	None
Weakness	None
Prostration	None
Scrotal pain	None
Flank pain	None
Kidney pain	None
Night sweats	None
Nocturnal hyperhidrosis	None
Otalgia	None
Ear pain	None
Pain in the ear	None
Tongue pain	None
Painful tongue	None
Neck pain	None
Shoulder pain	None
Elbow pain	None
Wrist pain	None
Finger pain	None
Hip pain	None
Knee pain	None
Pain under knee cap	None
Ankle pain	None
Toe pain	None
Eye movement-induced pain	None
Vulvar pain	None
Vulvodynia	None
Postexertional symptom exacerbation	None
Exercise-induced malaise	None
Postexertional malaise	None
Impairment of activities of daily living	None
Impaired ability to bathe oneself	None
Impaired ability to dress oneself	None
Impaired toileting ability	None
Impaired transferring ability	None
Impaired feeding ability	None
Impaired continence	None
Hot flashes	None
Chest distress	None
Tightness of chest	None
Chest tightness	None
Tightness in chest	None
Groin pain	None
Calf myalgia	None
Calf muscle pain	None
Gastrocnemius myalgia	None
Wilson sign	None
Precordial pain	None
Foetor hepaticus	None
Fetor hepaticus	None
Erythromelalgia	None
Episodic pain	None
Breakthrough pain	None
Paroxysmal rectal pain	None
Abdominal cramps	None
Bladder pain	None
Tendon pain	None
Abdominal rigidity	None
Rigid abdomen	None
Abdominal guarding	None
Body ache	None
Pharyngodynia	None
Throat discomfort	None
Pharyngalgia	None
Throat pain	None
Sore throat	None
Central fatigue	None
Cognitive fatigue	None
Sudden unexpected death in epilepsy	None
SUDEP	None
Neuralgia	None
Acute abdomen	None
Acute abdominal pain	None
Diminished health-related quality of life	None
Diminished physical health	None
Diminished physical functioning	None
Decline in physical functional health	None
Mental impairment	None
Diminished mental health	None
Reduced mental health	None
Frailty	None
Occupational disability	None
Pain between shoulder blades	None
Intrascapular pain	None
Pleuritic chest pain	None
Malaise	None
Testicular pain	None
Pain in testicles	None
Coldness	None
Coolness to palpation	None
Cold skin temperature	None
Cool skin	None
Cool skin temperature	None
Mastalgia	None
Painful breast	None
Breast pain	None
Pain in the pelvis	None
Pelvic pain	None
Buttock pain	None
Eyelid pain	None
Encopresis	None
Stool soiling	None
Stool holding	None
Jaw pain	None
Penile pain	None
Pain in penis	None
Hand pain	None
Pain in head and neck region	None
Recurrent singultus	None
Recurrent synchronous diaphragmatic flutter	None
Recurrent hiccup	None
Recurrent hiccough	None
Hiccups	None
Hiccup	None
Painful menstruation	None
Dysmenorrhea	None
Trigeminal neuralgia	None
Tic douloureux	None
Chest discomfort	None
Chest pain	None
Thoracic pain	None
Death of body tissue due to lack of blood flow or infection	None
Gangrene	None
Bad breath	None
Halitosis	None
Foetor ex ore	None
Lower jaw pain	None
Mandibular pain	None
Eye pain	None
Ocular pain	None
Epigastric pain	None
Epigastrium pain	None
Fishy body odor	None
Fishy odour	None
Fishy odor	None
Fishy body odour	None
Fish odor	None
Musty odor	None
Vaginal fish odor	None
Dyspepsia	None
Indigestion	None
Body odor	None
Osmidrosis	None
Bromidrosis	None
Bromhidrosis	None
BO	None
Anal pain	None
Anorectal pain	None
Proctalgia	None
Rectal pain	None
Excessive belching	None
Excessive eructation	None
Excessive burping	None
Costovertebral angle pain	None
Costovertebral angle tenderness	None
Chandelier sign	None
Cervical motion tenderness	None
Painful defecation	None
Pain associated with bowel movements	None
Forearm pain	None
Burning eye sensation	None
Peripheral vasoconstriction	None
Extremities cold to touch	None
Carotidynia	None
Sweaty foot-like odor	None
Pain at the base of the thumb	None
Proximal arm pain	None
Upper arm pain	None
Anterior shoulder pain	None
Pain at the anterior aspect of the elbow	None
Pain at the anterior aspect of the knee	None
Pain at the posterior aspect of the knee	None
Pain on the lateral aspect of the foot	None
Lateral foot pain	None
Pain at the medial aspect of the knee	None
Pain at the lateral aspect of the knee	None
Trochanteric pain	None
Lateral hip pain	None
Pain at the lateral aspect of the hip	None
Pain on the outside of the hip	None
Pain at the lateral aspect of the elbow	None
Radial elbow pain	None
Lateral elbow pain	None
Pain at the posterior aspect of the elbow	None
Pain at the medial aspect of the elbow	None
Ulnar wrist pain	None
Large anterior fontanel	None
Large anterior fontanelle	None
Large open anterior fontanel	None
Wide open anterior fontanelle	None
Wide anterior fontanelle	None
Wide anterior fontanel	None
Large anterior fontanels	None
Large open anterior fontanelle	None
Wider-than-typical soft spot of skull	None
Bulging fontanelle	None
Tense fontanelle	None
Multiple suture craniosynostosis	None
Multisutural craniosynostosis	None
Grooved tongue	None
Prominent tongue grooves	None
Furrowed tongue	None
Fissured tongue	None
Plicated tongue	None
Scrotal tongue	None
Lingual furrow	None
Lingua plicata	None
Abnormality of the tongue	None
Glossal abnormality	None
Lingual abnormality	None
Abnormal tongue	None
Tongue abnormality	None
Combined hamartoma of the retinal pigment epithelium and retina	None
Nasolacrimal sac papilloma	None
Hypotrophic lower eyelid	None
Small lower eyelid	None
Short lower eyelid	None
Hypoplasia of the lower eyelids	None
Decreased size of lower eyelid	None
Underdevelopment of lower eyelid	None
Unilateral lambdoid suture synostosis	None
Unilambdoid synostosis	None
Unilateral lambdoid craniosynostosis	None
Arachnoidocele	None
Empty sella turcica	None
Widespread gum disease	None
Generalised periodontitis	None
Generalized gum disease	None
Generalized periodontal disease	None
Generalized periodontitis	None
Generalised gum disease	None
Generalised periodontal disease	None
Taurodontism	None
Taurodontia	None
Large elongated pulp chamber	None
Taurodont	None
Naris, narrow	None
Slit-like nostrils	None
Narrow naris	None
Thin nares	None
Naris, slit-like	None
Narrow nares	None
Thin nostrils	None
Collapsed nostrils	None
Narrow nostrils	None
Small nostrils	None
Columella, high insertion	None
High insertion of columella	None
Ala lower than columella	None
Orbital cleft	None
Abnormality of parotid gland	None
Anomaly of the parotid gland	None
Abnormal parotid gland morphology	None
Edematous lip	None
Lip swelling	None
Swollen lip	None
Swelling of the lip	None
Crooked front teeth	None
Abnormality of alignment of incisors	None
Crooked incisors	None
Abnormality of position of incisors	None
Malposition of incisors	None
Misalignment of incisors	None
Missing permanent upper lateral incisor	None
Failure of development of permanent upper lateral incisor	None
Agenesis of permanent upper lateral incisor	None
Failure of development of permanent maxillary lateral incisor	None
Missing permanent maxillary lateral incisor	None
Absence of permanent maxillary lateral incisor	None
Agenesis of permanent maxillary lateral incisor	None
Hypoplastic alae nasae	None
Underdeveloped tissue around nostril	None
Hypoplastic alae nasi	None
Hypoplastic nasal alae	None
Hypoplastic nasal wings	None
Nasal cartilage hypoplasia	None
Hypoplastic nostrils	None
Thin hypoplastic alae nasi	None
Hypoplastic alar cartilage	None
Hypoplastic alar nasae	None
Ala nasi, underdeveloped	None
Hypoplastic nares	None
Small nasal alae	None
Underdeveloped nasal alae	None
Decreased size of nasal alae	None
Alar cartilage hypoplasia	None
Small flat posterior fossa	None
Small and flat posterior skull bones	None
Small and flat posterior fossa of skull	None
Low hanging nasal tip	None
Nasal tip, overhanging	None
Overhanging nasal tip	None
Drooping nasal tip	None
Hooked tip of nose	None
Lower jaw pain	None
Mandibular pain	None
Diastema between front teeth	None
Anterior diastema of teeth	None
Diastema between incisors	None
Widely spaced front teeth	None
Widely-spaced incisors	None
Gap between front teeth	None
Vertical forehead creases	None
Vertical forehead wrinkles	None
Vertical forehead rhytids	None
Frontal creases of face	None
Submucous cleft of soft and hard palate	None
Epicanthus inversus	None
Left unicoronal synostosis	None
Small hypophyseal fossa	None
Hypoplasia of pituitary fossa	None
Small pituitary fossa	None
Hypoplasia of sella turcica	None
Hypoplasia of hypophseal fossa	None
Small sella turcica	None
Capillary malformation of the lip	None
Enamel pearls	None
Meningoencephalocele	None
Malar hypoplasia	None
Underdevelopment of malar bone	None
Hypotrophic malar bone	None
Zygomatic flattening	None
Flat cheekbone	None
Decreased size of malar bone	None
Depressed malar region	None
Malar flattening	None
Atrophied masseter muscle	None
Atrophy of masseter muscle	None
Masseter muscle atrophy	None
Abnormal shape of the back of the head	None
Abnormal shape of posterior head	None
Abnormal shape of posterior cranium	None
Abnormal shape of the back of the skull	None
Abnormal shape of the occiput	None
Abnormal shape of posterior skull	None
Abnormality of cranium size	None
Abnormality of head size	None
Abnormality of skull size	None
Abnormality of bicuspid	None
Abnormality of premolar	None
Epicanthal folds	None
Prominent eye folds	None
Eye folds	None
Plica palpebronasalis	None
Epicanthus	None
Epicanthic folds	None
Epicanthal fold	None
Palpebronasal fold	None
Big foramen magnum	None
Large foramen magnum	None
Wide foramen magnum	None
Increased circumference of foramen magnum	None
Enlarged foramen magnum	None
Increased diameter of foramen magnum	None
Dilation of foramen magnum	None
Restricted neck mobility due to contractures	None
Neck joint contracture	None
Restricted neck movement due to contractures	None
Abnormality of the secondary palate	None
Abnormal hard palate morphology	None
Abnormality of the hard palate	None
Missing more than six teeth	None
Partial anodontia	None
Number of teeth decreased by more than six	None
Oligodontia	None
Failure of development of more than six teeth	None
Abnormality of the vasculature of the conjunctiva	None
Abnormal morphology of the conjunctival vasculature	None
Abnormal vasculature of the conjunctiva morphology	None
Abnormal morphology of the conjunctiva vasculature	None
Absence of lower premolar	None
Failure of development of mandibular premolar	None
Missing lower premolar	None
Absence of mandibular premolar	None
Agenesis of mandibular premolar	None
Missing mandibular premolar	None
Late eruption of milk teeth	None
Delayed eruption of deciduous teeth	None
Late eruption of baby teeth	None
Delayed eruption of baby teeth	None
Delayed primary teeth eruption	None
Delayed eruption of primary teeth	None
Delayed eruption of milk teeth	None
Late eruption of primary teeth	None
Bilateral obstruction of the rear opening of the nasal cavity	None
Bilateral blockage of the rear opening of the nasal cavity	None
Bilateral choanal atresia	None
Metopic suture patent to nasal root	None
Incomplete cleft soft palate	None
Nasolacrimal sac obstruction	None
Lingual protrusion	None
Prominent tongue	None
Lingual prominence	None
Protruding tongue	None
Lingual prolapse	None
Prolapse of tongue	None
Tongue sticking out of mouth	None
Tongue protrusion	None
Failure of development of ethmoid sinuses	None
Absent ethmoidal sinuses	None
Agenesis of ethmoid sinuses	None
Missing ethmoid sinuses	None
Short tongue frenulum	None
Short lingual frenum	None
Hypoplasia of lingual frenum	None
Tight lingual frenulum	None
Hypoplasia of tongue frenum	None
Hypoplasia of tongue frenulum	None
Short lingual frenulum	None
Short tongue frenum	None
Deficiency of lingual frenulum	None
Hypoplasia of lingual frenulum	None
Lipoma of the tongue	None
Tongue lipoma	None
