Inguinal hernia	HP:0000023
Absent ossification of skull vault	HP:0005623
Osteoporosis of vertebrae	HP:0005625
Posterior fusion of lumbosacral vertebrae	HP:0005626
Type D brachydactyly	HP:0005627
Brachydactyly type D	HP:0005627
Decreased anterioposterior diameter of lumbar vertebral bodies	HP:0005638
Hyperextensible hand joints	HP:0005639
Abnormal vertebral segmentation and fusion	HP:0005640
Brachydactyly of third toes	HP:0005643
Short 3rd toe	HP:0005643
Short third toe	HP:0005643
Multiple intervertebral disk calcifications	HP:0005645
Intervertebral disc calcification	HP:0005645
Multiple intervertebral disc calcifications	HP:0005645
Intervertebral disk calcification	HP:0005645
Bilateral ulnar hypoplasia	HP:0005648
Webbed 2nd-5th fingers	HP:0005650
2-5 finger cutaneous syndactyly	HP:0005650
Cutaneous syndactyly between fingers 2 and 5	HP:0005650
Cortical sclerosis	HP:0005652
Moderate generalized osteoporosis	HP:0005653
Moderate generalised osteoporosis	HP:0005653
Multiple digital exostoses	HP:0005655
Thoracic kyphoscoliosis	HP:0005659
Salmonella osteomyelitis	HP:0005661
Salmonella bone infection	HP:0005661
Massively thickened long bone cortices	HP:0005665
Os odontoideum	HP:0005667
Bilateral intracerebral calcifications	HP:0005671
Bilateral intracranial calcifications	HP:0005671
Rudimentary postaxial polydactyly of hands	HP:0005676
Anterior atlanto-occipital dislocation	HP:0005678
Dupuytren contracture	HP:0005679
Tongue-like lumbar vertebral deformities	HP:0005680
Juvenile idiopathic arthritis	HP:0005681
Juvenile rheumatoid arthritis	HP:0005681
Rheumatoid arthritis, juvenile	HP:0005681
Juvenile RA	HP:0005681
Fusion of foot joint	HP:0005682
Fusion of the subtalar joint	HP:0005682
Talocalcaneal synostosis	HP:0005682
Distal arthrogryposis	HP:0005684
Patchy increase of bone mineral density	HP:0005686
Uneven increase in bone density	HP:0005686
Patchy osteosclerosis	HP:0005686
Deformed head of long bone in upper arm	HP:0005687
Deformed humeral heads	HP:0005687
Dysplastic distal thumb phalanges with a central hole	HP:0005688
Partial fusion of innermost row of wrist bones	HP:0005694
Partial fusion of proximal row of carpal bones	HP:0005694
Postaxial polydactyly type A	HP:0005696
Increased bone density with cystic changes	HP:0005700
Multiple enchondromatosis	HP:0005701
Bilateral triphalangeal thumbs	HP:0005707
Bilateral digitalized thumb	HP:0005707
Complete cutaneous syndactyly of second and third toes	HP:0005709
2-3 toe cutaneous syndactyly	HP:0005709
Cutaneous 2,3 toe syndactyly	HP:0005709
Cutaneous syndactyly of second and third toes	HP:0005709
Webbed skin of 2nd-3rd toes	HP:0005709
Flattened end part of knee bone	HP:0005715
Flattened knee epiphyses	HP:0005715
Lethal dwarfism identifiable at birth	HP:0005716
Lethal skeletal dysplasia	HP:0005716
Shortening of all metacarpals	HP:0005720
Hyperextensible thumb	HP:0005722
Double jointed thumb	HP:0005722
Shoe-shaped sella turcica	HP:0005723
Nonopposable triphalangeal thumb	HP:0005725
Short thumbs with bulbous tips	HP:0005726
Thumbs hypoplastic with bulbous tips	HP:0005726
Cortical irregularity	HP:0005731
Spinal stenosis due to short pedicles	HP:0005733
Spinal stenosis with reduced interpedicular distance	HP:0005733
Short skankbone	HP:0005736
Shortening of the tibia	HP:0005736
Shortening of the shinbone	HP:0005736
Hypoplasia of the tibia	HP:0005736
Short tibiae	HP:0005736
Short tibia	HP:0005736
Short shinbone	HP:0005736
Shortening of the shankbone	HP:0005736
Hypoplastic tibia	HP:0005736
Posterior subluxation of radial head	HP:0005739
Avascular necrosis of the capital femoral epiphysis	HP:0005743
Coxa plana	HP:0005743
Osteochondrosis of the femoral head	HP:0005743
Perthes-like femoral head changes	HP:0005743
Legg-Calve-Perthes syndrome	HP:0005743
Legg-Perthes disease	HP:0005743
Morbus Legg-Calve-Perthes	HP:0005743
Osteonecrosis of the femoral head	HP:0005743
Congenital foot contractures	HP:0005745
Osteosclerosis of the skull base	HP:0005746
Osteosclerosis of the base of the skull	HP:0005746
Easily subluxated first metacarpophalangeal joints	HP:0005747
Contractures of the joints of the lower limbs	HP:0005750
Contractures, lower limbs	HP:0005750
Lower-limb joint contracture	HP:0005750
Flattened moderately deformed vertebrae	HP:0005752
Epiphyseal stippling in neonates	HP:0005756
Neonatal epiphyseal stippling	HP:0005756
Speckled calcifications in bone end parts in neonates	HP:0005756
Basilar impression	HP:0005758
Small flat posterior fossa	HP:0005759
Small and flat posterior skull bones	HP:0005759
Small and flat posterior fossa of skull	HP:0005759
Polyarticular arthritis	HP:0005764
Sacral meningocele	HP:0005765
Marked shortening of tibia	HP:0005766
Disproportionate shortening of the tibia	HP:0005766
Disproportionate shortening of the shankbone	HP:0005766
Disproportionate shortening of the shinbone	HP:0005766
1-2 toe complete cutaneous syndactyly	HP:0005767
2-4 toe cutaneous syndactyly	HP:0005768
Webbed 2nd, 3rd and 4th toes	HP:0005768
Soft tissue syndactyly of toes 2, 3, and 4	HP:0005768
Webbed second, third and fourth toes	HP:0005768
Curvature of outermost bone of pinkie finger	HP:0005769
Curvature of outermost bone of little finger	HP:0005769
Fifth finger distal phalanx clinodactyly	HP:0005769
Curvature of outermost bone of pinky finger	HP:0005769
Absent/small shinbone	HP:0005772
Absent/underdeveloped shankbone	HP:0005772
Absent/underdeveloped shinbone	HP:0005772
Aplasia/Hypoplasia of the tibia	HP:0005772
Absent/small shankbone	HP:0005772
Absent/hypoplastic tibia	HP:0005772
Aplastic/hypoplastic tibia	HP:0005772
Short forearm	HP:0005773
Hypoplasia of both radius and ulna	HP:0005773
Multiple skeletal anomalies	HP:0005775
Carpal bone malsegmentation	HP:0005776
Absent fourth finger distal interphalangeal crease	HP:0005780
No fourth finger distal interphalangeal crease	HP:0005780
Contractures of the large joints	HP:0005781
Lumbar platyspondyly	HP:0005787
Osteosclerosis, diffuse symmetrical	HP:0005789
Increased bone density in skeletal bones	HP:0005789
Diffuse, symmetrical osteosclerosis	HP:0005789
Generalized osteosclerosis	HP:0005789
Generalised osteosclerosis	HP:0005789
Short mandibular condyles	HP:0005790
Short condylar process of mandible	HP:0005790
Decreased length of condylar process of mandible	HP:0005790
Bilateral hypoplasia of mandibular condylar head	HP:0005790
Short condylar neck of mandible	HP:0005790
Bilateral hypoplasia of condylar process of mandible	HP:0005790
Bilateral hypoplasia of mandibular condylar neck	HP:0005790
Short condylar head of mandible	HP:0005790
Decreased height of condylar process of mandible	HP:0005790
Cortical thickening of long bone diaphyses	HP:0005791
Hypoplastic humerus	HP:0005792
Humeral shortening	HP:0005792
Humeral hypoplasia	HP:0005792
Short long bone of upper arm	HP:0005792
Short humerus	HP:0005792
Short humeri	HP:0005792
Short upper arms	HP:0005792
Shortening of all outermost bone of the toes	HP:0005793
Shortening of all distal phalanges of the toes	HP:0005793
Posterior radial head dislocation	HP:0005798
Coalescence of tarsal bones	HP:0005802
Absent outermost digital bones	HP:0005807
Absent distal phalanges	HP:0005807
Supernumerary ribs	HP:0005815
Extra ribs	HP:0005815
Postaxial polysyndactyly of foot	HP:0005817
Hypoplastic middle phalanx	HP:0005819
Short middle phalanx of finger	HP:0005819
Hypoplastic middle phalanges	HP:0005819
Short middle bone of finger	HP:0005819
Hypoplasia of the middle phalanges of the hand	HP:0005819
Short middle phalanges	HP:0005819
Brachymesophalangy	HP:0005819
Disproportionately short middle phalanges	HP:0005819
Midphalangeal hypoplasia	HP:0005819
Shortened middle finger bones	HP:0005819
Superior rib anomalies	HP:0005820
Curvature of 2nd toe	HP:0005824
Clinodactyly of second toes	HP:0005824
Clinodactyly of the 2nd toe	HP:0005824
Mixed sclerosis of humeral metaphyses	HP:0005825
Toe contractures	HP:0005830
Flexion contracture of toe	HP:0005830
Contractures of the toes	HP:0005830
Contractures involving the toes	HP:0005830
Type B brachydactyly	HP:0005831
Dysharmonic delayed bone age	HP:0005832
Calcific stippling of infantile cartilaginous skeleton	HP:0005841
Rounded middle phalanx of finger	HP:0005844
Rounded middle bone of finger	HP:0005844
Diffuse cerebral calcification	HP:0005849
Limited elbow extension and supination	HP:0005852
Congenital foot contraction deformities	HP:0005853
Numerous multiple fractures that are present at birth	HP:0005855
Multiple fractures, present at birth	HP:0005855
Multiple fractures present at birth	HP:0005855
Numerous multiple fractures present at birth	HP:0005855
Multiple prenatal fractures	HP:0005855
Congenital bone fractures	HP:0005855
Ulnar radial head dislocation	HP:0005856
Ulnar dislocation of radial heads	HP:0005856
Type E brachydactyly	HP:0005863
Pseudoarthroses	HP:0005864
Pseudoarthrosis	HP:0005864
Opposable triphalangeal thumb	HP:0005866
Fused fourth and fifth metacarpals	HP:0005867
Fused 4th-5th metacarpals	HP:0005867
4-5 metacarpal synostosis	HP:0005867
Ring finger and little finger metacarpal synostosis	HP:0005867
Synostosis of the fourth and fifth metacarpal bones	HP:0005867
Fused 4th-5th long bones of hand	HP:0005867
Metaphyseal enchondromatosis	HP:0005868
Metaphyseal chondrodysplasia	HP:0005871
Progressive brachydactyly of middle and distal phalanges	HP:0005872
Short middle and distal phalanges of digits ii through v	HP:0005872
Brachytelomesophalangy	HP:0005872
Polysyndactyly of hallux	HP:0005873
Polysyndactyly of great toe	HP:0005873
Polysyndactyly of big toe	HP:0005873
Joint contractures, progressive	HP:0005876
Progressive flexion contractures	HP:0005876
Multiple small vertebral fractures	HP:0005877
Enlarged sagittal diameter of the cervical canal	HP:0005878
Congenital finger flexion contractures	HP:0005879
Congenital finger contractures	HP:0005879
Metacarpophalangeal synostosis	HP:0005880
Fused long bone of hand with innermost finger bone	HP:0005880
Spinal instability	HP:0005881
Absent ossification of cervical vertebral bodies	HP:0005885
Aphalangy of the hands	HP:0005886
Excessive growth of inner surface of the skull bones	HP:0005890
Thick internal surface of the cranial bones	HP:0005890
Hyperostosis of the internal surface of the cranial bone	HP:0005890
Hyperostosis of the internal surface of the cranial bones	HP:0005890
Overgrowth of the inner surface of the skull bones	HP:0005890
Enlargement of the inner surface of the skull bones	HP:0005890
Hypertrophy of the internal surface of the cranial bones	HP:0005890
Thick inner surface of the skull bones	HP:0005890
Increased ossification of the internal surface of the cranial bones	HP:0005890
Overgrowth of the inside of the skull	HP:0005890
Hyperostosis cranialis interna	HP:0005890
Progressive forearm bowing	HP:0005891
Progressive forearm curvature	HP:0005891
Proximal tibial and fibular fusion	HP:0005892
Fusion of innermost shinbone and calf bone	HP:0005892
Proximal tibiofibular synostosis	HP:0005892
Double first metacarpals	HP:0005894
Double 1st long bones of hand	HP:0005894
Radial deviation of thumb terminal phalanx	HP:0005895
Severe generalised osteoporosis	HP:0005897
Severe generalized osteoporosis	HP:0005897
Severe, generalized osteoporosis	HP:0005897
Severe, generalised osteoporosis	HP:0005897
Fifth metacarpal with ulnar notch	HP:0005900
Fifth metacarpal notched on ulnar side	HP:0005900
Abnormal neck curve	HP:0005905
Abnormal cervical curvature	HP:0005905
Delayed pneumatization of the mastoid process	HP:0005906
Mastoid processes poorly pneumatized	HP:0005906
Rhomboid or triangular shaped fifth finger middle phalanx	HP:0005910
Rhomboid or triangular shaped 5th finger middle phalanx	HP:0005910
Abnormality of end part of long bone of hand	HP:0005913
Abnormal metacarpal epiphysis morphology	HP:0005913
Abnormality of metacarpal epiphyses	HP:0005913
Absent or hypoplastic metacarpals	HP:0005914
Metacarpal aplasia/hypoplasia	HP:0005914
Aplasia/Hypoplasia involving the metacarpal bones	HP:0005914
Aplastic/hypoplastic metacarpals	HP:0005914
Hypoplastic/absent metacarpals	HP:0005914
Absent/underdeveloped long bones of hand	HP:0005914
Hypoplastic/absent metacarpal bones	HP:0005914
Hypoplastic metacarpals	HP:0005914
Absent/small long bones of hand	HP:0005914
Abnormal shape of long bones of hand	HP:0005916
Abnormal shape of metacarpal bones	HP:0005916
Abnormal metacarpal morphology	HP:0005916
Supernumerary metacarpal bones	HP:0005917
Extra long bones of hand	HP:0005917
Abnormality of the phalanges	HP:0005918
Abnormality of phalanx of finger	HP:0005918
Abnormal finger phalanx morphology	HP:0005918
Abnormality of the finger bones	HP:0005918
Abnormality of the phalanges of the hand	HP:0005918
Abnormal form of phalanges of the hand	HP:0005918
Abnormal epiphysis morphology of the phalanges of the hand	HP:0005920
Abnormal hand metaphysis morphology	HP:0005923
Abnormalities of the metaphyses of the hand	HP:0005923
Abnormality of the wide portion of the hand bone	HP:0005923
Abnormality of the epiphyses of the phalanges of the hand	HP:0005924
Abnormality of the end part of the hand bone	HP:0005924
Abnormality of the epiphyses of the fingers	HP:0005924
Abnormality of the end part of the hand bones	HP:0005924
Abnormal hand epiphysis morphology	HP:0005924
Abnormality of the epiphyses of the hand	HP:0005924
Abnormalities of the diaphyses of the hand	HP:0005925
Abnormal hand diaphysis morphology	HP:0005925
Abnormalities of shaft of long bone of the hand	HP:0005925
Abnormality of hand cortical bone	HP:0005926
Abnormal hand cortical bone morphology	HP:0005926
Abnormality of the cortex of hand bones	HP:0005926
Aplasia/hypoplasia involving bones of the hand	HP:0005927
Absent/underdeveloped hand bones	HP:0005927
Hypoplasia/absence of hand bones	HP:0005927
Absent/small hand bones	HP:0005927
Synostosis involving the fibula	HP:0005928
Bone fusion involving the calf bones	HP:0005928
Synostosis involving the tibia	HP:0005929
Bone fusion involving the shinbone	HP:0005929
Anomaly of the epiphyses	HP:0005930
Abnormal epiphysis morphology	HP:0005930
Epiphyseal abnormality	HP:0005930
Abnormality of the epiphyses	HP:0005930
Abnormality of epiphysis morphology	HP:0005930
Abnormal shape of end part of bone	HP:0005930
Congenital muscular torticollis	HP:0005988
Torticollis, congenital	HP:0005988
Loss of adipose tissue around the neck	HP:0005995
Loss of fat around neck	HP:0005995
Decreased adipose tissue around neck	HP:0005995
Restricted neck mobility due to contractures	HP:0005997
Neck joint contracture	HP:0005997
Restricted neck movement due to contractures	HP:0005997
Degeneration of small hand muscles	HP:0006006
Hypotrophy of the small hand muscles	HP:0006006
Unilateral brachydactyly	HP:0006008
Short digits on one side	HP:0006008
Wide digital bones	HP:0006009
Broad phalanges	HP:0006009
Widened phalanges	HP:0006009
Wide phalanges	HP:0006009
Broad phalanx	HP:0006009
Short, cube shaped long bone of hand	HP:0006011
Cuboidal metacarpal	HP:0006011
Widened metacarpal shaft	HP:0006012
Broad shaft of long bone of hand	HP:0006012
Abnormally shaped wrist bones	HP:0006014
Abnormally shaped carpal bones	HP:0006014
Delayed phalangeal epiphyseal bone maturation	HP:0006016
Delayed phalangeal epiphyseal ossification	HP:0006016
Delayed bone maturation of end part of digital bone	HP:0006016
Decreased space in hinge joint	HP:0006019
Reduced proximal interphalangeal joint space	HP:0006019
Rounded epiphyses	HP:0006026
Rounded end part of bone	HP:0006026
Cupping of wide portion of long bone of hand	HP:0006028
Metaphyseal cupping of metacarpals	HP:0006028
Metacarpal/metaphyseal cupping	HP:0006028
Cone-shaped epiphyses of phalanges 2 to 5	HP:0006035
Cone-shaped end part of digital bones 2 to 5	HP:0006035
Long second metacarpal	HP:0006040
Long 2nd long bone of hand	HP:0006040
Y-shaped long bone of hand	HP:0006042
Y-shaped metacarpals	HP:0006042
Short pointed digital bones	HP:0006045
Short pointed phalanges	HP:0006045
Wide outermost end of long bone	HP:0006048
Distal widening of metacarpals	HP:0006048
Metacarpal periosteal thickening	HP:0006051
Cone-shaped end part of long bone	HP:0006059
Cone-shaped metacarpal epiphyses	HP:0006059
Metacarpal cone-shaped epiphyses	HP:0006059
Tombstone-shaped innermost digital bones	HP:0006060
Tombstone-shaped proximal phalanges	HP:0006060
Limited movement of hinge joints	HP:0006064
Limited interphalangeal movement	HP:0006064
Multiple carpal ossification centres	HP:0006067
Multiple carpal ossification centers	HP:0006067
Metacarpal/phalangeal joint contractures	HP:0006070
Metacarpophalangeal joint contracture	HP:0006070
Absent proximal finger flexion creases	HP:0006077
Thin metacarpal cortices	HP:0006086
1-5 finger complete cutaneous syndactyly	HP:0006088
Malaligned carpal bone	HP:0006092
Incorrect alignment of wrist bone	HP:0006092
Finger joint hypermobility	HP:0006094
Increased mobility in finger joint	HP:0006094
Wide tufts of distal phalanges	HP:0006095
Wide tips of outermost digital bone	HP:0006095
Webbed 3rd-4th fingers	HP:0006097
Webbed 3rd-4th finger	HP:0006097
3-4 finger osseus syndactyly	HP:0006097
Partial or complete syndactyly 3rd-4th fingers	HP:0006097
Metacarpophalangeal joint hyperextensibility	HP:0006099
Finger syndactyly	HP:0006101
Partial syndactyly	HP:0006101
Absent trapezoid bone	HP:0006106
Tapered metacarpals	HP:0006108
Tapered long bones of hand	HP:0006108
Absent interphalangeal creases	HP:0006109
Aplasia of the interphalangeal creases	HP:0006109
Absent phalangeal crease	HP:0006109
Shortening of all middle phalanges of the fingers	HP:0006110
Expanded phalanges with widened medullary cavities	HP:0006112
Shortening of all outermost bones of the fingers	HP:0006118
Brachytelephalangy	HP:0006118
Shortening of all distal phalanges of the fingers	HP:0006118
Proximal tapering of metacarpals	HP:0006119
Pointed innermost long bone of hand	HP:0006119
Pointed proximal metacarpals	HP:0006119
Long innermost finger bone	HP:0006127
Long proximal phalanx of finger	HP:0006127
Drumstick shaped digital bones	HP:0006129
Drumstick terminal phalanges	HP:0006129
Enlarged end part of long bone of hand	HP:0006134
Enlarged metacarpal epiphyses	HP:0006134
Decreased finger mobility	HP:0006135
Decreased finger movement	HP:0006135
Bilateral postaxial polydactyly	HP:0006136
Premature fusion of end part of digital bone	HP:0006140
Premature fusion of phalangeal epiphyses	HP:0006140
Abnormal finger flexion crease	HP:0006143
Abnormal finger flexion creases	HP:0006143
Shortening of all proximal phalanges of the fingers	HP:0006144
Shortening of all innermost bones of the fingers	HP:0006144
Central Y-shaped metacarpal	HP:0006145
Y-shaped central long bones of hand	HP:0006145
Broad end part of long bone of hand	HP:0006146
Broad metacarpal epiphyses	HP:0006146
Progressive fusion 2nd-5th pip joints	HP:0006147
Increased laxity of fingers	HP:0006149
Swan neck-like deformities of the fingers	HP:0006150
Proximal interphalangeal joint synostoses	HP:0006152
Proximal symphalangism of hands	HP:0006152
Fused innermost hinge joints	HP:0006152
Long phalanx of finger	HP:0006155
Long finger bone	HP:0006155
Ulnar deviation of thumb	HP:0006156
Curved thumb deviated towards palm	HP:0006156
Ulnar deviation of the 1st finger	HP:0006156
Mesoaxial hand polydactyly	HP:0006159
Interdigital finger polydactyly	HP:0006159
Central hand polydactyly	HP:0006159
Irregular long bones of hand	HP:0006160
Irregular metacarpals	HP:0006160
Short metacarpals with rounded proximal ends	HP:0006161
Short long bone of hand with rounded innermost ends	HP:0006161
Soft tissue swelling of hinge joints	HP:0006162
Soft tissue swelling of interphalangeal joints	HP:0006162
Enlarged metacarpophalangeal joints	HP:0006163
Proportionate shortening of all digits	HP:0006165
Cylindrical shaped long bones of hand	HP:0006166
Tubular metacarpal bones	HP:0006166
Prominent proximal interphalangeal joints	HP:0006167
Prominent innermost hinge joints	HP:0006167
Decreased mobility 3rd-5th fingers	HP:0006169
Chess-pawn shaped outermost bone	HP:0006170
Chess-pawn distal phalanges	HP:0006170
Flattened, squared-off epiphyses of tubular bones	HP:0006172
Flattened, squared-off end part of tubular bones	HP:0006172
Metacarpal diaphyseal endosteal sclerosis	HP:0006174
Proximal phalangeal periosteal thickening	HP:0006175
Thickening of connective tissue of innermost finger bone	HP:0006175
Two carpal ossification centres present at birth	HP:0006176
Two carpal ossification centers present at birth	HP:0006176
Pseudoepiphyses of second metacarpal	HP:0006179
Pseudoepiphysis of the 2nd metacarpal	HP:0006179
Extra bone on end of second long bone of hand	HP:0006179
Crowded carpal bones	HP:0006180
Crowded wrist bones	HP:0006180
Enlarged innermost hinge joint	HP:0006185
Enlarged proximal interphalangeal joints	HP:0006185
Tapered finger bone	HP:0006192
Tapered phalanx of finger	HP:0006192
Thimble-shaped middle phalanges of hand	HP:0006193
Thimble-shaped middle bones of hand	HP:0006193
Widened distal phalanges	HP:0006200
Widened outermost bone of limb	HP:0006200
Hypermobility of distal interphalangeal joints	HP:0006201
Increased mobility of outermost hinge joint	HP:0006201
Osteolysis of scaphoids	HP:0006202
Decreased movement range in interphalangeal joints	HP:0006203
Decreased range of movement range in hinge joints	HP:0006203
Irregular phalanges	HP:0006205
Irregular finger bones	HP:0006205
Hypersegmentation of proximal phalanx of second finger	HP:0006206
Partial fusion of carpals	HP:0006207
Metaphyseal cupping of proximal phalanges	HP:0006208
Partial-complete absence of 5th phalanges	HP:0006209
Partial-complete absence of 5th digital bone	HP:0006209
Postaxial oligodactyly	HP:0006210
Thin proximal phalanges with broad epiphyses of the hand	HP:0006213
Thin innermost bone with broad end part of the hand bone	HP:0006213
Thin proximal phalanges with broad epiphyses	HP:0006213
Fifth finger single interphalangeal crease	HP:0006216
Single interphalangeal crease of fifth finger	HP:0006216
Limited mobility of proximal interphalangeal joint	HP:0006217
Limited mobility of innermost hinge joint	HP:0006217
Tapering pointed ends of distal finger phalanges	HP:0006224
Osteoarthritis of the first carpometacarpal joint	HP:0006226
Unilateral oligodactyly	HP:0006230
Expanded metacarpals with widened medullary cavities	HP:0006232
Osteoarthritis of the distal interphalangeal joint	HP:0006233
Tarsal osteolysis	HP:0006234
Tarsal bone osteolysis	HP:0006234
Osteolysis involving tarsal bones	HP:0006234
Slender long bones of hand	HP:0006236
Slender metacarpals	HP:0006236
Prominent hinge joints	HP:0006237
Prominent interphalangeal joints	HP:0006237
Shortening of all the middle bones of the toes	HP:0006239
Shortening of all middle phalanges of the toes	HP:0006239
Brachymesophalangy of feet	HP:0006239
Phalangeal dislocation	HP:0006243
Enlarged interphalangeal joints	HP:0006247
Enlarged hinge joints	HP:0006247
Limited movement of the wrist	HP:0006248
Limited wrist movement	HP:0006248
Limited wrist extension	HP:0006251
Interphalangeal joint erosions	HP:0006252
Swelling of innermost hinge joints	HP:0006253
Swelling of proximal interphalangeal joints	HP:0006253
Abnormality of hand joint mobility	HP:0006256
Abnormality of carpal bone ossification	HP:0006257
Abnormal wrist bone maturation	HP:0006257
Abnormality of the small joints of the hand	HP:0006261
Abnormality of phalangeal joints of the hand	HP:0006261
Abnormal phalangeal joint morphology of the hand	HP:0006261
Absent/small pinky finger	HP:0006262
Absent/underdeveloped pinkie finger	HP:0006262
Absent/small little finger	HP:0006262
Absent/underdeveloped pinky finger	HP:0006262
Aplasia/Hypoplasia of the 5th finger	HP:0006262
Absent/small pinkie finger	HP:0006262
Absent/underdeveloped little finger	HP:0006262
Abnormality of the epiphyses of the 2nd finger	HP:0006263
Abnormality of the end part of the index finger bone	HP:0006263
Aplasia/Hypoplasia of the 2nd finger	HP:0006264
Absent/underdeveloped index finger	HP:0006264
Absent/small index finger	HP:0006264
Aplasia/Hypoplasia of fingers	HP:0006265
Absent/underdeveloped fingers	HP:0006265
Absent/small fingers	HP:0006265
Generalised hypoplasia of tooth enamel	HP:0006282
Generalized hypoplasia of tooth enamel	HP:0006282
Generalized hypoplasia of dental enamel	HP:0006282
Generalised hypoplasia of dental enamel	HP:0006282
Generalised dysplasia of tooth enamel	HP:0006282
Generalized dysplasia of tooth enamel	HP:0006282
Decreased enamel mineralisation	HP:0006285
Fluorosis of tooth enamel	HP:0006285
Enamel hypomineralization	HP:0006285
Increased porosity of tooth enamel	HP:0006285
Poorly mineralized tooth enamel	HP:0006285
Hypomineralization of enamel	HP:0006285
Mottled tooth enamel	HP:0006285
White spot lesions of tooth enamel	HP:0006285
Thin tooth enamel	HP:0006297
Enamel dysplasia	HP:0006297
Dysplasia of tooth enamel	HP:0006297
Dental enamel hypoplasia	HP:0006297
Enamel, underdeveloped	HP:0006297
Thin dental enamel	HP:0006297
Hypoplasia of tooth enamel	HP:0006297
Enamel hypotrophy	HP:0006297
Underdeveloped teeth enamel	HP:0006297
Enamel hypoplasia	HP:0006297
Defective enamel matrix	HP:0006297
Hypoplasia of dental enamel	HP:0006297
Irregular femoral epiphysis	HP:0006361
Irregular thighbone end part	HP:0006361
Varus deformity of humeral neck	HP:0006362
Adductor longus contractures	HP:0006366
Crumpled long bones	HP:0006367
Irregular patellae	HP:0006369
Irregular patellar contour	HP:0006369
Irregular patellar margins	HP:0006369
Distal ulnar epiphyseal calcifications	HP:0006370
Distal ulnar epiphyseal stippling	HP:0006370
Wide shaft of long bone	HP:0006371
Broad shaft of long bone	HP:0006371
Broad long bone diaphyses	HP:0006371
Dumbbell-shaped thighbone	HP:0006375
Dumbbell-shaped femur	HP:0006375
Limited elbow flexion	HP:0006376
Osteolysis of patellae	HP:0006378
Proximal tibial hypopolasia	HP:0006379
Proximal tibial hypoplasia	HP:0006379
Flexion contractures at both knees	HP:0006380
Knee flexion deformity	HP:0006380
Flexion contractures of knees	HP:0006380
Flexion contracture of knees	HP:0006380
Inability to straighten knee	HP:0006380
Flexion deformity of the knee	HP:0006380
Knee flexion contracture	HP:0006380
Knee flexion contractures	HP:0006380
Small to absent calf bone	HP:0006381
Small to absent fibula	HP:0006381
Rudimentary to absent fibulae	HP:0006381
Rudimentary fibula	HP:0006381
Progressive bowing of long bones	HP:0006383
Club-shaped outermost end of thighbone	HP:0006384
Club-shaped distal femora	HP:0006384
Club-shaped distal femur	HP:0006384
Short lower limbs	HP:0006385
Short legs	HP:0006385
Hypoplastic distal radial epiphyses	HP:0006386
Broad outermost wide portion of thighbone	HP:0006387
Wide distal femoral metaphysis	HP:0006387
Wide distal metaphysis of femur	HP:0006387
Limited knee flexion	HP:0006389
Saber shin	HP:0006390
Anterior bowing of tibia	HP:0006390
Saber tibia	HP:0006390
Anterior tibial bowing	HP:0006390
Sabre shin	HP:0006390
Overtubulated long bones	HP:0006391
Increased density of long bones	HP:0006392
Limited pronation/supination of forearm	HP:0006394
Lateral displacement of patellae	HP:0006397
Flat end part of outermost thighbone	HP:0006398
Flat distal femoral epiphysis	HP:0006398
Flattened distal femoral epiphyses	HP:0006398
Absent knee epiphyses	HP:0006400
Absent knee end part	HP:0006400
Distal shortening of limbs	HP:0006402
Short outer part of limbs	HP:0006402
Club-shaped proximal femur	HP:0006406
Club-shaped innermost end of thighbone	HP:0006406
Irregular distal femoral epiphysis	HP:0006407
Irregular outermost thighbone end part	HP:0006407
Tapering of outermost end of thighbone	HP:0006408
Distal tapering femur	HP:0006408
Progressive leg bowing	HP:0006409
Broad tibial metaphyses	HP:0006413
Broad wide portion of shankbone	HP:0006413
Broad wide portion of shinbone	HP:0006413
Distal tibial bowing	HP:0006414
Bowing of the distal tibia	HP:0006414
Tibial bowing at ankle	HP:0006414
Cortically dense long tubular bones	HP:0006415
Broad wide portion of thigh bone	HP:0006417
Broad femoral metaphyses	HP:0006417
Wide femoral metaphysis	HP:0006417
Broad femoral metaphysis	HP:0006417
Asymmetric radial dysplasia	HP:0006420
Peg-like central prominence of distal tibial metaphyses	HP:0006423
Elongated radius	HP:0006424
Rudimentary to absent tibiae	HP:0006426
Broad femoral neck	HP:0006429
Wide femoral neck	HP:0006429
Wide neck of thigh bone	HP:0006429
Broadening of femoral neck	HP:0006429
Widened femoral necks	HP:0006429
Proximal femoral metaphyseal abnormality	HP:0006431
Abnormal proximal femoral metaphysis morphology	HP:0006431
Abnormal wide portion of innermost thighbone	HP:0006431
Trapezoidal distal femoral condyles	HP:0006432
Radial longitudinal deficiency	HP:0006433
Dysplastic radii	HP:0006433
Radial dysplasia	HP:0006433
Hypoplasia of proximal radius	HP:0006434
Proximal radial shortening	HP:0006434
Disproportionate prominence of the femoral medial condyle	HP:0006437
Enlargement of the distal femoral epiphysis	HP:0006438
Enlargement of the outermost thighbone end part	HP:0006438
Large distal femoral epiphyses	HP:0006438
Increased density of long bone diaphyses	HP:0006440
Increased density of shaft of long bone	HP:0006440
Lateral humeral condyle aplasia	HP:0006441
Underdeveloped innermost upper end of calf bone	HP:0006442
Hypoplasia of proximal fibula	HP:0006442
Small innermost upper end of calf bone	HP:0006442
Absent patellas	HP:0006443
Patellar aplasia	HP:0006443
Aplastic patellae	HP:0006443
