Pneumomediastinum	HP:0025421
Hyperpigmentation of lip vermillion	None
Abnormality of genioglossus muscle	None
Abnormality of the face	None
Abnormality of the physiognomy	None
Abnormality of the countenance	None
Abnormal face	None
Anomaly of the face	None
Facial anomaly	None
Anomaly of face	None
Abnormality of the visage	None
Disorder of face	None
Facial abnormality	None
Disorder of the face	None
High anterior hairline	None
High frontal hairline	None
Small nasal bone	None
Underdevelopment of nasal bone	None
Hypoplasia of the nasal bone	None
Decreased size of nasal bone	None
Nasal bone hypoplasia	None
Deficiency of nasal bone	None
Hypotrophic nasal bone	None
Nonexudative conjunctivitis	None
Long eyelashes	None
Ciliary trichomegaly	None
Eyelash trichomegaly	None
Unusually long eyelashes	None
Increased length of eyelashes	None
Abnormal jugular vein morphology	None
Abnormality of jugular vein	None
HyperMineralization of skull base	None
Sclerosis of skull base	None
Hyperossification of skull base	None
Marked sclerosis of skull base	None
Dense bone of skull base	None
Sclerosis of cranial base	None
HyperCalcification of skull base	None
Sclerosis of the skull base	None
Hyperostosis of skull base	None
Sclerotic skull base	None
Supraauricular fistula	None
Supraauricular sinuses	None
Supraauricular sinus	None
Supraauricular pit	None
Pit above the ear	None
Cleft lower jaw	None
Cleft mandible	None
Mandibular cleft	None
Opacified paranasal sinuses	None
Paranasal sinuses opacification	None
Paranasal sinuses opacified	None
Abnormality of procerus muscle	None
Decreased volume of paranasal sinus	None
Decreased growth of paranasal sinus	None
Paranasal sinus hypoplasia	None
Hypotrophic paranasal sinus	None
Underdevelopment of paranasal sinus	None
Small paranasal sinus	None
Decreased size of paranasal sinus	None
Decreased pneumatization of paranasal sinus	None
Atelectasis of paranasal sinus	None
Retinal artery occlusion	None
Retinal arterial occlusion	None
Abnormal of morphology of nose	None
Abnormal nose morphology	None
Abnormal of shape of nose	None
Abnormal of nasal shape	None
Abnormal nasal morphology	None
Laterally curved eyebrow	None
Retinal astrocytic hamartoma	None
Inclined forehead	None
Receding forehead	None
Posteriorly sloping forehead	None
Sloping forehead	None
Hypoplasia of the lacrimal punctum	None
Hypoplasia of the lacrimal puncta	None
Hypoplastic lacrimal puncta	None
Squared superior portion of helix	None
Thickened helices	None
Thick helix	None
Visually enhanced vestibulo-ocular reflex impairment	None
VVOR impairment	None
Impaired visually enhanced vestibulo-ocular reflex	None
Morphological abnormality of the anterior semicircular canal	None
Abnormal anterior semicircular canal morphology	None
Abnormal hearing	None
Hearing abnormality	None
Extra concha fold	None
Concha, Extra Fold	None
Abnormality of stem of antihelix	None
Everted antitragus	None
Abnormal inner ear epithelium morphology	None
Unilateral vestibular schwannoma	None
Vestibular saccular degeneration	None
Absent stapes head	None
Asymmetry of the size of ears	None
Tinnitus	None
Ringing in the ears	None
Ringing in ears	None
Abnormal middle ear reflexes	None
Mild conductive hearing impairment	None
Conductive hearing loss, mild	None
High-frequency deafness	None
Progressive high-frequency hearing loss	None
Hearing loss, high-frequency	None
High-frequency hearing impairment	None
High frequency hearing loss	None
Progressive high frequency hearing loss	None
Cholesteatoma	None
Tympanic membrane bulging	None
Abnormally folded helix	None
Short ear	None
Short ears	None
Impairment of the reflex of the tensor tympani muscle	None
Absence of the reflex of the tensor tympani muscle	None
Telangiectasia of the ear	None
Stenosis of the Eustachian tube	None
Absent stapes	None
Absent middle ear ossicles	None
Aplasia of the middle ear ossicles	None
Absent middle ear bones	None
Abnormality of the eardrum	None
Abnormal tympanic membrane morphology	None
Abnormality of the tympanic membrane	None
Abnormal malleus morphology	None
Abnormality of the malleus	None
Infantile sensorineural hearing impairment	None
Infantile sensorineural hearing loss	None
Atresia of the Eustachian tube	None
Abnormality of anterior crus of antihelix	None
Abnormality of inferior crus of antihelix	None
Abnormal cerumen pigmentation	None
Abnormal cerumen color	None
Abnormal number of tubercles	None
Overfolding of superior helix	None
Overfolding of the superior helices	None
Railroad track sign	None
Railroad track ears	None
Horizontal crus of helix	None
Horizontal orientation of the crus of helix	None
Helix, crus, horizontal	None
Horizontal orientation of the ear crus	None
Childhood onset sensorineural hearing impairment	None
Hearing loss, mixed	None
Mixed hearing loss	None
Mixed hearing impairment	None
Auricular tag	None
Abnormality of posterior crus of antihelix	None
Abnormality of superior crus of antihelix	None
Narrow internal auditory canal	None
Sensorineural hearing loss	None
Sensorineural deafness	None
Hearing loss, sensorineural	None
Sensorineural hearing impairment	None
Hypoplasia of the vestibule of the inner ear	None
Absent vestibular function	None
Postlingual sensorineural hearing impairment	None
Low-frequency sensorineural hearing impairment	None
Low-frequency sensorineural hearing loss	None
Adult onset sensorineural hearing impairment	None
Sensorineural deafness, late-onset	None
Late sensorineural hearing loss	None
Progressive hearing impairment	None
Progressive hearing loss	None
Narrow incisura width	None
Increased incisura width	None
Simple ear	None
Hyperplastic antihelix stem	None
Prominent stem of antihelix	None
Hypertrophic antihelix stem	None
Auricular pit	None
External ear position defect	None
Abnormal location of ears	None
Head impulse test has corrective saccade	None
Hypoplastic cochlea	None
Underdeveloped cochlea	None
Hypoplasia of the cochlea	None
Abnormal posterior semicircular canal morphology	None
Morphological abnormality of the posterior semicircular canal	None
Abnormality of lobulus auriculae	None
Abnormality of earlobe	None
Abnormal earlobe morphology	None
Abnormal lobe of ear	None
Abnormal earlobe	None
Abnormality of auricular lobule	None
Abnormality of ear lobe	None
Progressive conductive hearing impairment	None
Progressive conductive deafness	None
Hypertrophic auricular cartilage	None
Round ear	None
Capuchin ears	None
Simple, cup-shaped ears	None
Cupped ears	None
Cupped ear	None
Cup-shaped ears	None
Poor speech discrimination	None
Abnormal speech discrimination	None
Absence of acoustic middle ear muscle reflexes	None
Absence of acoustic reflex	None
Absent middle ear reflexes	None
Absent stapedius reflexes	None
Cochlear nerve hypoplasia	None
Auricular inflammation	None
Auriculitis	None
Abnormality of the incus	None
Abnormal incus morphology	None
Lobe, forward facing	None
Forward facing earlobe	None
Underfolded helix	None
Poorly folded helices	None
Aplasia of the semicircular canal	None
Absent semicircular canal	None
Adherent earlobe	None
Attached earlobe	None
Progressive sensorineural hearing impairment	None
Progressive bilateral sensorineural hearing loss	None
Hearing loss, sensorineural, bilateral, progressive	None
Hearing loss, progressive sensorineural	None
Hearing loss, sensorineural, progressive	None
Sensorineural hearing loss, progressive	None
Bilateral progressive sensorineural hearing loss	None
Thin ear helix	None
Low-frequency hearing loss	None
Hypoplastic tragus	None
Small tragus	None
Hypotrophic tragus	None
Underdeveloped tragus	None
Morphological abnormality of the horizontal semicircular canal	None
Morphological abnormality of the lateral semicircular canal	None
Abnormal lateral semicircular canal morphology	None
Morphological abnormality of the vestibule of the inner ear	None
Vestibular abnormality	None
Abnormal morphology of the vestibule of the inner ear	None
Otitis media	None
Middle ear infection	None
Transient hearing impairment	None
Helix, crus, expanded terminal portion	None
Expanded terminal portion of crus of helix	None
Autophony	None
Severe sensorineural deafness	None
Severe sensorineural hearing impairment	None
Severe sensorineural hearing loss	None
Otitis externa	None
Swimmer's ear	None
Type 1 cryptotia	None
Type I cryptotia	None
Crumpled ear	None
Cauliflower ear	None
Dark cerumen	None
Pigmented cerumen	None
Dark earwax	None
Hidden ear	None
Buried ear	None
Cryptotia	None
Impacted cerumen	None
Petrified ear	None
Ossification of pinnae	None
Ear cartilage calcification	None
Calcification of the auricular cartilage	None
Cartilaginous ossification of pinnae	None
Angulated antihelix	None
Hypoplasia of the antihelix	None
Hypoplastic antihelix	None
Abnormal pinna morphology	None
Minor malformation of the auricles	None
Malformed external ears	None
Deformed auricles	None
Auricular malformation	None
Deformed ears	None
Abnormally shaped ears	None
Abnormal form of ears	None
Malformed auricles	None
Malformed ears	None
Dysplastic ears	None
Poorly defined conchae	None
Malformation of auricle	None
Absent antihelix	None
Bilateral conductive hearing impairment	None
Bilateral conductive hearing loss	None
Bilateral conductive deafness	None
Thickened tympanic membrane	None
Persistent stapedial artery	None
Enlarged cochlear aqueduct	None
Dilated cochlear aqueduct	None
Otosclerosis	None
Absent malleus	None
Congenital conductive hearing loss	None
Congenital conductive deafness	None
Congenital conductive hearing impairment	None
Conductive hearing loss, moderate	None
Moderate conductive hearing impairment	None
Paroxysmal vertigo	None
Ear anomaly	None
Abnormality of the ear	None
Absent/underdeveloped inner ear	None
Aplasia/Hypoplasia of the inner ear	None
Absent/small inner ear	None
OME	None
Fluid behind eardrum	None
Middle ear effusions	None
Otitis media with effusion	None
Melotia	None
Low-set pinnae	None
Lowset ears	None
Low-set ears	None
Low set ears	None
Acute middle ear infection	None
Acute otitis media	None
Abnormality of the vestibular nerve	None
Large pinnae	None
Large ears	None
Macrotia	None
Rhythmic movements of the tympanic membrane	None
Morphological abnormality of the saccule	None
Abnormal saccule morphology	None
Abnormal vestibular saccule morphology	None
Incus ankylosis	None
False perception of self-motion	None
Pointed helix	None
Spock's ear	None
Spock ear	None
Vulcan ear	None
Elfin ear	None
Pointed ear	None
Shell ear	None
Snail ear	None
Mini ear	None
Ear, grade II dysplasia	None
Severe cupped ear, type III	None
Constricted helix type IV	None
Microtia, second degree	None
Cockleshell ear	None
Earlobe crease	None
Transverse earlobe creases	None
Anterior creases of earlobe	None
Enlarged semicircular canal	None
Dilated semicircular canal	None
Otalgia	None
Ear pain	None
Pain in the ear	None
Helix, crus, connected to antihelix	None
Crus of helix connected to antihelix	None
Devil ear	None
Satyr ear	None
Abnormality of the cochlear nerve	None
Asymmetric ears	None
Asymmetry of the ears	None
Old-aged sensorineural hearing impairment	None
Presbycusis	None
Abnormality of the internal auditory canal	None
Abnormality of the internal acoustic meatus	None
Type 2 cryptotia	None
Type II cryptotia	None
Congenital earlobe sinuses	None
Asymmetry of the position of the ears	None
Uneven ears	None
Notching of the ear helix	None
Notched helix	None
Cleft helix	None
Dizzy spell	None
Vertigo	None
Dizziness	None
Diagonal earlobe crease	None
Abnormality of the auditory canal	None
Abnormal auditory canal morphology	None
Auditory canal abnormality	None
Ear, posterior helical groove	None
Pits in posterior aspect of ear helices	None
Posterior helix pit	None
Indentation in back of outer ear	None
Helix, posterior pit	None
Ear, posterior helical notch	None
Aplasia of the Eustachian tube	None
Absent eustachian tube	None
Abnormal antitragus morphology	None
Duplicated tragus	None
Accessory tragus	None
Tragus, duplicated	None
Blocked Eustachian tube	None
Obstruction of Eustachian tube	None
Chondritis of pinna	None
Inflammation of cartilage of pinna	None
Ear hair	None
Long hairs growing from helix of ear	None
Long hairs growing from helix of pinna	None
Tympanic membrane blister	None
Tympanic membrane bulla	None
Bullous myringitis	None
Broad inferior crus of antihelix	None
Antihelix, inferior crus, broad	None
Widened vestibular aqueduct	None
Enlarged vestibular aqueduct	None
Dilated vestibular aqueduct	None
Absent/underdeveloped ear lobes	None
Absent/small ear lobes	None
Aplasia/Hypoplasia of the earlobes	None
Vestibular loss	None
Vestibular hyporeflexia	None
Vestibular failure	None
Vestibular dysfunction	None
Vestibulopathy	None
Vestibular deficiency	None
Vestibular hypofunction	None
Atretic external auditory canal	None
External auditory meatal atresia	None
Atretic auditory canals	None
External acoustic meatus atresia	None
Atresia of the external auditory canals	None
Absent auditory canals	None
Atretic auditory canal	None
Absent external auditory canals	None
Auditory canal atresia	None
Atresia of the external auditory canal	None
External auditory meatus atresia	None
External auditory canal atresia	None
Absent ear canal	None
Atretic external auditory canals	None
Morphological abnormality of the nerves of the inner ear	None
Abnormal inner ear nerve morphology	None
Abnormality of the outer ear	None
Ear anomalies	None
External ear malformations	None
Outer ear abnormality	None
Abnormal pinnae	None
Malformed pinnae	None
Abnormality of the auricle	None
Abnormality of the external ear	None
External ear malformation	None
Increased incisura length	None
Unilateral sensorineural hearing impairment	None
Hypoplasia of the semicircular canal	None
Small semicircular canal	None
Hypoplasia of the semicircular canals	None
External auditory canal exostoses	None
Exostosis of the external auditory canal	None
Quelprud nodule	None
Cleft at the superior portion of the ear	None
Cleft at the superior portion of the pinna	None
Ear tumour	None
Neoplasm of the ear	None
Ear tumor	None
Stapes ankylosis	None
Stapes fixation	None
Hypoplasia of the crus of the ear	None
Underdeveloped crus of the ear	None
Underdeveloped crus of the helix	None
Unilateral conductive hearing impairment	None
Cosman ear	None
Question mark ear	None
Question mark ears	None
Constricted ear	None
Abnormal ear physiology	None
Additional crus of antihelix	None
Congenital stapes ankylosis	None
High-frequency sensorineural hearing impairment	None
High-tone sensorineural hearing impairment	None
High frequency sensorineural hearing impairment	None
High-tone sensorineural deafness	None
Synotia	None
Hypoplasia of the ear cartilage	None
Underdeveloped ear cartilage	None
Pulsatile tinnitus	None
Chronic ear infection	None
Chronic infections of the middle ear	None
Chronic middle ear infection	None
Otitis media, chronic	None
Chronic otitis media	None
Large fleshy ears	None
Abnormal incisura morphology	None
Functional abnormality of the inner ear	None
Cochlear nerve aplasia	None
Antihelix, stem, underdeveloped	None
Underdeveloped stem of antihelix	None
Cutaneous atresia of the external auditory canal	None
Morphological abnormality of the semicircular canal	None
Abnormal semicircular canal morphology	None
Prominent superior crus of antihelix	None
Hypertrophic superior crus of antihelix	None
Hyperplastic superior crus of antihelix	None
Functional abnormality of the middle ear	None
Narrowing of passageway from outer ear to middle ear	None
Narrow external auditory meatus	None
External auditory canal stenosis	None
Narrow ear canal	None
Stenosis of the external auditory canal	None
Narrow external auditory canals	None
Stenotic external auditory canal	None
Narrow auditory canals	None
Michel deformity	None
Labyrinthine aplasia	None
Absent inner ear	None
Aplasia of the labyrinth	None
Aplasia of the inner ear	None
Linear earlobe crease	None
Mild neurosensory hearing impairment	None
Mild neurosensory hearing loss	None
Long ears	None
Long ear	None
Helix, crus, absent	None
Absent crus of helix	None
Bulbous internal auditory canal	None
Enlarged internal auditory canal	None
Dilatated internal auditory canal	None
Hypertrophic antitragus	None
Prominent antitragus	None
Hyperplastic antitragus	None
Enlarged antitragus	None
Neoplasm of the middle ear	None
Neoplasia of the middle ear	None
Middle ear tumour	None
Middle ear tumor	None
Hypotrophic antitragus	None
Underdeveloped antitragus	None
Small antitragus	None
Hypoplastic antitragus	None
Bilateral sensorineural hearing loss	None
Hearing loss, sensorineural, bilateral	None
Bilateral nerve deafness	None
Bilateral sensorineural deafness	None
Bilateral sensorineural hearing impairment	None
Absent otoacoustic emissions	None
Incomplete partition of the cochlea	None
Profound hearing impairment	None
Underfolded superior helices	None
Prelingual sensorineural deafness	None
Deafness, sensorineural, prelingual	None
Prelingual sensorineural hearing impairment	None
Decreased incisura length	None
Abnormal middle ear morphology	None
Middle ear malformation	None
Morphological abnormality of the middle ear	None
Recurrent middle ear infection	None
Frequent otitis media	None
Recurrent otitis media	None
Recurrent episodes of otitis media	None
Otitis media, recurrent	None
Susceptibility to otitis media	None
Multiple episodes of otitis media	None
Absent/small external ear	None
Aplasia/Hypoplasia of the external ear	None
Absent/underdeveloped external ear	None
Prominent antihelix	None
Focal absence of the external ear	None
Prominent ear lobules	None
Fleshy earlobe	None
Prominent ear lobes	None
Large earlobe	None
Fleshy earlobes	None
High set ears	None
Superiorly displaced ears	None
Aplasia/Hypoplasia of the ear	None
Absent/small ear	None
Absent/underdeveloped ear	None
Serpiginous stem of antihelix	None
Antihelix, stem, serpiginous	None
Carotid artery stenosis	None
Carotid stenosis	None
Narrowing of carotid artery	None
Thickened interventricular septum	None
Ventricular septal hypertrophy	None
Cardiomyopathy, esp. right ventricular	None
Right ventricular cardiomyopathy	None
Cardiomyopathy, right ventricular	None
Abnormal retinal artery morphology	None
Abnormality of retinal arteries	None
Retinal arterial abnormality	None
Fingerpad telangiectases	None
Finger pad telangiectases	None
Small dilated blood vessels in fingerpads	None
Dilatation of the superficial abdominal veins	None
Dilated superficial abdominal veins	None
Uterine arteriovenous malformation	None
Renal artery duplication	None
Accessory renal artery	None
Double renal artery	None
Varicose veins	None
Abnormality of anterior ethmoidal artery	None
Aortic smooth muscle cell disorganisation	None
Aortic smooth muscle cell disorganization	None
In situ pulmonary artery thrombosis	None
Facial capillary hemangioma	None
Decrease in blood pressure upon standing up	None
Orthostatic hypotension	None
Postural hypotension	None
Complete right sided absence of pericardium	None
Recurrent bleeding into lungs	None
Recurrent intrapulmonary hemorrhage	None
Recurrent pulmonary hemorrhage	None
Recurrent intrapulmonary haemorrhage	None
Recurrent pulmonary haemorrhage	None
Holosystolic murmur	None
Continuous heart murmur	None
Thickened aortic valve cusp	None
Elevated left ventricular end-diastolic diameter	None
Low-output congestive heart failure	None
Right ventricular anomalous muscle bundle	None
Anomalous muscle bundle of the right ventricle	None
Abnormal pulmonary valve morphology	None
Anomaly of the pulmonary valve	None
Abnormality of the pulmonary valve	None
Biventricular hypertrophy	None
Cherry red spot of the macula	None
Macular cherry red spot	None
Inflammatory arteriopathy	None
Medial calcification of large arteries	None
Abnormal mitral valve annulus morphology	None
Abnormality of internal carotid artery	None
Abnormal internal carotid artery morphology	None
Abnormal inferior thyroid vein morphology	None
Abnormality of inferior thyroid vein	None
Partial anomalous pulmonary venous connection	None
Partial anomalous pulmonary venous return	None
Raynaud's phenomenon	None
Raynaud phenomenon	None
Raynaud disease	None
Inflammation of heart muscle	None
Myocarditis	None
Abnormality of central retinal artery	None
Pulmonary arterial medial hypertrophy	None
Hypertrophy of the pulmonary artery wall	None
Tibial arterial calcification	None
Narrowing of kidney artery	None
Renal artery stenosis	None
Cardiac myxoma	None
Unopened tricuspid valve	None
Imperforate tricuspid valve	None
Abnormal vascular morphology	None
Pulmonary arterial atherosclerosis	None
Tetralogy of Fallot with pulmonary atresia and major aortopulmonary collateral arteries	None
Junctional ectopic tachycardia	None
Isolated diastolic hypotension	None
Asymmetric blood pressure between legs	None
Abnormal neck blood vessel morphology	None
Abnormality of the vasculature of the neck	None
Abnormality of neck blood vessel	None
Abnormality of the cervical vasculature	None
Abnormality of blood vessel of neck	None
Abnormality of the cervical blood vessels	None
Pulmonary capillary hemangiomatosis	None
Pulmonary hemangiomas	None
Chronic atrial fibrillation	None
Permanent atrial fibrillation	None
Muscular ventricular septal defect	None
Type 4 ventricular septal defect	None
Ventricular septal defect, muscular	None
Abnormal coronary sinus morphology	None
Abnormality of the coronary sinus	None
Iliac artery aneurysm	None
Extreme axis deviation	None
Facial telangiectasia in butterfly midface distribution	None
Butterfly facial telangiectasia	None
Blood pressure substantially higher in legs than arms	None
Blood pressure substantially higher in lower than upper extremities	None
Blood pressure substantially lower in arms than legs	None
Blood pressure substantially lower in upper than lower extremities	None
Arterial calcification	None
Aneurysm of the muscular ventricular septum	None
Muscular ventricular septal aneurysm	None
Patent foramen ovale	None
Persistent foramen ovale	None
Type I atherosclerotic lesion	None
Hemangiomatosis	None
Swiss cheese ventricular septal defect	None
Multiple muscular ventricular septal defects	None
Elevated pulmonary artery pressure	None
Elevated lung artery pressure	None
increased pulmonary artery pressure	None
Fetal intraventricular hemorrhage	None
Cerebral artery calcification	None
Diastolic heart murmur	None
Supraventricular tachycardia with a manifest accessory pathway on the left free wall	None
Hemiretinal vein occlusion	None
Abnormal connexion of the cardiac segments	None
Abnormal connection of the cardiac segments	None
Discordant connection of the cardiac segments	None
Pulmonary artery dilatation	None
Atrial heterotaxy	None
Atrial situs ambiguus	None
Atrial situs ambiguous	None
Retinal telangiectasia	None
Aortic elastic fiber disorganization	None
Aortic elastic fibre disorganisation	None
Type 2 truncus arteriosus	None
Type II truncus arteriosus	None
Persistent truncus arteriosus type II	None
Coronary artery stenosis	None
Narrowing of coronary artery	None
Right ventricular noncompaction cardiomyopathy	None
Double inlet to single ventricle with two atrioventricular valves	None
Aortic valve atresia	None
Aortic atresia	None
Paraspinal hemangioma	None
Bicuspid pulmonary valve	None
Heart left ventricle hypertrophy	None
Left ventricular hypertrophy	None
Left ventricular wall hypertrophy	None
Abnormal direction of ventricular apex	None
Pericardial effusion	None
Pericardial effusions	None
Fluid around heart	None
Supraventricular tachycardia with an accessory connection mediated pathway	None
Atrioventricular re-entry tachycardia	None
Supraventricular tachycardia with an accessory connexion mediated pathway	None
Femoral artery duplication	None
Partial diaphragmatic absence of pericardium	None
Iliac arterial calcification	None
Leukocytoclastic vasculitis	None
Midline facial capillary hemangioma	None
Right atrial thrombus	None
Abnormal atrioventricular conduction	None
Pulmonary arterial hypertension with lack of acute response to NO challenge	None
Abnormality of the cerebral vasculature	None
Abnormality of the cerebral blood vessels	None
Abnormal cerebral vascular morphology	None
Aortic elastic fiber thinning	None
Aortic elastic fibre thinning	None
Supraventricular tachycardia with a concealed accessory connection	None
Supraventricular tachycardia with a concealed accessory connexion	None
Muscle arteriovenous malformation	None
Muscle AVM	None
Arteriovenous malformation in muscle	None
Left superior vena cava draining directly to the left atrium	None
Reduced diastolic blood pressure	None
Decreased diastolic blood pressure	None
Decreased diastolic BP	None
Hypoplastic pulmonary veins	None
Underdeveloped lung veins	None
Arterial occlusion	None
Absent right sided atrioventricular connection	None
Absent right sided atrioventricular connexion	None
Aortic valve prolapse	None
Polymorphic ventricular tachycardia	None
Abnormal hepatic artery morphology	None
Short chordae tendineae of the tricuspid valve	None
Coated aorta	None
Pulmonary artery aneurysm	None
Conjunctival vascular congestion	None
Conjunctival hyperemia	None
Conjunctival hyperaemia	None
Conjunctival injection	None
Tortuosity of conjunctival vessels	None
Vertebrobasilar dolichoectasia	None
Abnormal morphology of left ventricular trabeculae	None
Bronchial artery hypertrophy	None
Telangiectases of palms and soles	None
Palmar telangiectasia	None
Teleangiectases of palms	None
Small right heart chamber	None
Heart right ventricle hypoplasia	None
Underdeveloped right heart chamber	None
Hypoplasia of right ventricle	None
GI telangiectasia	None
Small, enlarged blood vessels near skin	None
Gastrointestinal telangiectasia	None
Left aortic arch with isolated subclavian artery	None
Bicuspid aortic valve with right-noncoronary cusp fusion	None
Carotid artery aneurysm	None
Carotid artery dilatation	None
Critical limb ischemia	None
Rest limb pain	None
Grade I fetal intracranial hemorrhage	None
Fetal subependymal hemorrhage	None
Grade I foetal intracranial haemorrhage	None
Imperforate atrioventricular valve	None
Unopened atrioventricular valve	None
Thoracic aortic aneurysm	None
Dilatation of the thoracic aorta	None
Total absence of the pericardium	None
Congenital absence of the pericardium	None
Absent pericardium	None
Hepatic vascular malformations	None
Liver vascular malformations	None
Cardiomyocyte inclusion bodies	None
Hypertension resistant to conventional therapy	None
Resistant hypertension	None
Aortic smooth muscle cell nuclei loss	None
Pontine ischemic lacunes	None
Pontine ischaemic lacunes	None
Pelvic arteriovenous malformation	None
Severely reduced ejection fraction	None
Severely reduced left ventricular ejection fraction	None
T-wave inversion in the right precordial leads	None
Anomalous origin of left pulmonary artery from ascending aorta	None
Abnormality of respiratory circulation	None
Abnormal pulmonary circulation	None
Abnormality of pulmonary circulation	None
Post-angioplasty coronary artery restenosis	None
Pulmonary valve atresia	None
Splenic calcification	None
Right aortic arch with mirror image branching	None
Intermediate atrioventricular septal defect	None
Intermediate atrioventricular canal defect	None
Eosinophilic lymph node infiltration	None
Abnormal QRS axis	None
Abnormal ventricular axis	None
Increased pulmonary capillary wedge pressure	None
Increased pulmonary artery occlusion pressure	None
Increased pulmonary arterial wedge pressure	None
Low-to-normal BP	None
Low-to-normal blood pressure	None
Asymmetric blood pressure between arms	None
Abdominal aortic dissection	None
Abnormal cardiomyocyte plakoglobin staining	None
Underdeveloped heart	None
Hypoplastic heart	None
Small heart	None
Cutis marmorata	None
Coarctation in the transverse aortic arch	None
Abnormal aorta morphology	None
Abnormality of the aorta	None
Abnormal aortic morphology	None
Aortic medial fibrosis	None
Pseudocoarctation of the aorta	None
Regional right ventricular hypokinesis	None
Orthodromic AVRT	None
Orthodromic atrioventricular reentrant tachycardia	None
Cardiac mass	None
Hypoplasia of the thymus	None
Small thymus	None
Thymic hypoplasia	None
Thymus hypoplasia	None
Type B aortic dissection	None
Descending aortic dissection	None
T-wave alternans	None
Paroxysmal atrial tachycardia	None
Abnormal atrioventricular valve physiology	None
Atrial flutter	None
Supravalvular mitral ring	None
Supramitral ring	None
Membranous supravalvular mitral stenosis	None
Cardiomyocyte disarray	None
Cardiac biopsy: myocyte disarray	None
Myocardial sarcomere disarray	None
Myocardial sarcomeric disarray	None
Double outlet left ventricle	None
Mucosal telangiectasiae	None
Amyloid cardiomyopathy	None
Cardiac amyloidosis	None
Cardiac teratoma	None
Retinal arteriolar narrowing	None
Constricted retinal arterioles	None
Narrow retinal arterioles	None
Retinal arteriolar constriction	None
Plaque-like facial hemangioma	None
Hemangioma, facial, plaque-like	None
Congenital mitral stenosis	None
Tricuspid valve prolapse	None
Internal carotid artery dissection	None
Intrapulmonary shunting	None
Intrapulmonary shunt	None
Pulmonary aterial intimal fibrosis	None
Anomalous origin of coronary artery from the pulmonary artery	None
Left ventricular noncompaction	None
Testicular ischemia	None
Anomalous origin of the right subclavian artery from the descending aorta	None
Ventricular bigeminy	None
Glomeruloid hemangioma	None
Bowel hemangioma	None
Intestinal hemangioma	None
Intestinal hemangiomas	None
Hematemesis	None
Vomiting blood	None
Small intestinal bleeding	None
Small intestinal haemorrhage	None
Small intestinal hemorrhage	None
Visceral hemangioma	None
Adenoiditis	None
Gastrointestinal angiodysplasia	None
GI angiodysplasia	None
Lymph node hypoplasia	None
Small lymph nodes	None
Abnormal U wave	None
Anomalous hepatic venous drainage into the left atrium	None
Abnormality of blood vessel of head	None
Abnormality of vasculature of head	None
Abnormality of head blood vessel	None
Abnormal head blood vessel morphology	None
Thoracoabdominal ectopia cordis	None
Dilated cerebral perivascular spaces	None
Dilation of Virchow-Robin spaces	None
Perivascular spaces	None
Dilated Virchow-Robin spaces	None
Lower extremity peripheral arterial calcification	None
Lower extremity peripheral artery calcification	None
Gerbode ventricular septal defect	None
Left ventricular - right atrial communication	None
Elevated right ventricular systolic pressure	None
Abnormal right atrium morphology	None
Fourth heart sound	None
Atrial gallop	None
Presystolic gallop	None
S4	None
Bilateral superior vena cava	None
Bilateral SVC	None
Tetralogy of Fallot with pulmonary stenosis	None
Abnormality of cardiac ventricle	None
Abnormal cardiac ventricle morphology	None
Left atrial isomerism	None
Bulge in wall of large artery that carries blood away from heart	None
Aortic dilatation	None
Enlarged aorta	None
Aortic aneurysm	None
Abnormal morphology of right ventricular trabeculae	None
Prenatal double bubble sign	None
Placental abruption	None
Abruptio placentae	None
10-minute APGAR score of 6	None
Abnormal placental size	None
Prenatal flattened diaphragm	None
Four-vessel umbilical cord	None
Underdeveloped foetal nose bone	None
Hypoplasia of fetal nasal bone	None
Hypoplasia of foetal nasal bone	None
Underdeveloped fetal nose bone	None
Abnormal oxygen amount in umbilical cord blood	None
Abnormal cord blood oxygen levels	None
Abnormal O2 level in cord blood	None
Abnormal oxygen level in cord blood	None
Battledore placenta	None
Marginal umbilical cord insertion	None
Marginal cord insertion	None
Desquamation of skin soon after birth	None
Abnormal amniotic fluid	None
Abnormality of the amniotic fluid	None
Extremely preterm birth	None
Fetal cystic hygroma	None
Foetal cystic hygroma	None
Recurrent implantation failure	None
Repeated implantation failure	None
Abnormality of the placenta	None
Placental issue	None
Abnormal placenta morphology	None
Type 3 congenital pulmonary airway malformation	None
Caseous vernix-like desquamation	None
Greasy, thick vernix caseosa-like scale	None
Placental thromboembolism	None
Placental infarction	None
Cephalohaematoma	None
Cephalohematoma	None
Ductus venosus agenesis	None
Agenesis of the ductus venosus	None
Extra-abdominal umbilical vein varix	None
Type 2 congenital pulmonary airway malformation	None
Meconium-stained amniotic fluid	None
Meconium stained amniotic fluid	None
Meconium staining of amniotic fluid	None
Delivery complication	None
Abnormal delivery	None
Shortened gestation time	None
Preterm delivery	None
Premature delivery of affected infants	None
Premature birth	None
Preterm birth	None
Premature delivery	None
Hyperechogenic fetal bowel	None
Echogenic fetal bowel	None
Hyperechogenic foetal bowel	None
Echogenic foetal bowel	None
Prenatal ultrasound: hyperechogenic bowel	None
Echogenic bowel	None
Single umbilical artery	None
2 vessel cord	None
Two vessel cord	None
SUA	None
2 vessel umbilical cord	None
Only one artery in umbilical cord instead of two	None
Two vessel umbilical cord	None
Two-vessel cord	None
