Abnormality of body height	HP:0000002
Abnormal earlobe	None
Abnormality of auricular lobule	None
Abnormality of ear lobe	None
Bulbous internal auditory canal	None
Enlarged internal auditory canal	None
Dilatated internal auditory canal	None
Abnormality of posterior crus of antihelix	None
Abnormality of superior crus of antihelix	None
Small earlobes	None
Small earlobe	None
Hypoplastic earlobes	None
Hypoplastic lobules	None
Abnormal Eustachian tube morphology	None
Abnormality of the Eustachian tube	None
Absence of the reflex of the tensor tympani muscle	None
Simple ear	None
Hypoplasia of the ear cartilage	None
Underdeveloped ear cartilage	None
Pulsatile tinnitus	None
Ear anomaly	None
Abnormality of the ear	None
Melotia	None
Low-set pinnae	None
Lowset ears	None
Low-set ears	None
Low set ears	None
Hyperplastic helix crus	None
Prominent crus of helix	None
Hypertrophic helix crus	None
Helix, crus, prominent	None
Abnormal prominence of the crus of the ear	None
Glue ear	None
Hyperplastic tragus	None
Enlarged tragus	None
Tragus, prominent	None
Hypertrophic tragus	None
Large tragus	None
Prominent tragus	None
Old-aged sensorineural hearing impairment	None
Presbycusis	None
Upturned earlobes	None
Uplifted earlobes	None
Upturned earlobe	None
Lobe, uplifted	None
Fleshy upturned lobules	None
Uplifted earlobe	None
Retracted tympanic membrane	None
Mid-frequency hearing loss	None
Aggressive papillary middle ear tumor	None
Endolymphatic sac tumour	None
Aggressive papillary middle ear tumour	None
Heffner tumor	None
Endolymphatic sac tumor	None
Low-grade adenocarcinoma of endolymphatic sac origin	None
Heffner tumour	None
Long ears	None
Long ear	None
Absent malleus	None
Michel deformity	None
Labyrinthine aplasia	None
Absent inner ear	None
Aplasia of the labyrinth	None
Aplasia of the inner ear	None
Cochlear nerve aplasia	None
Prominent ear	None
Prominent ears	None
Protruding ear	None
Protruding ears	None
Aminoglycoside-induced hearing loss	None
Polyotia	None
Impairment of the reflex of the tensor tympani muscle	None
Mild neurosensory hearing impairment	None
Mild neurosensory hearing loss	None
Abnormal number of tubercles	None
Asymmetry of the position of the ears	None
Uneven ears	None
Unilateral vestibular schwannoma	None
Abnormality of the internal auditory canal	None
Abnormality of the internal acoustic meatus	None
Abnormal inner ear morphology	None
Morphological abnormality of the inner ear	None
Abnormal ear physiology	None
Abnormality of the incus	None
Abnormal incus morphology	None
Neoplasm of the ceruminal gland	None
Ceruminoma	None
Adenoma of the ceruminous gland	None
Ceruminous adenoma	None
Conductive hearing impairment	None
Hearing loss, conductive	None
Conductive deafness	None
Conduction deafness	None
Conductive hearing loss	None
Abnormality of the eardrum	None
Abnormal tympanic membrane morphology	None
Abnormality of the tympanic membrane	None
Ear tumour	None
Neoplasm of the ear	None
Ear tumor	None
Moderate sensorineural hearing impairment	None
Moderate neural deafness	None
External auditory canal exostoses	None
Exostosis of the external auditory canal	None
Non-spinning vertigo	None
Congenital earlobe sinuses	None
Deformed external ear on one side	None
Unilateral external ear deformity	None
Severe conductive hearing impairment	None
Conductive hearing loss, severe	None
Cosman ear	None
Question mark ear	None
Question mark ears	None
Constricted ear	None
High-frequency sensorineural hearing impairment	None
High-tone sensorineural hearing impairment	None
High frequency sensorineural hearing impairment	None
High-tone sensorineural deafness	None
Earlobe, absent	None
Absent earlobe	None
Lobeless ears	None
Absent ear lobes	None
Lobule aplasia	None
Morphological abnormality of the nerves of the inner ear	None
Abnormal inner ear nerve morphology	None
Vestibular ataxia	None
Vestibular areflexia	None
Hypotrophic antitragus	None
Underdeveloped antitragus	None
Small antitragus	None
Hypoplastic antitragus	None
Abnormal inner ear epithelium morphology	None
Vestibular loss	None
Vestibular hyporeflexia	None
Vestibular failure	None
Vestibular dysfunction	None
Vestibulopathy	None
Vestibular deficiency	None
Vestibular hypofunction	None
Abnormality of the cochlear nerve	None
Quelprud nodule	None
Absent/small external ear	None
Aplasia/Hypoplasia of the external ear	None
Absent/underdeveloped external ear	None
Anteverted ears	None
Broad inferior crus of antihelix	None
Antihelix, inferior crus, broad	None
Hypoplasia of the eighth cranial nerve	None
Hypoplasia of the vestibular nerve	None
Thin vestibular nerve	None
Hypoplasia of cranial nerve VIII	None
Hypoplasia of the antihelix	None
Hypoplastic antihelix	None
Serpiginous crus of helix	None
Helix, crus, serpiginous	None
Cerumen abnormality	None
Additional crus	None
Third crus	None
Stahl ear	None
Functional abnormality of the inner ear	None
Unilateral conductive hearing impairment	None
Aplasia of the vestibule	None
Absent vestibule	None
Progressive hearing impairment	None
Progressive hearing loss	None
Acute middle ear infection	None
Acute otitis media	None
Morphological abnormality of the vestibule of the inner ear	None
Vestibular abnormality	None
Abnormal morphology of the vestibule of the inner ear	None
Tympanic membrane bulging	None
Adult onset sensorineural hearing impairment	None
Sensorineural deafness, late-onset	None
Late sensorineural hearing loss	None
Darwin notch of helix	None
Helix, Darwin notch	None
Impairment of the the acoustic reflex	None
Moderate hearing impairment	None
Hypoplastic tragus	None
Small tragus	None
Hypotrophic tragus	None
Underdeveloped tragus	None
Absent stapes head	None
Enlarged semicircular canal	None
Dilated semicircular canal	None
Tympanic membrane blister	None
Tympanic membrane bulla	None
Bullous myringitis	None
Helix, crimped	None
Indented helix	None
Crimped helix	None
Narrowing of passageway from outer ear to middle ear	None
Narrow external auditory meatus	None
External auditory canal stenosis	None
Narrow ear canal	None
Stenosis of the external auditory canal	None
Narrow external auditory canals	None
Stenotic external auditory canal	None
Narrow auditory canals	None
Morphological abnormality of the horizontal semicircular canal	None
Morphological abnormality of the lateral semicircular canal	None
Abnormal lateral semicircular canal morphology	None
Progressive sensorineural hearing impairment	None
Progressive bilateral sensorineural hearing loss	None
Hearing loss, sensorineural, bilateral, progressive	None
Hearing loss, progressive sensorineural	None
Hearing loss, sensorineural, progressive	None
Sensorineural hearing loss, progressive	None
Bilateral progressive sensorineural hearing loss	None
Absent cochlea	None
Cochlear aplasia	None
Cochlear malformation	None
Underfolded superior helices	None
Abnormal middle ear reflexes	None
Low-frequency sensorineural hearing impairment	None
Low-frequency sensorineural hearing loss	None
Abnormality of the auditory canal	None
Abnormal auditory canal morphology	None
Auditory canal abnormality	None
High set ears	None
Superiorly displaced ears	None
Progressive conductive hearing impairment	None
Progressive conductive deafness	None
Cutaneous atresia of the external auditory canal	None
Abnormality of the vestibular nerve	None
Autophony	None
Asymmetry of the shape of the ears	None
Capuchin ears	None
Simple, cup-shaped ears	None
Cupped ears	None
Cupped ear	None
Cup-shaped ears	None
Otitis externa	None
Swimmer's ear	None
High-frequency deafness	None
Progressive high-frequency hearing loss	None
Hearing loss, high-frequency	None
High-frequency hearing impairment	None
High frequency hearing loss	None
Progressive high frequency hearing loss	None
Deafness, unilateral	None
Unilateral deafness	None
Deafness in one ear	None
Hypoplastic/aplastic middle ear structures	None
Middle ear hypoplasia/aplasia	None
Absent/underdeveloped middle ear	None
Absent/small middle ear	None
Aplasia/Hypoplasia of the middle ear	None
Hypertrophic auricular cartilage	None
Increased incisura length	None
Cutaneous stenosis of the external auditory canal	None
Abnormal stapes morphology	None
Stapedial abnormalities	None
Prelingual sensorineural deafness	None
Deafness, sensorineural, prelingual	None
Prelingual sensorineural hearing impairment	None
Thin ear helix	None
Tinnitus	None
Ringing in the ears	None
Ringing in ears	None
Profound hearing impairment	None
Abnormality of the tragus	None
Abnormal tragus morphology	None
Discontinuous ascending root of helix	None
Helix, discontinuous ascending root	None
Bifid lobe	None
Cleft earlobe	None
Notched lobe	None
Bifid earlobe	None
Notched earlobe	None
Incus ankylosis	None
Decreased incisura length	None
Absent/underdeveloped tragus	None
Aplasia/Hypoplasia of the tragus	None
Absent/small tragus	None
Incomplete partition of the cochlea	None
Lop ear	None
Abnormality of the crus of the ear	None
Abnormality of the crus of the helix	None
Increased incisura width	None
Abnormality of stem of antihelix	None
Severe deafness	None
Severe hearing impairment	None
Severe hearing loss	None
Everted antitragus	None
Abnormal antihelix morphology	None
Abnormal antehelix	None
Abnormal anthelix	None
Abnormal antihelix	None
Interrupted inferior vena cava with azygous continuation	None
Congestive cardiomyopathy	None
Cardiomyopathy, dilated	None
DCM	None
Dilated cardiomyopathy	None
Stretched and thinned heart muscle	None
Torsade de pointes	None
Torsades de pointes	None
Fetal intraventricular hemorrhage without ventriculomegaly	None
Grade II fetal intracranial hemorrhage	None
Grade II foetal intracranial haemorrhage	None
Abnormal pulmonary vein physiology	None
Splenogonadal fusion	None
P wave inversion	None
Retinal arterial macroaneurysms	None
Double inlet left ventricle	None
Decreased cardiac index	None
Abnormality of respiratory circulation	None
Abnormal pulmonary circulation	None
Abnormality of pulmonary circulation	None
Intracranial arterial calcification	None
Abnormal iliac artery morphology	None
Peripheral arteriovenous fistula	None
Abnormality of cerebral artery	None
Abnormal cerebral artery morphology	None
Abnormality of the cerebral arteries	None
Aortic isthmus hypoplasia	None
Pulmonary arterial medial hypertrophy	None
Hypertrophy of the pulmonary artery wall	None
Hypoplastic pulmonary veins	None
Underdeveloped lung veins	None
Grade I fetal intracranial hemorrhage	None
Fetal subependymal hemorrhage	None
Grade I foetal intracranial haemorrhage	None
Thymic hypoplasia or aplasia	None
Aplasia/Hypoplasia of the thymus	None
Absent/underdeveloped thymus	None
Absent/small thymus	None
Hemiretinal vein occlusion	None
Ductus venosus agenesis with extrahepatic drainage and liver bypass	None
Nonexudative conjunctivitis	None
Jejunal arteriovenous malformation	None
Abnormal heart rate variability	None
Antenatal intracerebral haemorrhage	None
Antenatal intracerebral hemorrhage	None
Abnormal pulmonary valve cusp morphology	None
Left ventricular outflow tract obstruction	None
CSU	None
Chronic spontaneous urticaria	None
Chronic idiopathic urticaria	None
CIU	None
Skin writing	None
Dermatographism	None
Dermographism	None
Dermatographic urticaria	None
Stroke	None
Cerebrovascular accidents	None
Cerebral vascular events	None
Cerebrovascular accident	None
DORV with subaortic VSD without pulmonary stenosis	None
Double outlet right ventricle with subaortic ventricular septal defect without pulmonary stenosis	None
Calcification of the small brain vessels	None
Right ventricular aneurysm	None
Right ventricular outpouching	None
Irregular RR interval	None
Digital ischemia	None
Central retinal artery occlusion	None
Hypoplastic right atrium	None
Prolonged P wave	None
Supraventricular tachyarrhythmia	None
Supraventricular tachycardia	None
SVT	None
Red eye	None
Red eyes	None
Abnormal cardiomyocyte mitochondrial morphology	None
Eosinophilic lymph node infiltration	None
Abnormal pulmonary valve physiology	None
Tonsillar hypertrophy	None
Enlargement of tonsils	None
Enlarged tonsils	None
tonsils large/hypertrophy	None
Common arterial trunk	None
Persistent truncus arteriosus	None
Truncus arteriosus	None
Oral cavity teleangiectasia	None
Angioectasias of the oral cavity	None
Spider veins of the mouth	None
Spider veins of the oral cavity	None
Angioectasias of the mouth	None
Oral cavity telangiectasia	None
Type VI atherosclerotic lesion	None
Subconjunctival hemorrhage	None
Subconjunctival haemorrhage	None
Lower extremity peripheral arterial calcification	None
Lower extremity peripheral artery calcification	None
Telangiectasia of extensor surfaces	None
Retinal arteritis	None
Abnormal morphology of right ventricular trabeculae	None
Iris hypoperfusion	None
Left aortic arch with right descending aorta and right ductus arteriosus	None
Saccular abdominal aortic aneurysm	None
Subvalvular aortic stenosis	None
Subaortic stenosis	None
Narrowing of blood vessel below aortic heart valve	None
Pulmonary artery hypertension	None
Primary pulmonary hypertension	None
Pulmonary arterial hypertension	None
Increased blood pressure in blood vessels of lungs	None
Twisted cerebral arteries	None
Tortuous cerebral arteries	None
Total absence of the pericardium	None
Congenital absence of the pericardium	None
Absent pericardium	None
Absent atrioventricular node	None
Splenic granulomatosis	None
Abnormal coronary artery course	None
Anomalous coronary artery course	None
Small intestinal bleeding	None
Small intestinal haemorrhage	None
Small intestinal hemorrhage	None
Muscular ventricular septal defect	None
Type 4 ventricular septal defect	None
Ventricular septal defect, muscular	None
U wave inversion	None
Unilocular splenic abscess	None
Solitary splenic abscess	None
Unifocal splenic abscess	None
Dilated heart right ventricle	None
Right ventricular dilatation	None
Abnormal posterior circulating artery morphology	None
Tortuous retinal vessels	None
Retinal vascular tortuosity	None
Persistent falcine venous sinus	None
Thoracoabdominal ectopia cordis	None
Echogenic intracardiac focus	None
Persistent truncus arteriosus type III	None
Type 3 truncus arteriosus	None
Type III truncus arteriosus	None
Pulmonary venoocclusive disease	None
Pulmonary venous occlusion	None
Pulmonary venous stenosis	None
Fixed splitting of S2	None
Fixed splitting of the second heart sound	None
Intracerebral hemorrhage	None
Cerebral hemorrhage	None
Intracerebral haemorrhage	None
Cerebral haemorrhage	None
Bleeding in brain	None
Hemorrhagic stroke	None
Abnormal heart sound	None
DORV	None
Double-outlet right ventricle	None
Double outlet right ventricle	None
Endocardial fibrosis	None
Endomyocardial fibrosis	None
Hypervolemia	None
Fluid overload in blood	None
Valvular pulmonary stenosis	None
Univentricular heart with absent left sided atrioventricular connection	None
Univentricular heart with absent left sided atrioventricular connexion	None
Abnormal cardiac atrial physiology	None
Abnormality of cardiovascular system electrophysiology	None
Pericardial lymphangiectasia	None
Retinal neovascularisation	None
Retinal neovascularization	None
Ventricular premature beat	None
Ventricular extrasystoles	None
Extra heart beat	None
Missed heartbeat	None
Premature ventricular contractions	None
Skipped heartbeat	None
Premature ventricular contraction	None
Premature ventricular beat	None
Ventricular ectopics	None
Biventricular noncompaction cardiomyopathy	None
Holosystolic murmur	None
Jaw claudication	None
Jaw pain while chewing	None
Uhl's anomaly	None
Thymic carcinoid tumor	None
Pulmonary incompetence	None
Puolmonary valve insufficiency	None
Pulmonary valve insufficiency	None
Pulmonary valve regurgitation	None
Pulmonic regurgitation	None
Lateral venous anomaly	None
Lateral marginal vein of Servelle	None
Vein of Servelle	None
Klippel-Trenaunay vein	None
Pulmonary embolism	None
Blood clot in artery of lung	None
Abnormal cardiomyocyte dystrophin staining	None
Extra spleen	None
Supernumerary spleens	None
Transitional atrioventricular canal defect	None
Fetal atrial septal dilatation	None
Foramen ovale aneurysm	None
Foetal atrial septal dilatation	None
Redundant septum primum flap	None
Overriding atrioventricular valve	None
Splenic foamy cells	None
Splenic lipid-laden macrophage infiltration	None
Spleen biopsy: lipid-laden macrophages	None
Abnormal S wave	None
Apical hypertrabeculation of the left ventricle	None
Right atrial thrombus	None
Ebstein's malformation	None
Ebstein anomaly of the tricuspid valve	None
Ebstein's anomaly of the tricuspid valve	None
Ebstein's anomaly	None
Tetralogy of Fallot with atrioventricular canal defect	None
Prominent R wave in lead V1	None
High voltage R wave in V1/V2	None
Prominent V1-V2 R wave	None
Aortopulmonary window	None
Moyamoya phenomenon	None
Tufted hemangioma	None
Tufted angioma	None
Angioblastoma	None
Angioblastoma of Nakagawa	None
Progressive capillary hemangioma	None
Hypertrophic hemangioma	None
Posterior communicating artery infundibulum	None
Hypertensive crisis	None
Abnormal right ventricular function	None
Partial right sided absence of pericardium	None
Total anomalous pulmonary venous connection	None
Total anomalous pulmonary venous drainage	None
Total anomalous pulmonary venous return	None
Dilatation of the cerebral artery	None
Intracranial aneurysm	None
Brain aneurysm	None
Cerebral artery aneurysm	None
Cerebral aneurysm	None
Abnormal retinal artery morphology	None
Abnormality of retinal arteries	None
Retinal arterial abnormality	None
Arteriovenous fistula	None
Arteriovenous fistulas	None
Congenital malformation of the left heart	None
Cardiomyopathy	None
Disease of the heart muscle	None
Anomalous origin of right pulmonary artery from ascending aorta	None
Hole in heart wall separating two lower heart chambers	None
VSD	None
Ventriculoseptal defect	None
Ventricular septal defect	None
Ventricular septal defects	None
Vascular ring of aorta	None
Vascular ring	None
Abnormal renal artery morphology	None
Abnormal kidney artery	None
Abnormality of the renal artery	None
Pulmonary artery intimal thickening	None
Fetal pericardial effusion	None
Cardiac myxoma	None
Subretinal hemorrhage	None
Subretinal heme	None
Subretinal haemorrhage	None
Portal hypertension	None
Abnormal coronary artery origin	None
Bidirectional ventricular ectopy	None
Abnormal mitral valve physiology	None
Paradoxical splitting of S2	None
Reversed splitting of the second heart sound	None
Paradoxical splitting of the second heart sound	None
Reversed splitting of S2	None
Underdeveloped right heart	None
Hypoplastic right heart	None
Hypoplastic right heart syndrome	None
Large vacuolated foam cells ('NP cells') on bone marrow biopsy	None
Bone marrow foam cells	None
Bone-marrow foam cells	None
Large vacuolated foam cells on bone marrow biopsy	None
Visceral hemangioma	None
Peripheral retinal avascularization	None
Abnormality of the atrial septum	None
Abnormal interatrial septum morphology	None
Abnormal atrial septum morphology	None
First degree atrioventricular block	None
Conjunctivitis	None
Conjunctivitis, recurrent	None
Pink eye	None
Intraventricular hemorrhage	None
Intraventricular haemorrhage	None
Lymph node xanthomatosis	None
Lymph node xanthomas	None
Abnormality of lung artery	None
Abnormality of the pulmonary artery	None
Right-to-left shunt	None
Localized pulmonary hemorrhage	None
Localised pulmonary haemorrhage	None
Esophageal hemangioma	None
Descending aorta hypoplasia	None
Iliac arterial calcification	None
Retinal arteriolar occlusion	None
Blocked retinal artery	None
Abnormal QRS complex	None
Abnormal cardiomyocyte morphology	None
Abnormal cardiac muscle cell morphology	None
Indeterminate ventricular axis	None
Abdominal aortic dissection	None
Follicular hyperplasia	None
Atrial flutter	None
Radial artery aplasia	None
Chronotropic incompetence	None
Myocardial lymphocytic infiltration	None
Abnormality of the vena cava	None
Abnormal vena cava morphology	None
Epsilon wave	None
Type III atherosclerotic lesion	None
Pericardial late gadolinium enhancement	None
Heart palpitations	None
Skipped heart beat	None
Missed heart beat	None
Palpitations	None
Abnormality of the left ventricle	None
Left ventricular abnormality	None
Abnormal heart left ventricle morphology	None
Abnormal left ventricle morphology	None
Hardened artery wall in small cerebral arteries	None
Arteriosclerosis of small cerebral arteries	None
Ductus venosus agenesis	None
Agenesis of the ductus venosus	None
Type 4 total anomalous pulmonary venous connection	None
Mixed total anomalous pulmonary venous connexion	None
Total anomalous pulmonary venous connection, mixed	None
Mixed total anomalous pulmonary venous connection	None
Paroxysmal ventricular tachycardia	None
Episodes of ventricular tachycardia	None
PR interval depression	None
PTa depression	None
PR segment depression	None
Gastrointestinal arteriovenous malformation	None
GI arteriovenous malformation	None
Monoclonal light chain cardiac amyloidosis	None
Small vessel vasculitis	None
Abnormal coronary sinus morphology	None
Abnormality of the coronary sinus	None
Capillary hemangioma	None
Capillary hemangiomata	None
Strawberry birthmark	None
Fetal cerebral parenchymal hemorrhage	None
Sinus venosus atrial septal defect	None
Perivascular cardiac fibrosis	None
Chronic noninfectious lymphadenopathy	None
Abnormality of the left ventricular outflow tract	None
Abnormal left ventricular outflow tract morphology	None
Petechiae	None
Elevated mean arterial pressure	None
Cardiac hemangioma	None
Absent LMCA	None
Absent left main coronary artery	None
Heart tip and four chambers point towards right side of body	None
Thoracic situs inversus	None
Dextrocardia	None
Myocardial immune cell infiltration	None
Retropharyngeal hemangioma	None
Telangiectases producing 'marbled' skin	None
Elevated left ventricular end-diastolic diameter	None
Abnormal fetal heart outflow tract	None
Permanent junctional reciprocating tachycardia	None
Dilatation of mesenteric artery	None
Mesenteric artery aneurysm	None
Unroofed coronary sinus	None
Incomplete atrioventricular septal defect	None
Partial AVSD	None
Partial atrioventricular canal defect	None
Partial atrioventricular septal defect	None
PAVSD	None
Partial AVC defect	None
Incomplete AVSD	None
Triple rhythm	None
Gallop rhythm	None
Punctate vasculitis skin lesions	None
Tricuspid valve dysplasia	None
Dysplastic tricuspid valve	None
Concentric hypertrophic cardiomyopathy	None
Symmetric, concentric, hypertrophic cardiomyopathy	None
D-loop transposition of the great arteries	None
Dextrotransposition of the great arteries	None
D-TGA	None
Ophthalmic artery anomaly	None
Abnormality of ophthalmic artery	None
Abnormality of umbilical vein blood flow	None
Foetal PDA narrowing-closure	None
Foetal PAD narrowing-closure	None
Fetal ductus arteriosus narrowing-closure	None
Foetal arterial duct narrowing-closure	None
Premature closure of the ductus arteriosus	None
Idiopathic constriction of the fetal ductus arteriosus	None
Idiopathic constriction of the foetal ductus arteriosus	None
PCDA	None
Fetal PAD narrowing-closure	None
Fetal arterial duct narrowing-closure	None
Fetal PDA narrowing-closure	None
Foetal ductus arteriosus narrowing-closure	None
High cord blood oxygen level	None
Hyperoxemia in cord blood	None
Functional fetal anomaly	None
Abnormal fetal physiology	None
Functional foetal anomaly	None
Placental hamartoma	None
Chorangioma	None
Abnormal cord blood measurement	None
10-minute APGAR score of 4	None
Abnormal placental size	None
Amniotic constriction rings of arms	None
Extra-abdominal umbilical vein varix	None
Congenital portosystemic venous shunt	None
Battledore placenta	None
Marginal umbilical cord insertion	None
Marginal cord insertion	None
Hyperechogenic fetal bowel	None
Echogenic fetal bowel	None
Hyperechogenic foetal bowel	None
Echogenic foetal bowel	None
Prenatal ultrasound: hyperechogenic bowel	None
Echogenic bowel	None
1-minute APGAR score of 6	None
Fetal scalp mass	None
1-minute APGAR score of 5	None
Nuchal cord	None
Fetal head anomaly	None
Therapeutic abortion	None
High cord blood carbon dioxide level	None
Hypercapnia in cord blood	None
1-minute APGAR score of 1	None
Short foetal humerus length	None
Short foetal long bone in upper arm length	None
Short fetal humerus length	None
Short fetal long bone in upper arm length	None
Abnormal umbilical blood flow measurement	None
Early embryonic arrest	None
Preimplantation lethality	None
Preimplantation embryonic lethality	None
Ductus venosus agenesis with extrahepatic drainage and liver bypass	None
Neonatal omphalitis	None
Umbilical cord stump infection	None
Omphalitis	None
Enlarged fetal cisterna magna	None
Enlarged foetal cisterna magna	None
Fetal anomaly	None
Persistent fetal circulation	None
Persistent foetal circulation	None
Low cord blood oxygen level	None
Hypoxemia in cord blood	None
Abnormal oxygen amount in umbilical cord blood	None
Abnormal cord blood oxygen levels	None
Abnormal O2 level in cord blood	None
Abnormal oxygen level in cord blood	None
Complete breech presentation	None
Absent lanugo	None
Decreased amniotic fluid alpha-fetoprotein concentration	None
Small placenta	None
Type 1 congenital pulmonary airway malformation	None
Prenatal ultrasound: bowel loops dilated	None
Foetal bowel dilatation	None
Fetal bowel dilatation	None
Abnormal preimplantation embryonic development	None
Abnormal embryonic development	None
Fetal cystic hygroma	None
Foetal cystic hygroma	None
10-minute APGAR score of 0	None
Fetal extra-axial hemorrhage	None
Premature rupture of membranes	None
Absent cavum septum pellucidum	None
Moderate to late preterm birth	None
Placental abruption	None
Abruptio placentae	None
Echogenic intracardiac focus	None
Postterm pregnancy	None
Abnormal amniotic fluid	None
Abnormality of the amniotic fluid	None
Low 1-minute APGAR score	None
Low one-minute APGAR score	None
Abnormal placental adhesion into the uterine wall	None
Abnormalities of placenta or umbilical cord	None
Mild fetal ventriculomegaly	None
Mild foetal ventriculomegaly	None
Fetal lung hyperechogenicity	None
Intrauterine foetal demise of one twin after midgestation	None
Intrauterine fetal demise of one twin after midgestation	None
Single-twin demise	None
Lemon sign	None
Snowflake effect in amniotic cavity	None
Snowflake sign	None
Fetal intracranial hemorrhage	None
1-minute APGAR score of 4	None
Structural fetal anomaly	None
Structural foetal anomaly	None
Abnormal fetal morphology	None
Abnormal chorion morphology	None
Foetal trigonocephaly	None
Strawberry skull	None
Strawberry sign	None
Strawberry-shaped skull	None
Fetal trigonocephaly	None
Abnormal fetal skeletal morphology	None
10-minute APGAR score of 6	None
Velamentous cord insertion	None
Fetal atrial septal dilatation	None
Foramen ovale aneurysm	None
Foetal atrial septal dilatation	None
Redundant septum primum flap	None
5-minute APGAR score of 0	None
High levels of amniotic fluid	None
Increased amniotic fluid index	None
Polyhydramnios	None
Hydramnios	None
Vasa previa	None
Absent end-diastolic umbilical artery flow	None
Female fetal virilization	None
Female foetal virilization	None
Subchorionic septal cyst	None
Reversed end-diastolic umbilical artery flow	None
Underdeveloped foetal nose bone	None
Hypoplasia of fetal nasal bone	None
Hypoplasia of foetal nasal bone	None
Underdeveloped fetal nose bone	None
Four-vessel umbilical cord	None
Grade III foetal intracranial haemorrhage	None
Grade III fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage with ventriculomegaly	None
Edematous chorionic villi	None
Prenatal double bubble sign	None
Placental thickness increased	None
Increased placental thickness	None
Umbilical vein varix	None
Absent fetal nasal bone	None
Unossified nasal bone	None
Absence of fetal nasal bone	None
Absence of foetal nasal bone	None
Incomplete breech presentation	None
Fetal hydrothorax	None
Abnormal placental membrane morphology	None
Abnormality of placental membranes	None
Amniotic constriction rings of legs	None
Abnormal CO2 level in cord blood	None
Abnormal umbilical cord blood levels of carbon dioxide	None
Abnormal carbon dioxide level in cord blood	None
Fetal ascites	None
Foetal ascites	None
Breech presentation at birth	None
Feet or buttocks of fetus positioned near opening of uterus	None
Feet or buttocks of foetus positioned near opening of uterus	None
Breech presentation	None
Caseous vernix-like desquamation	None
Greasy, thick vernix caseosa-like scale	None
Decreased middle cerebral artery pulsatility index	None
Forceps delivery	None
Shortened gestation time	None
Preterm delivery	None
Premature delivery of affected infants	None
Premature birth	None
Preterm birth	None
Premature delivery	None
Low APGAR score	None
Foetal distress	None
Fetal distress	None
Low five-minute APGAR score	None
Low 5-minute APGAR score	None
10-minute APGAR score of 2	None
Ductus venosus agenesis	None
Agenesis of the ductus venosus	None
10-minute APGAR score of 1	None
Amniotic bands	None
Pseudoainhum	None
Amniotic constriction band	None
Congenital constriction band sequence	None
Amniotic constriction ring	None
Placental enlargement	None
Large placenta	None
Fetal neck anomaly	None
Fetal vascular malperfusion	None
Increased fetal long bone echogenicity	None
Elevated fetal middle cerebral artery peak systolic velocity	None
Vaginal birth after Caesarean	None
Placenta praevia	None
Placenta previa	None
Foetal polyuria	None
Fetal polyuria	None
Abnormal four chamber view of the fetal heart	None
Abnormal four chamber view	None
Fetal cerebellar vermis hemorrhage	None
Umbilical cord cyst	None
Absence of stomach bubble on foetal sonography	None
Non-visualisation of the fetal stomach	None
Non-visualisation of the foetal stomach	None
Absent stomach bubble	None
Absence of stomach bubble on fetal sonography	None
Caesarean section	None
Bilateral fetal pyelectasis	None
Bilateral foetal pyelectasia	None
Bilateral foetal pyelectasis	None
Bilateral fetal pyelectasia	None
Reduced fetal long bone echogenicity	None
Foetal renal pelvic dilatation	None
Mild foetal hydronephrosis	None
Fetal renal pelvic dilatation	None
Foetal pyelectasis	None
Mild fetal hydronephrosis	None
Fetal pyelectasis	None
Choriocarcinoma	None
Fetal posterior fossa hemorrhage	None
Abnormality of the foetal circulation system	None
Abnormality of the foetal cardiovascular system	None
Abnormality of the fetal cardiovascular system	None
Abnormality of the fetal circulation system	None
Abnormal fetal cardiovascular morphology	None
1-minute APGAR score of 0	None
Abnormal placental pentration beyond the uterine wall	None
Placenta percreta	None
Vacuum-assisted vaginal delivery	None
Ventouse delivery	None
Vacuum extraction	None
1-minute APGAR score of 3	None
Fetal anemia	None
Echogenic fetal colon	None
Less than 10 fetal movements in 12 hours	None
Dminished fetal movement	None
Dminished foetal movement	None
Reduced foetal movements	None
Reduced fetal movement	None
Decreased foetal activity	None
Reduced foetal movement	None
Decreased movement in utero	None
Reduced fetal movements	None
Fetal hypokinesia	None
Decreased fetal movements	None
Less than 10 foetal movements in 12 hours	None
Foetal hypokinesia	None
Decreased fetal movement	None
Decreased fetal activity	None
Decreased foetal movements	None
Decreased foetal movement	None
Early severe foetal akinesia sequence	None
Foetal akinesia sequence	None
Early severe fetal akinesia sequence	None
Fetal akinesia	None
Fetal akinesia sequence	None
Foetal akinesia	None
Fetal nuchal edema	None
10-minute APGAR score of 5	None
Amniotic shelf	None
Amniotic Sheet	None
Prenatal flattened diaphragm	None
Abnormality of prenatal development or birth	None
Anhydramnios	None
Fetal intraventricular hemorrhage	None
Abnormal foetal CNS morphology	None
Abnormal fetal CNS morphology	None
Abnormal fetal central nervous system morphology	None
Abnormality of ductus venosus blood flow	None
Persistent patent ductus venosus	None
Delivery complication	None
Abnormal delivery	None
Abnormal umbilical artery doppler waveform during pregnancy	None
Fetal intraventricular hemorrhage without ventriculomegaly	None
Grade II fetal intracranial hemorrhage	None
Grade II foetal intracranial haemorrhage	None
Fetal cerebral parenchymal hemorrhage	None
Fetal cerebellar hemisphere hemorrhage	None
Fixed fetal extremities	None
Low 10-minute APGAR score	None
