Abnormality of the breast	HP:0000769
Transient ischaemic attack	None
Transient ischemic attack	None
Transient ischaemic attacks	None
TIA	None
Transient ischemic attacks	None
Gastrointestinal arteriovenous malformation	None
GI arteriovenous malformation	None
Dysplastic pulmonary valve	None
Pulmonary valve dysplasia	None
Dysplasia of pulmonary valve	None
Posterior communicating artery aneurysm	None
Abnormal location of heart atrium	None
Abnormal atrial arrangement	None
Black faeces	None
Black feces	None
Melena	None
Type B aortic dissection	None
Descending aortic dissection	None
Antenatal intracerebral haemorrhage	None
Antenatal intracerebral hemorrhage	None
Tetralogy of Fallot with pulmonary atresia and major aortopulmonary collateral arteries	None
Rectal bleeding	None
Recurrent rectal bleeding	None
Hematochezia	None
Sub-macular hemorrhage	None
Submacular haemorrhage	None
Submacular hemorrhage	None
Sub-macular haemorrhage	None
Submandibular lymphadenopathy	None
Submandibular lymph node enlargement	None
Abnormal S wave	None
Apical muscular ventricular septal defect	None
Abnormal cardiac biomarker test	None
Renal artery duplication	None
Accessory renal artery	None
Double renal artery	None
Abnormal morphology of the chordae tendinae of the mitral valve	None
Abnormal lymph node cell composition	None
Hypertension due to renal artery hyperplasia	None
Renovascular hypertension	None
Left-to-right shunt	None
Late systolic murmur	None
Anomalous origin of left pulmonary artery from ascending aorta	None
Ventricular premature beat	None
Ventricular extrasystoles	None
Extra heart beat	None
Missed heartbeat	None
Premature ventricular contractions	None
Skipped heartbeat	None
Premature ventricular contraction	None
Premature ventricular beat	None
Ventricular ectopics	None
Fibrous cardiac diverticulum	None
Congenital ventricular aneurysm	None
Congenital defect of the pericardium	None
Bicuspid pulmonary valve	None
Increased number of lymph nodes	None
Glomeruloid hemangioma	None
Sick sinus syndrome	None
Sinoatrial node disease	None
Abnormality of the vena cava	None
Abnormal vena cava morphology	None
Diastolic heart murmur	None
Fusiform abdominal aortic aneurysm	None
Purely bicuspid aortic valve	None
Pulmonary artery hypertension	None
Primary pulmonary hypertension	None
Pulmonary arterial hypertension	None
Increased blood pressure in blood vessels of lungs	None
Foam cells with lamellar inclusion bodies	None
Systolic heart murmur	None
Splenic abscess	None
Pericardial lymphangiectasia	None
Flail mitral valve leaflet	None
Mitral chordae tendinae rupture	None
Mitral chordae tendineae rupture	None
Telangiectasia macularis eruptiva perstans	None
Macular hemorrhage	None
Macular haemorrhage	None
Elevated right ventricular systolic pressure	None
Midface capillary hemangioma	None
Midfacial capillary hemangioma	None
Abnormal cardiac magnetic resonance imaging finding	None
Arteritis	None
Inflammation of artery	None
Grade II preterm intraventricular haemorrhage	None
Grade II preterm intraventricular hemorrhage	None
Decreased middle cerebral artery pulsatility index	None
Unopened tricuspid valve	None
Imperforate tricuspid valve	None
Intermittent atrial fibrillation	None
Paroxysmal atrial fibrillation	None
Atrial fibrillation, paroxysmal	None
Paroxysmal AF	None
Ambiguous atrioventricular connection	None
Ambiguous atrioventricular connexion	None
Axillary lymphadenopathy	None
Impaired myocardial contractility	None
Infundibular pulmonic stenosis	None
Subvalvar pulmonic stenosis	None
Subvalvular pulmonic stenosis	None
Subvalvular pulmonary stenosis	None
Subpulmonary stenosis	None
Subvalvar pulmonary stenosis	None
Infundibular pulmonary stenosis	None
Monomorphic ventricular tachycardia	None
Premature calcification of mitral annulus	None
Mitral annular calcification	None
Atrioventricular reentrant tachycardia	None
AV nodal reentry tachycardia	None
Pulmonary aterial intimal fibrosis	None
Fourth heart sound	None
Atrial gallop	None
Presystolic gallop	None
S4	None
Retinal vasculitis	None
Right ventricular noncompaction cardiomyopathy	None
Abnormal cardiac atrial physiology	None
Increased left ventricular end-diastolic volume	None
Left posterior hemiblock	None
Left posterior fascicular block	None
Mobitz type 1 atrioventricular block	None
Wenckebach block	None
Mobitz I atrioventricular block	None
Arterial intimal fibrosis	None
Intimal fibrosis	None
Abnormal QT interval	None
Interstitial cardiac fibrosis	None
Reduced systolic function	None
Lymph node necrosis	None
Necrosis in lymph node	None
Overriding atrioventricular valve	None
Pleural lymphangiectasia	None
Fingerpad telangiectases	None
Finger pad telangiectases	None
Small dilated blood vessels in fingerpads	None
Pulmonary artery atresia	None
Atresia of the pulmonary artery	None
Pulmonary atresia	None
Abnormal ST segment	None
Abnormality of the spleen	None
U wave inversion	None
Abnormal distribution of retinal arterioles and venules	None
Electrocardiographic long PR interval	None
Lengthened PR interval on EKG	None
Prolonged PR interval	None
Cyst on spleen	None
Splenic cyst	None
Coronary cameral fistula	None
Aortic isthmus hypoplasia	None
Electrical left axis deviation	None
Left axis deviation	None
Palpable thrill on extremity	None
Anomalous pulmonary venous return	None
Abnormal P wave	None
Libman-Sacks lesions	None
MEMA	None
Cystic medial necrosis of the aorta	None
Mucoid extracellular matrix accumulation	None
Ascending aortic dissection	None
Type A aortic dissection	None
Elevated left atrial pressure	None
Postcapillary pulmonary hypertension	None
Post-capillary pulmonary hypertension	None
Atrial septum defect	None
Atrial septal defect	None
Hole in heart wall separating two upper heart chambers	None
Defect in the atrial septum	None
An opening in the wall separating the top two chambers of the heart	None
Atrioseptal defect	None
ASD	None
Atria septal defect	None
Hypoplastic pulmonary veins	None
Underdeveloped lung veins	None
Left aortic arch with isolated subclavian artery	None
Midfrontal capillary hemangioma	None
Common carotid artery aneurysm	None
peripheral pulmonary stenosis	None
Occlusion of small pulmonary arteries	None
Peripheral pulmonic stenosis	None
Narrowing of peripheral lung artery	None
Peripheral pulmonary artery stenosis	None
Typical atrial flutter	None
Abnormal right ventricle morphology	None
Right ventricular abnormality	None
Abnormality of the right ventricle	None
Abnormal aorta morphology	None
Abnormality of the aorta	None
Abnormal aortic morphology	None
Abnormality of the thymus	None
Abnormal thymus morphology	None
Hepatic artery hyperplasia	None
Capillary hemangioma	None
Capillary hemangiomata	None
Strawberry birthmark	None
Labile Hypertension	None
Subretinal hemorrhage	None
Subretinal heme	None
Subretinal haemorrhage	None
Absent ankle pulse	None
Chronic irritative conjunctivitis	None
Post-angioplasty coronary artery restenosis	None
Pulmonary air embolism	None
Venous air embolism	None
Iliac vein compression	None
Left aortic arch with right descending aorta and right ductus arteriosus	None
Heart tip and four chambers point towards right side of body	None
Thoracic situs inversus	None
Dextrocardia	None
Abnormal four chamber view of the fetal heart	None
Abnormal four chamber view	None
Systolic anterior motion of the mitral valve	None
Jejunal arteriovenous malformation	None
DORV with subaortic VSD and pulmonary stenosis	None
Double outlet right ventricle with subaortic ventricular septal defect and pulmonary stenosis	None
Cardiac arrest	None
Heart stops beating	None
Junctional ectopic tachycardia	None
Supravalvular mitral ring	None
Supramitral ring	None
Membranous supravalvular mitral stenosis	None
Hypertension resistant to conventional therapy	None
Resistant hypertension	None
Postductal aortic coarctation	None
Postductal coarctation of the aorta	None
Mitral stenosis	None
Mitral valve stenosis	None
Abnormal systemic blood pressure	None
Abnormal systemic BP	None
Increased carotid artery intimal medial thickness	None
Tetralogy of Fallot with pulmonary atresia	None
Coronary artery calcification	None
Superior-inferior ventricles without criss-cross atrioventricular valves	None
Presyncope	None
Telangiectasia of the ear	None
Arterial hypertension	None
Hypertension	None
Systemic hypertension	None
High blood pressure	None
Abnormal aortic valve physiology	None
Venous stenosis	None
Anomalous origin of the left common carotid artery from the main pulmonary artery	None
Bilateral superior vena cava with no bridging vein	None
Coronary arterial dilatation	None
Coronary artery aneurysm	None
Coronary artery dilatation	None
Coronary artery ectasia	None
Pulmonary arterial atherosclerosis	None
Premature occlusive vascular stenosis	None
Abnormality of nasopharyngeal adenoids	None
Abnormal nasopharyngeal adenoid morphology	None
Abnormality of adenoids	None
Abnormality of pharyngeal tonsil	None
Abnormality of nasopharyngeal tonsil	None
Palpable purpura	None
Total anomalous pulmonary venous connection	None
Total anomalous pulmonary venous drainage	None
Total anomalous pulmonary venous return	None
Abnormal electrophysiology of sinoatrial node origin	None
Discordant atrioventricular connection	None
Discordant atrioventricular connexion	None
Abnormal cardiac septum morphology	None
Septal defects	None
Heart septal defect	None
Abnormality of the cardiac septa	None
Cardiac rhabdomyoma	None
Retinal collateral vessels	None
Retinal shunt vessels	None
Retinal haemorrhage	None
Retinal haemorrhages	None
Retinal hemorrhage	None
Retinal hemorrhages	None
Retinal bleeding	None
Coronary cameral fistula to right ventricle	None
Dilatation of the mitral annulus	None
Supravalvar pulmonary stenosis	None
Supravalvar pulmonnic stenosis	None
Supravalvular pulmonic stenosis	None
Supravalvular pulmonary stenosis	None
Femoral artery duplication	None
Round retinal heme	None
Dot-and-blot retinal hemorrhage	None
Dot-and-blot retinal haemorrhage	None
Elevated mean arterial pressure	None
Absent atrioventricular node	None
Critical limb ischemia	None
Rest limb pain	None
Thymic cyst	None
Venous varicosities of coeliac and mesenteric vessels	None
Venous varicosities of celiac and mesenteric vessels	None
Heart palpitations	None
Skipped heart beat	None
Missed heart beat	None
Palpitations	None
Common ventricle	None
Single ventricle	None
Sinus tach	None
Sinus tachycardia	None
Sinus tachy	None
Double inlet to single ventricle of indeterminate morphology	None
Reduced left ventricular endsystolic diameter	None
Increased BP	None
Increased blood pressure	None
Congenital portosystemic venous shunt	None
Small vessel vasculitis	None
Cerebral saccular aneurysm	None
Cerebral berry aneurysm	None
Subdural haematoma	None
Subdural hematoma	None
Subdural haemorrhage	None
Subdural hemorrhage	None
Underdeveloped heart	None
Hypoplastic heart	None
Small heart	None
Insufficient response to short acting pulmonary vasodilator	None
Superficial episcleral hypaeremia	None
Superficial episcleral hyperemia	None
Racing heart	None
Fast heart rate	None
Tachycardia	None
Heart racing	None
Increased heart rate	None
Rapid heart beat	None
Elevated heart rate	None
Torsade de pointes	None
Torsades de pointes	None
Increased cardiac output	None
Hepatic vascular malformations	None
Liver vascular malformations	None
Polymorphic and polytopic ventricular extrasystoles	None
First degree atrioventricular block	None
Fordyce angiokeratoma	None
Cherry red spot of the macula	None
Macular cherry red spot	None
Criss-cross atrioventricular valves	None
Quivering upper heart chambers resulting in irregular heartbeat	None
Atrial fibrillation	None
Cerebral cavernous malformation	None
Abnormal superficial temporal artery morphology	None
Single ventricle of indeterminate morphology	None
Bicuspid aortic valve	None
Aortic valve has two leaflets rather than three	None
Non cirrhotic portal fibrosis	None
Idiopathic non-cirrhotic portal hypertension	None
Intrahepatic portal vein sclerosis	None
Obliterative portal venopathy	None
Incomplete septal cirrhosis	None
Abnormal foetal CNS morphology	None
Abnormal fetal CNS morphology	None
Abnormal fetal central nervous system morphology	None
Zygotic cleavage failure	None
Failure of zygotic cell division	None
Shoulder dystocia	None
Fetal tachycardia	None
Amniotic bands	None
Pseudoainhum	None
Amniotic constriction band	None
Congenital constriction band sequence	None
Amniotic constriction ring	None
Fetal cystic hygroma	None
Foetal cystic hygroma	None
Abnormal placental size	None
Fetal oral mass	None
Fetal anomaly	None
Fetal head anomaly	None
Gastric pseudomass	None
Subchorionic septal cyst	None
Amniotic constriction rings of arms	None
Abnormal fetal pulmonary morphology	None
Fetal hydrothorax	None
Meconium pseudocyst	None
Maternal vascular malperfusion	None
Abnormal fetal nasal bone visualization	None
Prenatal ultrasound: bowel loops dilated	None
Foetal bowel dilatation	None
Fetal bowel dilatation	None
5-minute APGAR score of 4	None
Shortened gestation time	None
Preterm delivery	None
Premature delivery of affected infants	None
Premature birth	None
Preterm birth	None
Premature delivery	None
Low five-minute APGAR score	None
Low 5-minute APGAR score	None
Abnormal chorion morphology	None
5-minute APGAR score of 0	None
Congenital cystic disease of the lung	None
Cystic adenomatoid lung disease	None
Congenital cystic adenomatoid malformation of the lung	None
Congenital pulmonary airway malformation	None
Congenital cystic adenomatoid malformation	None
CCAM	None
Abnormal amniotic fluid	None
Abnormality of the amniotic fluid	None
Abnormal preimplantation embryonic development	None
Abnormal oxygen amount in umbilical cord blood	None
Abnormal cord blood oxygen levels	None
Abnormal O2 level in cord blood	None
Abnormal oxygen level in cord blood	None
Hydropic placenta	None
Hydrops of the placenta	None
Grade IV foetal intracranial haemorrhage	None
Fetal intraventricular hemorrhage with periventricular hemorrhage	None
Grade IV fetal intracranial hemorrhage	None
Fetal anemia	None
Caesarean section	None
5-minute APGAR score of 1	None
Fetal lower urinary tract obstruction	None
5-minute APGAR score of 3	None
Short foetal femur length	None
Short fetal thigh bone length	None
Short foetal thigh bone length	None
Short fetal femur length	None
Mild fetal ventriculomegaly	None
Mild foetal ventriculomegaly	None
Fetal cerebellar vermis hemorrhage	None
Amnion-chorion separation	None
Spontaneous chorioamniotic separation	None
Fetal pleural effusion	None
Abnormal four chamber view of the fetal heart	None
Abnormal four chamber view	None
Hypocapnia in cord blood	None
Low cord blood carbon dioxide level	None
Prenatal flattened diaphragm	None
Type 1 congenital pulmonary airway malformation	None
Umbilical cord knot	None
10-minute APGAR score of 4	None
Placenta praevia	None
Placenta previa	None
Caseous vernix-like desquamation	None
Greasy, thick vernix caseosa-like scale	None
Enlarged fetal lungs	None
Vasa previa	None
Fetal ascites	None
Foetal ascites	None
Fetal umbilical vein dilatation	None
Fetal intra-abdominal umbilical vein varix	None
Foetal umbilical vein dilatation	None
FIUVV	None
Small placenta	None
Intraluminal meconium calcification	None
Single umbilical artery	None
2 vessel cord	None
Two vessel cord	None
SUA	None
2 vessel umbilical cord	None
Only one artery in umbilical cord instead of two	None
Two vessel umbilical cord	None
Two-vessel cord	None
Increased nuchal translucency	None
Moderate to late preterm birth	None
Echogenic fetal colon	None
Abnormal fetal skeletal morphology	None
Delayed umbilical cord separation	None
Delayed separation of umbilical cord	None
Neonatal omphalitis	None
Umbilical cord stump infection	None
Omphalitis	None
Type 3 congenital pulmonary airway malformation	None
Edematous chorionic villi	None
10-minute APGAR score of 3	None
10-minute APGAR score of 2	None
Abnormal placental adhesion into the uterine wall	None
1-minute APGAR score of 6	None
Elevated umbilical artery Dopplers	None
Elevated umbilical artery pulsatility	None
Increased umbilical artery pulsatility index	None
5-minute APGAR score of 5	None
Foetal ultrasound soft marker	None
Fetal ultrasound soft marker	None
Placental mesenchymal dysplasia	None
Hypoplastic fetal nasal bone	None
Distended jugular lymphatic sacs	None
Recurrent implantation failure	None
Repeated implantation failure	None
Abnormal cord blood measurement	None
High levels of amniotic fluid	None
Increased amniotic fluid index	None
Polyhydramnios	None
Hydramnios	None
Fetal neck mass	None
Foetal renal pelvic dilatation	None
Mild foetal hydronephrosis	None
Fetal renal pelvic dilatation	None
Foetal pyelectasis	None
Mild fetal hydronephrosis	None
Fetal pyelectasis	None
Fetal choroid plexus cysts	None
Foetal choroid plexus cysts	None
Echogenic intracardiac focus	None
Fetal extra-axial hemorrhage	None
Placental calcification	None
Calcified placenta	None
Champagne cork sign	None
10-minute APGAR score of 0	None
Abnormal embryonic development	None
Ductus venosus agenesis with intrahepatic drainage	None
Abnormality of prenatal development or birth	None
Abnormality of the foetal circulation system	None
Abnormality of the foetal cardiovascular system	None
Abnormality of the fetal cardiovascular system	None
Abnormality of the fetal circulation system	None
Abnormal fetal cardiovascular morphology	None
Abnormal fetal gastrointestinal system morphology	None
Extra-abdominal umbilical vein varix	None
Ductus venosus agenesis	None
Agenesis of the ductus venosus	None
5-minute APGAR score of 6	None
Prenatal double bubble sign	None
Placental enlargement	None
Large placenta	None
Frank breech presentation	None
Velamentous cord insertion	None
Fetal intracranial hemorrhage	None
Snowflake effect in amniotic cavity	None
Snowflake sign	None
Decreased amniotic fluid alpha-fetoprotein concentration	None
Absent end-diastolic umbilical artery flow	None
10-minute APGAR score of 5	None
Fetal nuchal edema	None
Increased fetal long bone echogenicity	None
Abnormal fetal skin morphology	None
Fetal neck anomaly	None
Abnormal blood gas level in cord blood	None
Anhydramnios	None
Fetal intraventricular hemorrhage without ventriculomegaly	None
Grade II fetal intracranial hemorrhage	None
Grade II foetal intracranial haemorrhage	None
Fetal hyperkinesia	None
Increased fetal movement	None
Increased foetal movement	None
Foetal hyperkinesia	None
1-minute APGAR score of 3	None
10-minute APGAR score of 1	None
Thickened nuchal skin	None
Increased nuchal fold thickness	None
Thick nuchal fold	None
Thickened skin over the neck	None
Thickened nuchal skin fold	None
Increased nuchal fold	None
Thickened skin folds of neck	None
Excess nuchal skin	None
Abnormal fetal heart outflow tract	None
Grade I fetal intracranial hemorrhage	None
Fetal subependymal hemorrhage	None
Grade I foetal intracranial haemorrhage	None
Absence of stomach bubble on foetal sonography	None
Non-visualisation of the fetal stomach	None
Non-visualisation of the foetal stomach	None
Absent stomach bubble	None
Absence of stomach bubble on fetal sonography	None
Long umbilical cord	None
10-minute APGAR score of 6	None
Fetal pericardial effusion	None
Incomplete breech presentation	None
Umbilical cord prolapse	None
Formation of multiple pronuclei during fertilization	None
Bilateral fetal pyelectasis	None
Bilateral foetal pyelectasia	None
Bilateral foetal pyelectasis	None
Bilateral fetal pyelectasia	None
Abnormal placental membrane morphology	None
Abnormality of placental membranes	None
Umbilical cord cyst	None
Umbilical cord haematoma	None
Umbilical cord hematoma	None
Villitis of unknown aetiology	None
Chronic villitis	None
Villitis of unknown etiology	None
Nonspecific chronic villitis	None
Chronic villitis (non-infectious)	None
Decreased middle cerebral artery pulsatility index	None
Foetal trigonocephaly	None
Strawberry skull	None
Strawberry sign	None
Strawberry-shaped skull	None
Fetal trigonocephaly	None
Elevated fetal middle cerebral artery peak systolic velocity	None
Secondary Caesarian section	None
Umbilical vein varix	None
Complete breech presentation	None
Abnormality of umbilical vein blood flow	None
Abnormal umbilical artery doppler waveform during pregnancy	None
Low cord blood oxygen level	None
Hypoxemia in cord blood	None
Fetal posterior fossa hemorrhage	None
Sonographic non-visualized fetal bladder	None
Fixed fetal extremities	None
Low levels of amniotic fluid	None
Decreased amniotic fluid index	None
Oligohydramnios	None
Maternal oligohydramnios	None
Low 1-minute APGAR score	None
Low one-minute APGAR score	None
Abnormalities of placenta or umbilical cord	None
Abnormality of the placenta	None
Placental issue	None
Abnormal placenta morphology	None
Cephalohaematoma	None
Cephalohematoma	None
1-minute APGAR score of 4	None
Underdeveloped foetal nose bone	None
Hypoplasia of fetal nasal bone	None
Hypoplasia of foetal nasal bone	None
Underdeveloped fetal nose bone	None
Amniotic shelf	None
Amniotic Sheet	None
Fetal chylothorax	None
Low APGAR score	None
5-minute APGAR score of 2	None
Abnormal fetal cardiovascular physiology	None
Fetal cerebral parenchymal hemorrhage	None
Placenta increta	None
Induced vaginal delivery	None
Furcate cord insertion	None
Female fetal virilization	None
Female foetal virilization	None
Abnormality of the umbilical cord	None
Umbilical cord issue	None
Enlarged fetal cisterna magna	None
Enlarged foetal cisterna magna	None
Subchorionic thrombohematoma	None
Breus' mole	None
Fetal intraventricular hemorrhage	None
Fetal lung hyperechogenicity	None
Absent cavum septum pellucidum	None
Premature birth following premature rupture of fetal membranes	None
Premature birth following premature rupture of foetal membranes	None
Four-vessel umbilical cord	None
Abnormal amniotic fluid protein concentration	None
Nuchal cord	None
Battledore placenta	None
Marginal umbilical cord insertion	None
Marginal cord insertion	None
Very preterm birth	None
High cord blood carbon dioxide level	None
Hypercapnia in cord blood	None
Fetal scalp mass	None
Fetal skin edema	None
Abnormal fetal genitourinary system morphology	None
Foetal distress	None
Fetal distress	None
Desquamation of skin soon after birth	None
1-minute APGAR score of 2	None
Type 2 congenital pulmonary airway malformation	None
Therapeutic abortion	None
Early embryonic arrest	None
Preimplantation lethality	None
Preimplantation embryonic lethality	None
Extremely preterm birth	None
Grade III foetal intracranial haemorrhage	None
Grade III fetal intracranial hemorrhage	None
Fetal intraventricular hemorrhage with ventriculomegaly	None
Fetal vascular malperfusion	None
Small fetal abdominal circumference	None
Premature delivery because of cervical insufficiency or membrane fragility	None
Abnormal placental pentration beyond the uterine wall	None
Placenta percreta	None
Placental thickness increased	None
Increased placental thickness	None
Preterm premature rupture of membranes	None
PPROM	None
Abnormal umbilical blood flow measurement	None
1-minute APGAR score of 1	None
Abnormality of ductus venosus blood flow	None
Increased fetal lens echogenicity	None
1-minute APGAR score of 5	None
1-minute APGAR score of 0	None
Abnormal CO2 level in cord blood	None
Abnormal umbilical cord blood levels of carbon dioxide	None
Abnormal carbon dioxide level in cord blood	None
Absent lanugo	None
Reduced fetal femur/foot length ratio	None
Twin-to-twin transfusion	None
Twin to twin transfusion syndrome	None
Placental abruption	None
Abruptio placentae	None
Persistent fetal circulation	None
Persistent foetal circulation	None
Foetal PDA narrowing-closure	None
Foetal PAD narrowing-closure	None
Fetal ductus arteriosus narrowing-closure	None
Foetal arterial duct narrowing-closure	None
Premature closure of the ductus arteriosus	None
Idiopathic constriction of the fetal ductus arteriosus	None
Idiopathic constriction of the foetal ductus arteriosus	None
PCDA	None
Fetal PAD narrowing-closure	None
Fetal arterial duct narrowing-closure	None
Fetal PDA narrowing-closure	None
Foetal ductus arteriosus narrowing-closure	None
Abnormal fetal long-bone echogenicity	None
Primary Caesarian section	None
Lymphatic disease	None
Abnormality of the lymphatic system	None
Anti-GABAA R antibody	None
Anti-GABA(A)R antibody	None
Anti-gamma amino butyric acid type A receptors antibody	None
Allergy to feathers	None
Feather allergy	None
Immunoglobulin E-mediated feather allergy	None
IgE-mediated feather allergy	None
Molluscum contagiosum	None
Nontuberculous mycobacterial pulmonary infection	None
Increased level of anti-food allergen IgE antibody	None
Increased anti-food allergen IgE antibody level	None
Decreased serum complement factor H	None
Decreased circulating complement factor H concentration	None
Abnormal delayed hypersensitivity skin test	None
Skin rash	None
Rash	None
Anti-smooth muscle antibody positivity	None
Smooth muscle antibody positivity	None
Smooth muscle antibody positive	None
Abnormal white blood cell count	None
Abnormal leukocyte count	None
Abnormal granulocyte count	None
Atypical or prolonged hepatitis	None
Atypical or prolonged liver inflammation	None
Diffuse lupus nephritis	None
Class IV lupus nephritis	None
Invasive pulmonary aspergillosis	None
TMD	None
Transient leukaemia of Down syndrome	None
Transient myeloproliferative disorder	None
Transient myeloproliferative syndrome	None
Transient leukemia of Down syndrome	None
Papulovesicular eruption	None
Papulo-vesicular eruption	None
Chronic neutropenia	None
Abnormal cytokine signalling	None
Abnormal cytokine signaling	None
Anti-H2B antibody positivity	None
Abscess of the labia	None
Labial abscess	None
Anti-beta fodrin antibody positivity	None
Abnormal L-selectin shedding	None
Abnormal proportion of immature gamma-delta T-lymphocytes	None
Abnormal proportion of immature gamma-delta T-cells	None
Abnormal proportion of immature gamma-delta T lymphocytes	None
Abnormal proportion of immature gamma-delta T cells	None
Anterior blepharitis	None
Anti-centromere protein A antibody positivity	None
Anti-CENP-A antibody positivity	None
Non-infectious meningitis	None
Aseptic meningitis	None
Abnormal natural killer subset distribution	None
Abnormal proportion of marginal zone B cells	None
Abnormality of immune system physiology	None
Pericardial lymphangiectasia	None
Abnormal proportion of immature B cells	None
Abnormal proportion of CD19+/CD21low B cells	None
Reduced circulating interleukin 12 concentration	None
Transient neutropenia	None
Elevated circulating CCL3 concentration	None
Panniculitis	None
Inflammation of fat tissue	None
Inflammation of adipose tissue	None
Absent NK cells	None
Absent natural killer cells	None
Granulomatosis	None
Persistent CMV viremia	None
Abnormal proportion of class-switched memory B cells	None
Abnormal proportion of CD19+CD27+IgD- cells	None
Pneumonia	None
Anti-transglutaminase 2 antibody positivity	None
Anti-endomysial antibody positivity	None
Anti-voltage-gated potassium channel antibody positivity	None
Voltage gated potassium channel antibodies in blood	None
Abnormal lymphocyte count	None
Abnormal numbers of lymphocytes	None
Abnormal lymphocyte counts	None
Abnormal number of lymphocytes	None
Abnormality of lymphocyte number	None
MPGN	None
Mesangiocapillary glomerulonephritis	None
Membranoproliferative glomerulonephritis	None
Anti-Septin-5 antibody	None
Severe parainfluenza infection	None
Abnormal eosinophil count	None
Anti-nucleoporin 62 antibody positivity	None
Anti-p62 antibody positivity	None
Anti-GAD65 antibody	None
Anti-glutamic acid decarboxylase 65 antibody	None
Suppurative cholangitis	None
Lymphatic vessel tumour	None
Lymphatic vessel neoplasm	None
Lymphatic vessel tumor	None
Anti-ganglionic acetylcholine receptor antibody positivity	None
Disseminated molluscum contagiosum	None
Milk allergy	None
Cow milk allergy	None
IgE-mediated cow milk allergy	None
Immunoglobulin E-mediated cow milk allergy	None
Pyelonephritis	None
Chronic calcifying pancreatitis	None
Anti-PBP antibody positivity	None
Anti-plasminogen binding peptide antibody positivity	None
Decreased lymphocyte proliferation in response to anti-CD3	None
Defective proliferation of lymphocytes following anti-CD3 stimulation	None
Defective lymphocyte proliferation to anti-CD3	None
Erythema nodosum	None
Post-vaccination varicella zoster virus infection	None
Varicella zoster virus infection after vaccination	None
Anti-Gephyrin antibody	None
Elevated circulating blasts	None
Increased peripheral myeloblast count	None
Elevated blast count	None
Increased peripheral blast count	None
Abnormal NK cell count	None
Abnormal number of natural killer cells	None
Abnormality of natural killer cell count	None
Abnormal natural killer cell count	None
Decreased inflammatory response	None
Chronic (near) absent IgG2 in blood	None
Chronic (near) absent circulating IgG2	None
Abnormal proportion of CD4-positive helper T cells	None
Anti-alanyl-tRNA synthetase antibody positivity	None
Anti-PL-12 antibody positivity	None
Anti-parotid secretory protein antibody positivity	None
Anti-PSP antibody positivity	None
Reduced circulating interleukin 17A concentration	None
Anti-desmoplakin I antibody positivity	None
Increased proportion of central memory CD8-positive, alpha-beta T cells	None
Severe T-cell immunodeficiency	None
Decreased IgM	None
Decreased circulating total IgM	None
IgM deficiency	None
Decreased IgM level	None
Reduced IgM levels	None
Acne	None
Breaking out	None
Cutaneous granuloma	None
Anti-Jo-1 antibody positivity	None
Anti-histidyl tRNA synthetase antibody positivity	None
Anti-JO1 antibody positivity	None
Absence of mature B cells	None
Absent circulating B cells	None
Defective B cell activation	None
Myositis-specific autoantibody positivity	None
Lymphangioma	None
Abnormality of myeloid leukocytes	None
Abnormal myeloid leukocyte morphology	None
Eosinophil nuclear hypersegmentation	None
Varicose eczema	None
Stasis dermatitis	None
Venous eczema	None
Decreased immunoglobulin level in body fluid	None
Seborrhoeic blepharitis	None
Paraproteinemia	None
Monoclonal hypergammaglobulinemia	None
Tooth abscess	None
Dentoalveolar abscess	None
Dental abscess	None
Anticardiolipin IgM antibody positivity	None
Status asthmaticus	None
Acute severe asthma	None
Minimal change glomerulonephritis	None
Minimal change nephropathy	None
Minimal change disease	None
Acute middle ear infection	None
Acute otitis media	None
Recurrent respiratory infections	None
Susceptibility to respiratory infections	None
Multiple respiratory infections	None
Frequent respiratory infections	None
respiratory infections, recurrent	None
Mycobacterium abscessus abscessus infection	None
Anti-phosphatidyl ethanolamine antibody positivity	None
Abnormality of cytokine secretion	None
Polyclonal elevation of circulating IgA	None
Myeloid/lymphoid leukemia	None
Biphenotypic acute leukaemia	None
Biphenotypic acute leukemia	None
Acute biphenotypic leukaemia	None
Myeloid/lymphoid leukaemia	None
Abnormal lymphocyte proliferation	None
Anti-GM3 antibody positivity	None
Anti-ADAMTS13 antibody positivity	None
Anti-delta/notch-like epidermal growth factor-related receptor antibody	None
PCA-Tr	None
Anti-Tr/DNER antibody	None
Recurrent streptococcal infections	None
Absent spleen	None
Asplenia	None
Hypersplenism	None
Anti-intrinsic factor antibody positivity	None
Platelet antibody	None
Platelet antibody positive	None
Cytokine storm	None
Hypercytokinemia	None
Anti-Ma1 antibody positivity	None
Onychomycosis	None
Absent tonsils	None
Tonsillar hypoplasia	None
Hypoplastic tonsils	None
Decreased eosinophil count	None
T cell chronic lymphocytic lymphoma/leukemia	None
Anti-integrin antibody positivity	None
Cystitis of the urinary bladder	None
Urinary bladder inflammation	None
Increased circulating interleukin 21 concentration	None
Anti-bicaudal D2 antibody positivity	None
Anti-BICD2 antibody positivity	None
Anti-pituitary antibody positivity	None
Anti-laminin 5 antibody positivity	None
Anti-laminin 332 antibody positivity	None
Recurrent Aspergillus infections	None
Aspergillus infections, recurrent	None
Complete or near-complete absence of specific antibody response to unconjugated pneumococcus vaccine	None
Decreased proportion of memory B cells	None
Underdeveloped nasopharyngeal adenoids	None
Hypoplastic nasopharyngeal adenoids	None
Abnormal MHC II cell surface expression	None
